subject_id,data.value,age1,review,age2,review2,age,column_name,URL_front,URL_back
58642646,[{'IX / 9 ': 1}],9,1,NA,NA,9,7th row age group ,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Clare_Cranberry19N_4W_S1-12_GROW_078.jpg,NA
58642646,[{'X / 10': 1}],10,1,NA,NA,10,8th row age group ,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Clare_Cranberry19N_4W_S1-12_GROW_078.jpg,NA
59962320,[{'II / 2': 1}],2,1,NA,NA,NA,7th row age group ,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/a_first/ALGER_CARP_GROW_0001_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/a_first/ALGER_CARP_GROW_0001_2.jpeg
59962320,[{'III / 3': 1}],3,1,NA,NA,NA,8th row age group ,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/a_first/ALGER_CARP_GROW_0001_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/a_first/ALGER_CARP_GROW_0001_2.jpeg
59962320,[{'IV / 4': 1}],4,1,NA,NA,NA,9th row age group ,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/a_first/ALGER_CARP_GROW_0001_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/a_first/ALGER_CARP_GROW_0001_2.jpeg
59962320,[{'VI / 6': 1}],6,1,NA,NA,NA,10th row age group ,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/a_first/ALGER_CARP_GROW_0001_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/a_first/ALGER_CARP_GROW_0001_2.jpeg
59962320,[{'VII / 7': 1}],7,1,NA,NA,NA,11th row age group ,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/a_first/ALGER_CARP_GROW_0001_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/a_first/ALGER_CARP_GROW_0001_2.jpeg
59962320,[{'IX / 9 ': 1}],9,1,NA,NA,NA,12th row age group ,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/a_first/ALGER_CARP_GROW_0001_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/a_first/ALGER_CARP_GROW_0001_2.jpeg
59962379,[{'I / 1': 1}],1,1,NA,NA,1,First row age group ,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/a_first/ALGER_NAWAKWA_GROW_0004_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/a_first/ALGER_NAWAKWA_GROW_0004_2.jpeg
59962379,[{'II / 2': 1}],2,1,NA,NA,2,Second row age group ,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/a_first/ALGER_NAWAKWA_GROW_0004_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/a_first/ALGER_NAWAKWA_GROW_0004_2.jpeg
59962379,[{'III / 3': 1}],3,1,NA,NA,3,Third row age group ,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/a_first/ALGER_NAWAKWA_GROW_0004_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/a_first/ALGER_NAWAKWA_GROW_0004_2.jpeg
59962379,[{'IV / 4': 1}],4,1,NA,NA,4,Fourth row age group ,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/a_first/ALGER_NAWAKWA_GROW_0004_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/a_first/ALGER_NAWAKWA_GROW_0004_2.jpeg
59962379,[{'VI / 6': 1}],6,1,NA,NA,6,5th row age group ,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/a_first/ALGER_NAWAKWA_GROW_0004_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/a_first/ALGER_NAWAKWA_GROW_0004_2.jpeg
59962379,[{'VII / 7': 1}],7,1,NA,NA,7,6th row age group ,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/a_first/ALGER_NAWAKWA_GROW_0004_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/a_first/ALGER_NAWAKWA_GROW_0004_2.jpeg
59962379,[{'VIII / 8': 1}],8,1,NA,NA,8,7th row age group ,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/a_first/ALGER_NAWAKWA_GROW_0004_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/a_first/ALGER_NAWAKWA_GROW_0004_2.jpeg
59962379,[{'IX / 9 ': 1}],9,1,NA,NA,9,8th row age group ,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/a_first/ALGER_NAWAKWA_GROW_0004_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/a_first/ALGER_NAWAKWA_GROW_0004_2.jpeg
59962379,[{'X / 10': 1}],10,1,NA,NA,10,9th row age group ,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/a_first/ALGER_NAWAKWA_GROW_0004_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/a_first/ALGER_NAWAKWA_GROW_0004_2.jpeg
59962466,"[{'VII / 7': 1, 'VIII / 8': 1}]",7,1,8,1,7,6th row age group ,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/a_first/ALPENA_BEAVER_GROW_0002_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/a_first/ALPENA_BEAVER_GROW_0002_2.jpeg
