subject_id,orig_subject_id,task,data.aligned_text,data.number_views,data.consensus_score,data.consensus_text,data,column_name,url_front,url_back,comments
72071049,58642631,T15,[['10.2']],1,1,10.2,NA,Third row Length Range ,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Chippewa_CarpLittle_GROW_004.jpg,,
72071050,58642646,T44,[['2']],1,1,2,2,8th row Number of Fish ,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Clare_Cranberry19N_4W_S1-12_GROW_078.jpg,,
72071050,58642646,T45,[['9.0-9.2']],1,1,9.0-9.2,9.0-9.2,8th row Length Range ,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Clare_Cranberry19N_4W_S1-12_GROW_078.jpg,,
72071050,58642646,T46,[['9.1']],1,1,9.1,9.1,8th row Mean Length ,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Clare_Cranberry19N_4W_S1-12_GROW_078.jpg,,
72071051,58642655,T4,[['3.3']],1,1,3.3,NA,First row Mean Length ,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Crawford_Margrethe_GROW_122.jpg,,
72071051,58642655,T70,[['11.0']],1,1,11,NA,12th row Mean Length ,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Crawford_Margrethe_GROW_122.jpg,,
72071052,58642674,T3,[['3.9-3.9']],1,1,3.9-3.9,NA,First row Length Range ,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Gogebic_Marion_GROW_157.jpg,,
72071052,58642674,T33,[['11.4-11.4']],1,1,11.4-11.4,NA,6th row Length Range ,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Gogebic_Marion_GROW_157.jpg,,
72071062,59962239,T33,"[['8.5', '8.5-8.5']]",2,1,8.5,8.5,6th row Length Range ,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/a_first/ALCONA_ALCONADAM_GROW_0003_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/a_first/ALCONA_ALCONADAM_GROW_0003_2.jpeg,
72071072,59962257,T27,[['7.7']],1,1,7.7,NA,5th row Length Range ,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/a_first/ALCONA_FOOTE_GROW_0001_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/a_first/ALCONA_FOOTE_GROW_0001_2.jpeg,
72071075,59962262,T3,[['7.2']],1,1,7.2,NA,First row Length Range ,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/a_first/ALCONA_HUBBARD_GROW_0004_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/a_first/ALCONA_HUBBARD_GROW_0004_2.jpeg,
72071075,59962262,T9,[['7.3']],1,1,7.3,NA,Second row Length Range ,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/a_first/ALCONA_HUBBARD_GROW_0004_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/a_first/ALCONA_HUBBARD_GROW_0004_2.jpeg,
72071075,59962262,T15,[['8.3']],1,1,8.3,NA,Third row Length Range ,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/a_first/ALCONA_HUBBARD_GROW_0004_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/a_first/ALCONA_HUBBARD_GROW_0004_2.jpeg,
72071075,59962262,T21,[['8.8']],1,1,8.8,NA,Fourth row Length Range ,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/a_first/ALCONA_HUBBARD_GROW_0004_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/a_first/ALCONA_HUBBARD_GROW_0004_2.jpeg,
72071075,59962262,T27,[['9.5']],1,1,9.5,NA,5th row Length Range ,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/a_first/ALCONA_HUBBARD_GROW_0004_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/a_first/ALCONA_HUBBARD_GROW_0004_2.jpeg,
72071086,59962295,T46,"[['10.0', '10']]",2,1,10,10,8th row Mean Length ,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/a_first/ALCONA_VAUGHN_GROW_0002_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/a_first/ALCONA_VAUGHN_GROW_0002_2.jpeg,
72071088,59962307,T10,"[['7.2', '7.2', '7.2'], ['', '(5', ''], ['', 'oz)', '(5oz)']]",3,1.666666667,7.2 (5 oz),7.2,Second row Mean Length ,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/a_first/ALGER_AUTRAIN_GROW_0006_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/a_first/ALGER_AUTRAIN_GROW_0006_2.jpeg,
72071088,59962307,T16,"[['7.8', '7.8', '7.8'], ['', '(6', ''], ['', 'oz)', '(6oz)']]",3,1.666666667,7.8 (6 oz),7.8,Third row Mean Length ,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/a_first/ALGER_AUTRAIN_GROW_0006_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/a_first/ALGER_AUTRAIN_GROW_0006_2.jpeg,
72071088,59962307,T22,"[['8.4', '8.4', '8.4'], ['', '(8.5', '(8.5oz)'], ['', 'oz)', '']]",3,1.666666667,8.4 (8.5 oz),8.4,Fourth row Mean Length ,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/a_first/ALGER_AUTRAIN_GROW_0006_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/a_first/ALGER_AUTRAIN_GROW_0006_2.jpeg,
72071096,59962320,T38,[['5']],1,1,5,NA,7th row Number of Fish ,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/a_first/ALGER_CARP_GROW_0001_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/a_first/ALGER_CARP_GROW_0001_2.jpeg,
72071096,59962320,T39,[['3.0-5.2']],1,1,3.0-5.2,NA,7th row Length Range ,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/a_first/ALGER_CARP_GROW_0001_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/a_first/ALGER_CARP_GROW_0001_2.jpeg,
72071096,59962320,T40,[['4.4']],1,1,4.4,NA,7th row Mean Length ,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/a_first/ALGER_CARP_GROW_0001_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/a_first/ALGER_CARP_GROW_0001_2.jpeg,
72071096,59962320,T44,[['24']],1,1,24,NA,8th row Number of Fish ,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/a_first/ALGER_CARP_GROW_0001_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/a_first/ALGER_CARP_GROW_0001_2.jpeg,
72071096,59962320,T45,[['3.0-5.8']],1,1,3.0-5.8,NA,8th row Length Range ,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/a_first/ALGER_CARP_GROW_0001_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/a_first/ALGER_CARP_GROW_0001_2.jpeg,
72071096,59962320,T46,[['4.9']],1,1,4.9,NA,8th row Mean Length ,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/a_first/ALGER_CARP_GROW_0001_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/a_first/ALGER_CARP_GROW_0001_2.jpeg,
72071096,59962320,T50,[['10']],1,1,10,NA,9th row Number of Fish ,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/a_first/ALGER_CARP_GROW_0001_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/a_first/ALGER_CARP_GROW_0001_2.jpeg,
72071096,59962320,T51,[['5.4-6.3']],1,1,5.4-6.3,NA,9th row Length Range ,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/a_first/ALGER_CARP_GROW_0001_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/a_first/ALGER_CARP_GROW_0001_2.jpeg,
72071096,59962320,T52,[['5.8']],1,1,5.8,NA,9th row Mean Length ,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/a_first/ALGER_CARP_GROW_0001_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/a_first/ALGER_CARP_GROW_0001_2.jpeg,
72071096,59962320,T56,[['2']],1,1,2,NA,10th row Number of Fish ,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/a_first/ALGER_CARP_GROW_0001_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/a_first/ALGER_CARP_GROW_0001_2.jpeg,
72071096,59962320,T57,[['7.5-9.9']],1,1,7.5-9.9,NA,10th row Length Range ,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/a_first/ALGER_CARP_GROW_0001_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/a_first/ALGER_CARP_GROW_0001_2.jpeg,
72071096,59962320,T58,[['8.7']],1,1,8.7,NA,10th row Mean Length ,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/a_first/ALGER_CARP_GROW_0001_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/a_first/ALGER_CARP_GROW_0001_2.jpeg,
72071096,59962320,T62,[['1']],1,1,1,NA,11th row Number of Fish ,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/a_first/ALGER_CARP_GROW_0001_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/a_first/ALGER_CARP_GROW_0001_2.jpeg,
72071096,59962320,T63,[['8.2']],1,1,8.2,NA,11th row Length Range ,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/a_first/ALGER_CARP_GROW_0001_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/a_first/ALGER_CARP_GROW_0001_2.jpeg,
72071096,59962320,T64,[['8.2']],1,1,8.2,NA,11th row Mean Length ,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/a_first/ALGER_CARP_GROW_0001_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/a_first/ALGER_CARP_GROW_0001_2.jpeg,
72071096,59962320,T68,[['1']],1,1,1,NA,12th row Number of Fish ,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/a_first/ALGER_CARP_GROW_0001_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/a_first/ALGER_CARP_GROW_0001_2.jpeg,
72071096,59962320,T69,[['9.3']],1,1,9.3,NA,12th row Length Range ,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/a_first/ALGER_CARP_GROW_0001_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/a_first/ALGER_CARP_GROW_0001_2.jpeg,
72071096,59962320,T70,[['9.3']],1,1,9.3,NA,12th row Mean Length ,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/a_first/ALGER_CARP_GROW_0001_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/a_first/ALGER_CARP_GROW_0001_2.jpeg,
72071100,59962339,T4,"[['2.6', '2.6""', '2.6'], ['', '(.1#)', '']]",3,1.5,2.6 (.1#),2.6,First row Mean Length ,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/a_first/ALGER_FISH_GROW_0003_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/a_first/ALGER_FISH_GROW_0003_2.jpeg,
72071100,59962339,T10,"[['7.5', '7.5""', '7.5'], ['', '(.3#)', '']]",3,1.5,7.5 (.3#),7.5,Second row Mean Length ,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/a_first/ALGER_FISH_GROW_0003_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/a_first/ALGER_FISH_GROW_0003_2.jpeg,
72071110,59962379,T2,[['1']],1,1,1,1,First row Number of Fish ,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/a_first/ALGER_NAWAKWA_GROW_0004_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/a_first/ALGER_NAWAKWA_GROW_0004_2.jpeg,
72071110,59962379,T4,"[['4.0'], ['(1oz)']]",1,1,4.0 (1oz),NA,First row Mean Length ,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/a_first/ALGER_NAWAKWA_GROW_0004_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/a_first/ALGER_NAWAKWA_GROW_0004_2.jpeg,
72071110,59962379,T8,[['1']],1,1,1,1,Second row Number of Fish ,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/a_first/ALGER_NAWAKWA_GROW_0004_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/a_first/ALGER_NAWAKWA_GROW_0004_2.jpeg,
72071110,59962379,T10,"[['4.5'], ['(2oz)']]",1,1,4.5 (2oz),NA,Second row Mean Length ,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/a_first/ALGER_NAWAKWA_GROW_0004_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/a_first/ALGER_NAWAKWA_GROW_0004_2.jpeg,
