subject_id,URL 4,URL 8,workflow_id,task,data.aligned_text,data.number_views,data.consensus_score,data.consensus_text,data.user_ids
80048590,https://changes-ifr.s3.us-east-2.amazonaws.com/ss5/GROW_pages/single/ALGER_CARP_GROW_0001_5.jpeg,,20629,T2,"[['18', '18', '18']]",3,3,18,"[1312868, 2424349, 2376369]"
80048590,https://changes-ifr.s3.us-east-2.amazonaws.com/ss5/GROW_pages/single/ALGER_CARP_GROW_0001_5.jpeg,,20629,T3,"[['2.9-4.3', '2.9-4.3', '2.9-4.3']]",3,3,2.9-4.3,"[1312868, 2424349, 2376369]"
80048590,https://changes-ifr.s3.us-east-2.amazonaws.com/ss5/GROW_pages/single/ALGER_CARP_GROW_0001_5.jpeg,,20629,T4,"[['3.5', '3.5', '3.5']]",3,3,3.5,"[1312868, 2424349, 2376369]"
80048590,https://changes-ifr.s3.us-east-2.amazonaws.com/ss5/GROW_pages/single/ALGER_CARP_GROW_0001_5.jpeg,,20629,T8,"[['7', '7', '7']]",3,3,7,"[1312868, 2424349, 2376369]"
80048590,https://changes-ifr.s3.us-east-2.amazonaws.com/ss5/GROW_pages/single/ALGER_CARP_GROW_0001_5.jpeg,,20629,T9,"[['4.7-5.9', '4.7-5.9', '4.7-5.9']]",3,3,4.7-5.9,"[1312868, 2424349, 2376369]"
80048590,https://changes-ifr.s3.us-east-2.amazonaws.com/ss5/GROW_pages/single/ALGER_CARP_GROW_0001_5.jpeg,,20629,T10,"[['5.3', '5.3', '5.3']]",3,3,5.3,"[1312868, 2424349, 2376369]"
80048590,https://changes-ifr.s3.us-east-2.amazonaws.com/ss5/GROW_pages/single/ALGER_CARP_GROW_0001_5.jpeg,,20629,T14,"[['10', '10', '10']]",3,3,10,"[1312868, 2424349, 2376369]"
80048590,https://changes-ifr.s3.us-east-2.amazonaws.com/ss5/GROW_pages/single/ALGER_CARP_GROW_0001_5.jpeg,,20629,T15,"[['5.6-6.5', '5.6-6.5', '5.6-6.5']]",3,3,5.6-6.5,"[1312868, 2424349, 2376369]"
80048590,https://changes-ifr.s3.us-east-2.amazonaws.com/ss5/GROW_pages/single/ALGER_CARP_GROW_0001_5.jpeg,,20629,T16,"[['6.1', '6.1', '6.1']]",3,3,6.1,"[1312868, 2424349, 2376369]"
80048590,https://changes-ifr.s3.us-east-2.amazonaws.com/ss5/GROW_pages/single/ALGER_CARP_GROW_0001_5.jpeg,,20629,T20,"[['10', '10', '10']]",3,3,10,"[1312868, 2424349, 2376369]"
80048590,https://changes-ifr.s3.us-east-2.amazonaws.com/ss5/GROW_pages/single/ALGER_CARP_GROW_0001_5.jpeg,,20629,T21,"[['6.5-7.3', '6.5-7.3', '6.5-7.3']]",3,3,6.5-7.3,"[1312868, 2424349, 2376369]"
80048590,https://changes-ifr.s3.us-east-2.amazonaws.com/ss5/GROW_pages/single/ALGER_CARP_GROW_0001_5.jpeg,,20629,T22,"[['7.6', '7.6', '7.6']]",3,3,7.6,"[1312868, 2424349, 2376369]"
80048590,https://changes-ifr.s3.us-east-2.amazonaws.com/ss5/GROW_pages/single/ALGER_CARP_GROW_0001_5.jpeg,,20629,T26,"[['7', '7', '7']]",3,3,7,"[1312868, 2424349, 2376369]"
