"subject_id","new_key","lakename","county","age_group","fish_count","length_min_mm","length_max_mm","length_mean_mm","begin_date_day","begin_date_month","begin_date_year","end_date_day","end_date_month","end_date_year","comment","url_front","url_back"
59687967,"1-67","HORSESHOE","ALCONA","1",15,101.6,152.4,127,21,"September",1982,22,"September",1982,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/single/ALCONA_HORSESHOE_GROW_0001.jpeg",NA
59687967,"1-67","HORSESHOE","ALCONA","2",1,190.5,NA,190.5,21,"September",1982,22,"September",1982,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/single/ALCONA_HORSESHOE_GROW_0001.jpeg",NA
59687967,"1-67","HORSESHOE","ALCONA","3",4,177.8,228.6,195.58,21,"September",1982,22,"September",1982,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/single/ALCONA_HORSESHOE_GROW_0001.jpeg",NA
58642607,"1-67","HORSESHOE","Alcona","1",15,101.6,152.4,129.54,20,"September",1982,22,"September",1982,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Alcona_Horseshoe_GROW_Doc0672.jpg",NA
58642607,"1-67","HORSESHOE","Alcona","2",1,190.5,NA,190.5,20,"September",1982,22,"September",1982,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Alcona_Horseshoe_GROW_Doc0672.jpg",NA
58642607,"1-67","HORSESHOE","Alcona","3",4,177.8,228.6,198.12,20,"September",1982,22,"September",1982,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Alcona_Horseshoe_GROW_Doc0672.jpg",NA
58642609,"1-67","HORSESHOE","Alcona","1",15,101.6,152.4,127,21,"September",1982,22,"September",1982,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Alcona_Horseshoe_GROW_Doc0673.jpg",NA
58642609,"1-67","HORSESHOE","Alcona","2",1,190.5,NA,190.5,21,"September",1982,22,"September",1982,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Alcona_Horseshoe_GROW_Doc0673.jpg",NA
58642609,"1-67","HORSESHOE","Alcona","3",4,177.8,228.6,195.58,21,"September",1982,22,"September",1982,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Alcona_Horseshoe_GROW_Doc0673.jpg",NA
58642613,"1-165","HUBBARD","Alcona","4",1,182.88,NA,182.88,30,"April",1969,NA,"April",NA,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Alcona_Hubbard_GROW_Doc1001.jpg",NA
58642613,"1-165","HUBBARD","Alcona","5",1,185.42,NA,185.42,30,"April",1969,NA,"April",NA,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Alcona_Hubbard_GROW_Doc1001.jpg",NA
58642613,"1-165","HUBBARD","Alcona","6",2,205.74,215.9,210.82,30,"April",1969,NA,"April",NA,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Alcona_Hubbard_GROW_Doc1001.jpg",NA
58642613,"1-165","HUBBARD","Alcona","7",2,218.44,231.14,223.52,30,"April",1969,NA,"April",NA,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Alcona_Hubbard_GROW_Doc1001.jpg",NA
58642613,"1-165","HUBBARD","Alcona","8",1,241.3,NA,241.3,30,"April",1969,NA,"April",NA,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Alcona_Hubbard_GROW_Doc1001.jpg",NA
59687971,"1-63","OBRIEN","ALCONA","1",1,63.5,NA,63.5,21,"August",1984,22,"August",1984,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/single/ALCONA_OBRIEN_GROW_0003.jpeg",NA
59687971,"1-63","OBRIEN","ALCONA","3",1,142.24,NA,142.24,21,"August",1984,22,"August",1984,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/single/ALCONA_OBRIEN_GROW_0003.jpeg",NA
59687978,"2-730","BEAVERLITTLE","ALGER","4",2,110,145,127,24,"June",1980,26,"June",1980,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/single/ALGER_BEAVERLITTLE_GROW_0002.jpeg",NA
59687978,"2-730","BEAVERLITTLE","ALGER","6",1,158,NA,158,24,"June",1980,26,"June",1980,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/single/ALGER_BEAVERLITTLE_GROW_0002.jpeg",NA
58642622,"15-21","CHARLEVOIX","Charlevoix","6",1,177.8,NA,177.8,10,"May",1984,NA,"May",NA,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Charlevoix_Charlevoix51_GROW.jpg",NA
58642621,"15-15","DEER","Charlevoix","6",1,254,NA,254,7,"August",1989,28,"August",1989,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Charlevoix_Deer_013_GROW.jpg",NA
58642631,"17-210","CARPLITTLE","Chippewa","2",6,114.3,124.46,116.84,22,"June",1976,NA,"June",NA,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Chippewa_CarpLittle_GROW_004.jpg",NA
58642631,"17-210","CARPLITTLE","Chippewa","3",2,134.62,144.78,139.7,22,"June",1976,NA,"June",NA,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Chippewa_CarpLittle_GROW_004.jpg",NA
58642631,"17-210","CARPLITTLE","Chippewa","10",1,NA,NA,259.08,22,"June",1976,NA,"June",NA,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Chippewa_CarpLittle_GROW_004.jpg",NA
58642646,"18-196","CRANBERRY","Clare","3",3,91.44,101.6,96.52,29,"April",1991,2,"May",1991,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Clare_Cranberry19N_4W_S1-12_GROW_078.jpg",NA
58642646,"18-196","CRANBERRY","Clare","5",2,144.78,147.32,147.32,29,"April",1991,2,"May",1991,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Clare_Cranberry19N_4W_S1-12_GROW_078.jpg",NA
58642646,"18-196","CRANBERRY","Clare","6",1,167.64,NA,167.64,29,"April",1991,2,"May",1991,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Clare_Cranberry19N_4W_S1-12_GROW_078.jpg",NA
58642646,"18-196","CRANBERRY","Clare","7",6,193.04,254,218.44,29,"April",1991,2,"May",1991,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Clare_Cranberry19N_4W_S1-12_GROW_078.jpg",NA
58642646,"18-196","CRANBERRY","Clare","8",3,220.98,254,231.14,29,"April",1991,2,"May",1991,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Clare_Cranberry19N_4W_S1-12_GROW_078.jpg",NA
58642646,"18-196","CRANBERRY","Clare","10",2,228.6,233.68,231.14,29,"April",1991,2,"May",1991,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Clare_Cranberry19N_4W_S1-12_GROW_078.jpg",NA
58642646,"18-196","CRANBERRY","Clare","9",NA,NA,NA,NA,29,"April",1991,2,"May",1991,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Clare_Cranberry19N_4W_S1-12_GROW_078.jpg",NA
58642646,"18-196","CRANBERRY","Clare","10",2,228.6,233.68,231.14,29,"April",1991,2,"May",1991,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Clare_Cranberry19N_4W_S1-12_GROW_078.jpg",NA
