"subject_id","URL.4","URL.8","task","Full.Task","data.value"
58642605,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Alcona_AlconaDam_GROW_Doc0006.jpg",NA,"T1","First row age group [Dropdown]","[{'I / 1': 3}]"
58642605,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Alcona_AlconaDam_GROW_Doc0006.jpg",NA,"T7","Second row age group [Dropdown]","[{'II / 2': 3}]"
58642605,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Alcona_AlconaDam_GROW_Doc0006.jpg",NA,"T13","Third row age group [Dropdown]","[{'III / 3': 3}]"
58642606,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Alcona_AlconaDam_GROW_Doc0005.jpg",NA,"T1","First row age group [Dropdown]","[{'I / 1': 3}]"
58642606,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Alcona_AlconaDam_GROW_Doc0005.jpg",NA,"T7","Second row age group [Dropdown]","[{'II / 2': 3}]"
58642606,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Alcona_AlconaDam_GROW_Doc0005.jpg",NA,"T13","Third row age group [Dropdown]","[{'III / 3': 3}]"
58642606,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Alcona_AlconaDam_GROW_Doc0005.jpg",NA,"T19","Fourth row age group [Dropdown]","[{'V / 5': 3}]"
58642606,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Alcona_AlconaDam_GROW_Doc0005.jpg",NA,"T25","5th row age group [Dropdown]","[{'VI / 6': 3}]"
58642621,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Charlevoix_Deer_013_GROW.jpg",NA,"T1","First row age group [Dropdown]","[{'II / 2': 3}]"
58642622,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Charlevoix_Charlevoix51_GROW.jpg",NA,"T1","First row age group [Dropdown]","[{'III / 3': 3}]"
58642625,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Cheboygan_Burt_GROW_341.jpg",NA,"T1","First row age group [Dropdown]","[{'VII / 7': 3}]"
58642631,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Chippewa_CarpLittle_GROW_004.jpg",NA,"T1","First row age group [Dropdown]","[{'I / 1': 3}]"
58642631,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Chippewa_CarpLittle_GROW_004.jpg",NA,"T7","Second row age group [Dropdown]","[{'II / 2': 3}]"
