subject_id,URL 4,URL 8,workflow_id,task,Full Task Text,data.value
82941741,https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/GROW/double/Otsego_LittleBear_GROW_8.jpeg,,20474,T1,First row age group [Dropdown],[{'IV / 4': 3}]
82941749,https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/GROW/double/PresqueIsle_Grand_GROW_8.jpeg,,20474,T1,First row age group [Dropdown],[{'II / 2': 2}]
82941749,https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/GROW/double/PresqueIsle_Grand_GROW_8.jpeg,,20474,T7,Second row age group [Dropdown],[{'XII / 12 ': 2}]
82941750,https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/GROW/double/PresqueIsle_Nettie_GROW_2.jpeg,,20474,T1,First row age group [Dropdown],[{'II / 2': 3}]
82941750,https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/GROW/double/PresqueIsle_Nettie_GROW_2.jpeg,,20474,T7,Second row age group [Dropdown],[{'III / 3': 3}]
82941750,https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/GROW/double/PresqueIsle_Nettie_GROW_2.jpeg,,20474,T13,Third row age group [Dropdown],[{'IV / 4': 3}]
82941750,https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/GROW/double/PresqueIsle_Nettie_GROW_2.jpeg,,20474,T19,Fourth row age group [Dropdown],[{'VI / 6': 3}]
82941753,https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/GROW/double/StJosesph_Fishers_GROW_20.jpeg,,20474,T1,First row age group [Dropdown],[{'V / 5': 3}]
82941848,https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/GROW/double/Otsego_Big_GROW_6.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/GROW/double/Otsego_Big_GROW_5.jpeg,20474,T1,First row age group [Dropdown],"[{'IV / 4': 1, 'I / 1': 1, 'V / 5': 1}]"
82941848,https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/GROW/double/Otsego_Big_GROW_6.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/GROW/double/Otsego_Big_GROW_5.jpeg,20474,T7,Second row age group [Dropdown],"[{'V / 5': 1, 'II / 2': 1, 'VI / 6': 1}]"
82941849,https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/GROW/double/Otsego_LittleBear_GROW_8.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/GROW/double/Otsego_LittleBear_GROW_6.jpeg,20474,T1,First row age group [Dropdown],[{'IV / 4': 3}]
82941853,https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/GROW/double/PresqueIsle_Grand_GROW_12.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/GROW/double/PresqueIsle_Grand_GROW_11.jpeg,20474,T1,First row age group [Dropdown],[{'I / 1': 3}]
82941853,https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/GROW/double/PresqueIsle_Grand_GROW_12.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/GROW/double/PresqueIsle_Grand_GROW_11.jpeg,20474,T7,Second row age group [Dropdown],[{'II / 2': 3}]
82941853,https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/GROW/double/PresqueIsle_Grand_GROW_12.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/GROW/double/PresqueIsle_Grand_GROW_11.jpeg,20474,T13,Third row age group [Dropdown],[{'IV / 4': 3}]
82941853,https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/GROW/double/PresqueIsle_Grand_GROW_12.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/GROW/double/PresqueIsle_Grand_GROW_11.jpeg,20474,T19,Fourth row age group [Dropdown],"[{'V / 5': 2, 'VII / 7': 1}]"
