subject_id,task,data.aligned_text,data.number_views,data.consensus_score,data.consensus_text,data,column_name,URL_front,URL_back,comments
58642733,T3,[['7.2']],1,1,7.2,7.2,First row Length Range,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Kalkaska_Bear_GROW_003.jpg,NA,
58746140,T2,[['1']],1,1,1,NA,First row Number of Fish,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Schoolcraft_Vance_GROW_016.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Schoolcraft_Vance_GROW_015.jpeg,This card does not contain smallmouthbass
58746140,T3,[['11.0']],1,1,11,NA,First row Length Range,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Schoolcraft_Vance_GROW_016.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Schoolcraft_Vance_GROW_015.jpeg,This card does not contain smallmouthbass
58746140,T4,[['11.0']],1,1,11,NA,First row Mean Length,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Schoolcraft_Vance_GROW_016.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Schoolcraft_Vance_GROW_015.jpeg,This card does not contain smallmouthbass
58746140,T8,[['1']],1,1,1,NA,Second row Number of Fish,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Schoolcraft_Vance_GROW_016.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Schoolcraft_Vance_GROW_015.jpeg,This card does not contain smallmouthbass
58746140,T9,[['17.0']],1,1,17,NA,Second row Length Range,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Schoolcraft_Vance_GROW_016.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Schoolcraft_Vance_GROW_015.jpeg,This card does not contain smallmouthbass
58746140,T10,[['17.0']],1,1,17,NA,Second row Mean Length,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Schoolcraft_Vance_GROW_016.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Schoolcraft_Vance_GROW_015.jpeg,This card does not contain smallmouthbass
58746154,T4,"[['', '17.0', '17.0'], ['17.0(35.0oz)', '', '(35.0'], ['', '', 'oz)']]",3,1.333333333,17.0 17.0(35.0oz) oz),17,First row Mean Length,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Schoolcraft_Swan_GROW_012.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Schoolcraft_Swan_GROW_011.jpeg,
58746164,T4,"[['10.1', '10.1', '10.1'], ['', '(11.0', ''], ['', 'oz)', '']]",3,1.666666667,10.1 (11.0 oz),10.1,First row Mean Length,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Schoolcraft_Stueben_GROW_038.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Schoolcraft_Stueben_GROW_037.jpeg,
58746164,T10,"[['16.5', '16.5(2#14.0', '16.5'], ['', 'oz.)', '']]",3,1.5,16.5 oz.),16.5,Second row Mean Length,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Schoolcraft_Stueben_GROW_038.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Schoolcraft_Stueben_GROW_037.jpeg,
58746169,T4,"[['4.1', '41.1', '4.1'], ['', '(.1#)', '']]",3,1.5,4.1 (.1#),4.1,First row Mean Length,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Schoolcraft_Straits_GROW_052.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Schoolcraft_Straits_GROW_051.jpeg,
58746255,T10,"[['15.0', '15.0', '15.0'], ['', '', '(2#2.0'], ['', '', 'oz.)']]",3,1.666666667,15.0 (2#2.0 oz.),15,Second row Mean Length,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Schoolcraft_Gulliver_GROW_110.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Schoolcraft_Gulliver_GROW_109.jpeg,
