"subject_id","task","data.aligned_text","data.number_views","data.consensus_score","data.consensus_text"
58642605,"T2","[['4', '4', '4']]",3,3,"4"
58642605,"T3","[['2.8-5.5', '2.8-5.5', '2.8-5.5']]",3,3,"2.8-5.5"
58642605,"T4","[['3.6', '3.6', '3.6']]",3,3,"3.6"
58642605,"T8","[['8', '8', '8']]",3,3,"8"
58642605,"T9","[['6.6-9.6', '6.6-9.6', '6.6-9.6']]",3,3,"6.6-9.6"
58642605,"T10","[['8.3', '8.3', '8.3']]",3,3,"8.3"
58642605,"T14","[['1', '1', '1']]",3,3,"1"
58642605,"T15","[['10.2', '10.2', '10.2']]",3,3,"10.2"
58642605,"T16","[['10.2', '10.2', '10.2']]",3,3,"10.2"
58642606,"T2","[['3', '3', '3']]",3,3,"3"
58642606,"T3","[['3.2-6.4', '3.2-6.4', '3.2-6.4']]",3,3,"3.2-6.4"
58642606,"T4","[['4.9', '4.9', '4.9']]",3,3,"4.9"
58642606,"T8","[['12', '12', '12']]",3,3,"12"
58642606,"T9","[['5.7-9.5', '5.7-9.5', '5.7-9.5']]",3,3,"5.7-9.5"
58642606,"T10","[['8.0', '8.0', '8.0']]",3,3,"8.0"
58642606,"T14","[['10', '10', '10']]",3,3,"10"
58642606,"T15","[['9.0-12.7', '9.0-12.7', '9.0-12.7']]",3,3,"9.0-12.7"
58642606,"T16","[['10.9', '10.9', '10.9']]",3,3,"10.9"
58642606,"T20","[['2', '2', '2']]",3,3,"2"
58642606,"T21","[['15.3-15.8', '15.3-15.8', '15.3-15.8']]",3,3,"15.3-15.8"
58642606,"T22","[['15.5', '15.5', '15.5']]",3,3,"15.5"
58642606,"T26","[['1', '1', '1']]",3,3,"1"
58642606,"T27","[['16.3', '16.3', '16.3']]",3,3,"16.3"
58642606,"T28","[['16.3', '16.3', '16.3']]",3,3,"16.3"
58642621,"T2","[['3', '3', '3']]",3,3,"3"
58642621,"T3","[['11.0-14.0', '11.0-14.0', '11.0-14.0']]",3,3,"11.0-14.0"
58642621,"T4","[['13.0', '13.0', '13.0']]",3,3,"13.0"
58642622,"T2","[['1', '1', '1']]",3,3,"1"
58642622,"T3","[['10.0', '10.0', '10.0']]",3,3,"10.0"
58642622,"T4","[['10.0', '10.0', '10.0']]",3,3,"10.0"
58642625,"T2","[['1', '1', '1']]",3,3,"1"
58642625,"T3","[['18.5', '18.5', '18.5']]",3,3,"18.5"
58642625,"T4","[['18.5', '18.5', '18.5']]",3,3,"18.5"
58642631,"T2","[['2', '2', '2']]",3,3,"2"
58642631,"T4","[['6.4', '6.4', '6.4']]",3,3,"6.4"
58642631,"T8","[['4', '4', '4']]",3,3,"4"
58642631,"T9","[['7.2-8.5', '7.2-8.5', '7.2-8.5']]",3,3,"7.2-8.5"
58642631,"T10","[['7.6', '7.6', '7.6']]",3,3,"7.6"
58642631,"T14","[['2', '2', '2']]",3,3,"2"
58642631,"T15","[['10.2-11.8', '10.2-11.8', '10.2-11.8']]",3,3,"10.2-11.8"
58642631,"T16","[['11.0', '11.0', '11.0']]",3,3,"11.0"
58642657,"T2","[['3', '3', '3']]",3,3,"3"
58642657,"T3","[['9.8-10.0', '9.8-10.0', '9.8-10.0']]",3,3,"9.8-10.0"
58642657,"T4","[['9.9', '9.9', '9.9']]",3,3,"9.9"
58642657,"T8","[['2', '2', '2']]",3,3,"2"
58642657,"T9","[['8.5-12.4', '8.5-12.4', '8.5-12.4']]",3,3,"8.5-12.4"
58642657,"T10","[['10.4', '10.41', '10.41']]",3,2,"10.41"
58642657,"T14","[['1', '1', '1']]",3,3,"1"
58642657,"T15","[['16.5', '16.5', '16.5']]",3,3,"16.5"
58642657,"T16","[['16.5', '16.5', '16.5']]",3,3,"16.5"
58642658,"T2","[['3', '3', '3']]",3,3,"3"
58642658,"T3","[['8.3-8.7', '8.3-8.7', '8.3-8.7']]",3,3,"8.3-8.7"
58642658,"T4","[['8.4', '8.4', '8.4']]",3,3,"8.4"
58642658,"T8","[['7', '7', '7']]",3,3,"7"
58642658,"T9","[['8.8-11.5', '8.8-11.5', '8.8-11.5']]",3,3,"8.8-11.5"
58642658,"T10","[['10.1', '10.1', '10.1']]",3,3,"10.1"
58642658,"T14","[['12', '12', '12']]",3,3,"12"
58642658,"T15","[['11.2-14.9', '11.2-14.9', '11.2-14.9']]",3,3,"11.2-14.9"
58642658,"T16","[['12.9', '12.9', '12.9']]",3,3,"12.9"
58642658,"T20","[['7', '7', '7']]",3,3,"7"
