subject_id,URL 4,URL 8,workflow_id,task,Full Task Text,data.aligned_text,data.number_views,data.consensus_score,data.consensus_text,data.user_ids
82941741,https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/GROW/double/Otsego_LittleBear_GROW_8.jpeg,,20474,T2,First row Number of Fish [Text],"[['1', '1', '1']]",3,3,1,"[1061480, 1484814, 1312868]"
82941741,https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/GROW/double/Otsego_LittleBear_GROW_8.jpeg,,20474,T3,First row Length Range [Text],"[['8.8', '8.8', '9.0']]",3,2,8.8,"[1061480, 1484814, 1312868]"
82941741,https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/GROW/double/Otsego_LittleBear_GROW_8.jpeg,,20474,T4,First row Mean Length [Text],"[['8.8', '8.8', '9.0']]",3,2,8.8,"[1061480, 1484814, 1312868]"
82941749,https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/GROW/double/PresqueIsle_Grand_GROW_8.jpeg,,20474,T2,First row Number of Fish [Text],"[['1', '1']]",2,2,1,"[1061480, 1312868]"
82941749,https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/GROW/double/PresqueIsle_Grand_GROW_8.jpeg,,20474,T3,First row Length Range [Text],"[['7.6', '7.6']]",2,2,7.6,"[1061480, 1312868]"
82941749,https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/GROW/double/PresqueIsle_Grand_GROW_8.jpeg,,20474,T4,First row Mean Length [Text],"[['7.6', '7.6']]",2,2,7.6,"[1061480, 1312868]"
82941749,https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/GROW/double/PresqueIsle_Grand_GROW_8.jpeg,,20474,T8,Second row Number of Fish [Text],"[['1', '1']]",2,2,1,"[1061480, 1312868]"
82941749,https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/GROW/double/PresqueIsle_Grand_GROW_8.jpeg,,20474,T9,Second row Length Range [Text],"[['20.1', '20.1']]",2,2,20.1,"[1061480, 1312868]"
82941749,https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/GROW/double/PresqueIsle_Grand_GROW_8.jpeg,,20474,T10,Second row Mean Length [Text],"[['20.1', '20.1']]",2,2,20.1,"[1061480, 1312868]"
82941750,https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/GROW/double/PresqueIsle_Nettie_GROW_2.jpeg,,20474,T2,First row Number of Fish [Text],"[['1', '1', '1']]",3,3,1,"[1061480, 1312868, 1484814]"
82941750,https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/GROW/double/PresqueIsle_Nettie_GROW_2.jpeg,,20474,T3,First row Length Range [Text],"[['8.9', '8.9', '8.9']]",3,3,8.9,"[1061480, 1312868, 1484814]"
82941750,https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/GROW/double/PresqueIsle_Nettie_GROW_2.jpeg,,20474,T4,First row Mean Length [Text],"[['8.9', '8.9', '8.9']]",3,3,8.9,"[1061480, 1312868, 1484814]"
82941750,https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/GROW/double/PresqueIsle_Nettie_GROW_2.jpeg,,20474,T8,Second row Number of Fish [Text],"[['1', '1', '1']]",3,3,1,"[1061480, 1312868, 1484814]"
82941750,https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/GROW/double/PresqueIsle_Nettie_GROW_2.jpeg,,20474,T9,Second row Length Range [Text],"[['11', '11', '11']]",3,3,11,"[1061480, 1312868, 1484814]"
82941750,https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/GROW/double/PresqueIsle_Nettie_GROW_2.jpeg,,20474,T10,Second row Mean Length [Text],"[['11', '11', '11']]",3,3,11,"[1061480, 1312868, 1484814]"
