"subject_id","new_key","lakename","county","age_group","fish_count","length_min_mm","length_max_mm","length_mean_mm","begin_date_day","begin_date_month","begin_date_year","end_date_day","end_date_month","end_date_year","comment","url_front","url_back"
58642605,"1-4","ALCONADAM","Alcona",1,4,71.12,139.7,91.44,23,"May",1990,24,"May",1990,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Alcona_AlconaDam_GROW_Doc0006.jpg",NA
58642605,"1-4","ALCONADAM","Alcona",2,8,167.64,243.84,210.82,23,"May",1990,24,"May",1990,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Alcona_AlconaDam_GROW_Doc0006.jpg",NA
58642605,"1-4","ALCONADAM","Alcona",3,1,259.08,NA,259.08,23,"May",1990,24,"May",1990,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Alcona_AlconaDam_GROW_Doc0006.jpg",NA
58642606,"1-4","ALCONADAM","Alcona",1,3,81.28,162.56,124.46,4,"June",1990,8,"June",1990,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Alcona_AlconaDam_GROW_Doc0005.jpg",NA
58642606,"1-4","ALCONADAM","Alcona",2,12,144.78,241.3,203.2,4,"June",1990,8,"June",1990,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Alcona_AlconaDam_GROW_Doc0005.jpg",NA
58642606,"1-4","ALCONADAM","Alcona",3,10,228.6,322.58,276.86,4,"June",1990,8,"June",1990,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Alcona_AlconaDam_GROW_Doc0005.jpg",NA
58642606,"1-4","ALCONADAM","Alcona",5,2,388.62,401.32,393.7,4,"June",1990,8,"June",1990,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Alcona_AlconaDam_GROW_Doc0005.jpg",NA
58642606,"1-4","ALCONADAM","Alcona",6,1,414.02,NA,414.02,4,"June",1990,8,"June",1990,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Alcona_AlconaDam_GROW_Doc0005.jpg",NA
58642621,"15-15","DEER","Charlevoix",2,3,279.4,355.6,330.2,7,"August",1989,28,"August",1989,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Charlevoix_Deer_013_GROW.jpg",NA
58642622,"15-21","CHARLEVOIX","Charlevoix",3,1,254,NA,254,10,"May",1984,NA,"May",NA,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Charlevoix_Charlevoix51_GROW.jpg",NA
58642625,"16-193","BURT","Cheboygan",7,1,469.9,NA,469.9,17,"April",1995,8,"May",1995,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Cheboygan_Burt_GROW_341.jpg",NA
58642631,"17-210","CARPLITTLE","Chippewa",1,2,NA,NA,162.56,22,"June",1976,NA,"June",NA,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Chippewa_CarpLittle_GROW_004.jpg",NA
