subject_id,URL 4,URL 8,workflow_id,task,data.aligned_text,data.number_views,data.consensus_score,data.consensus_text,data.user_ids
80048640,https://changes-ifr.s3.us-east-2.amazonaws.com/ss5/GROW_pages/single/Livingston_Woodland_GROW_089.jpeg,,20655,T2,"[['2', '2', '2']]",3,3,2,"[1484814, 1312868, 1691537]"
80048640,https://changes-ifr.s3.us-east-2.amazonaws.com/ss5/GROW_pages/single/Livingston_Woodland_GROW_089.jpeg,,20655,T3,"[['17.5-21.5', '17.5-21.5', '17.5-21.5']]",3,3,17.5-21.5,"[1484814, 1312868, 1691537]"
80048640,https://changes-ifr.s3.us-east-2.amazonaws.com/ss5/GROW_pages/single/Livingston_Woodland_GROW_089.jpeg,,20655,T4,"[['19.8', '19.8', '19.8']]",3,3,19.8,"[1484814, 1312868, 1691537]"
80048654,https://changes-ifr.s3.us-east-2.amazonaws.com/ss5/GROW_pages/single/OAKLAND_TIPSICO_GROW_0003_7.jpeg,,20655,T2,"[['1', '1', '1']]",3,3,1,"[1484814, 1312868, 2155858]"
80048654,https://changes-ifr.s3.us-east-2.amazonaws.com/ss5/GROW_pages/single/OAKLAND_TIPSICO_GROW_0003_7.jpeg,,20655,T3,"[['21.4', '21.4', '21.4']]",3,3,21.4,"[1484814, 1312868, 2155858]"
80048654,https://changes-ifr.s3.us-east-2.amazonaws.com/ss5/GROW_pages/single/OAKLAND_TIPSICO_GROW_0003_7.jpeg,,20655,T4,"[['21.4', '21.4', '21.4']]",3,3,21.4,"[1484814, 1312868, 2155858]"
80048654,https://changes-ifr.s3.us-east-2.amazonaws.com/ss5/GROW_pages/single/OAKLAND_TIPSICO_GROW_0003_7.jpeg,,20655,T8,"[['1', '1', '1']]",3,3,1,"[1484814, 1312868, 2155858]"
80048654,https://changes-ifr.s3.us-east-2.amazonaws.com/ss5/GROW_pages/single/OAKLAND_TIPSICO_GROW_0003_7.jpeg,,20655,T9,"[['36.2', '36.2', '36.2']]",3,3,36.2,"[1484814, 1312868, 2155858]"
80048654,https://changes-ifr.s3.us-east-2.amazonaws.com/ss5/GROW_pages/single/OAKLAND_TIPSICO_GROW_0003_7.jpeg,,20655,T10,"[['36.2', '36.2', '36.2']]",3,3,36.2,"[1484814, 1312868, 2155858]"
80048678,https://changes-ifr.s3.us-east-2.amazonaws.com/ss5/GROW_pages/double/Iron_Paint_GROW_038.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss5/GROW_pages/double/Iron_Paint_GROW_039.jpeg,20655,T2,[['7']],1,1,7,[1312868]
