"subject_id","new_key","lakename","county","age_group","fish_count","length_min_mm","length_max_mm","length_mean_mm","begin_date_day","begin_date_month","begin_date_year","end_date_day","end_date_month","end_date_year","comment","url_front","url_back"
58642649,"19-201","OVID","Clinton",3,1,762,NA,762,18,"June",1981,NA,NA,NA,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Clinton_Ovid_003.jpg",NA
58642655,"20-44","MARGRETHE","Crawford",3,1,683.26,NA,683.26,16,"May",1988,19,"May",1988,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Crawford_Margrethe_GROW_122.jpg",NA
58642767,"41-278","PINEISLANDBIG","Kent",3,2,787,NA,787,2,"October",1978,3,"October",1978,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Kent_PineIslandBig_GROW_003.jpg",NA
58642774,"42-93","BAILEY","Keweenaw",5,1,701.04,NA,701.04,29,"August",NA,30,"August",NA,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Keweenaw_Bailey_GROW_20200313152209706_0003.jpeg",NA
59688138,"54-51","ROUND","Mecosta",2,2,541.02,604.52,574.04,16,"April",1991,NA,"April",NA,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/single/Mecosta_Round_GROW_034.jpg",NA
59688090,"61-7","MONA","MUSKEGON",5,3,802.64,947.42,NA,30,"April",1996,1,"May",1996,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/single/MUSKEGON_MONA_GROW_0001.jpeg",NA
59688089,"61-7","MONA","MUSKEGON",5,3,802.64,947.42,NA,1,"May",1996,1,"May",1996,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/single/MUSKEGON_MONA_GROW_0007.jpeg",NA
59962244,"1-52","CEDAR","ALCONA",0,4,266.7,327.66,297.18,8,"October",1990,11,"October",1990,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/a_first/ALCONA_CEDAR_GROW_0001_1.jpeg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/a_first/ALCONA_CEDAR_GROW_0001_2.jpeg"
59962251,"1-52","CEDAR","ALCONA",2,3,546.1,601.98,581.66,25,"August",1982,27,"August",1982,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/a_first/ALCONA_CEDAR_GROW_0006_1.jpeg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/a_first/ALCONA_CEDAR_GROW_0006_2.jpeg"
59962250,"1-52","CEDAR","ALCONA",0,2,210.82,NA,210.82,25,"August",1982,27,"August",1982,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/a_first/ALCONA_CEDAR_GROW_0007_1.jpeg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/a_first/ALCONA_CEDAR_GROW_0007_2.jpeg"
59962361,"2-627","KINGSTON","ALGER",3,1,751.84,NA,751.84,23,"July",1986,27,"July",1986,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/a_first/ALGER_KINGSTON_GROW_0002_1.jpeg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/a_first/ALGER_KINGSTON_GROW_0002_2.jpeg"
59962359,"2-627","KINGSTON","ALGER",1,2,290,325,308,19,"June",1979,28,"June",1979,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/a_first/ALGER_KINGSTON_GROW_0003_1.jpeg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/a_first/ALGER_KINGSTON_GROW_0003_2.jpeg"
59962430,"3-153","DUMONT","ALLEGAN",1,4,523.24,629.92,563.88,30,"September",1985,21,"October",1985,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/a_first/ALLEGAN_DUMONT_GROW_0001_1.jpeg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/a_first/ALLEGAN_DUMONT_GROW_0001_2.jpeg"
59962429,"3-153","DUMONT","ALLEGAN",2,2,502.92,538.48,520.7,8,"May",1990,9,"May",1990,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/a_first/ALLEGAN_DUMONT_GROW_0002_1.jpeg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/a_first/ALLEGAN_DUMONT_GROW_0002_2.jpeg"
59962441,"3-71","OSTERHOUT","ALLEGAN",1,5,259.08,309.88,274.32,19,"April",1990,20,"April",1990,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/a_first/ALLEGAN_OSTERHOUT_GROW_0001_1.jpeg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/a_first/ALLEGAN_OSTERHOUT_GROW_0001_2.jpeg"
