subject_id,data_value,review,review2,age1,age2,age,column_name,URL_front,URL_back,comments
58642664,"[{'4040e2f3309d4': 1, 'b5dd4313edeb5': 1}]",1,1,13,NA,3,14th row age group ,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Gogebic_Gogebic_GROW_004.jpg,NA,
58642699,[{'d35a342219052': 1}],1,NA,6,NA,6,7th row age group ,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Ionia_Sessions_GROW_005.jpg,NA,
58642699,[{'dfa9a05e76b99': 1}],1,NA,7,NA,7,8th row age group ,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Ionia_Sessions_GROW_005.jpg,NA,
58642777,[{'f8b7b8eb6ec54': 1}],1,NA,3,NA,NA,First row age group ,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Keweenaw_FannyHooe_GROW_20200313154820816_0003.jpeg,NA,
58746250,[{'72be94583010d': 1}],1,NA,0,NA,14,Fourth row age group ,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Schoolcraft_Gulliver_GROW_140.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Schoolcraft_Gulliver_GROW_139.jpeg,
58746258,[{'375a3be641bb1': 1}],1,NA,10,NA,1,First row age group ,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Schoolcraft_Gulliver_GROW_072.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Schoolcraft_Gulliver_GROW_071.jpeg,
58746355,[{'61e7e424e6454': 1}],1,NA,0,NA,0,6th row age group ,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Roscommon_Houghton_GROW_046.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Roscommon_Houghton_GROW_045.jpeg,
58746355,[{'cbbfa1dc9ea46': 1}],1,NA,1,NA,1,7th row age group ,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Roscommon_Houghton_GROW_046.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Roscommon_Houghton_GROW_045.jpeg,
58746355,[{'d819d8d3c0bcc': 1}],1,NA,2,NA,2,8th row age group ,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Roscommon_Houghton_GROW_046.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Roscommon_Houghton_GROW_045.jpeg,
58746355,[{'1f0d3adc8eef': 1}],1,NA,3,NA,3,9th row age group ,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Roscommon_Houghton_GROW_046.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Roscommon_Houghton_GROW_045.jpeg,
