subject_id,task,data.aligned_text,data.number_views,data.consensus_score,data.consensus_text,data,column_name,URL_front,URL_back,comments
58642614,T15,"[['19.5', '18.9-20.2', '18.9–20.2', '18.0-20.2']]",4,1,19.5,18.9-20.2,Third row Length Range,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Alcona_Hubbard_GROW_Doc0992.jpg,NA,Walleye were split into two different groups
58642694,T34,[['20.8']],1,1,20.8,NA,6th row Mean Length,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Ionia_Sessions_GROW_001.jpg,NA,
58642694,T44,[['1']],1,1,1,NA,8th row Number of Fish,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Ionia_Sessions_GROW_001.jpg,NA,
58642694,T45,[['28.5']],1,1,28.5,NA,8th row Length Range,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Ionia_Sessions_GROW_001.jpg,NA,
58642694,T46,[['28.5']],1,1,28.5,NA,8th row Mean Length,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Ionia_Sessions_GROW_001.jpg,NA,
58642699,T16,[['17.9']],1,1,17.9,17.9,Third row Mean Length,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Ionia_Sessions_GROW_005.jpg,NA,
58642699,T22,[['18.9']],1,1,18.9,NA,Fourth row Mean Length,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Ionia_Sessions_GROW_005.jpg,NA,
58642699,T44,[['1']],1,1,1,1,8th row Number of Fish,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Ionia_Sessions_GROW_005.jpg,NA,
58642699,T45,[['23.1']],1,1,23.1,23.1,8th row Length Range,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Ionia_Sessions_GROW_005.jpg,NA,
58642701,T9,[['25.5']],1,1,25.5,25.5,Second row Length Range,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Ionia_Sessions_GROW_006.jpg,NA,
58642777,T2,[['1']],1,1,1,NA,First row Number of Fish,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Keweenaw_FannyHooe_GROW_20200313154820816_0003.jpeg,NA,
58642777,T3,[['3.6']],1,1,3.6,NA,First row Length Range,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Keweenaw_FannyHooe_GROW_20200313154820816_0003.jpeg,NA,
58642777,T4,[['3.6']],1,1,3.6,NA,First row Mean Length,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Keweenaw_FannyHooe_GROW_20200313154820816_0003.jpeg,NA,
58642830,T4,[['9.1']],1,1,9.1,9.1,First row Mean Length,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Ottawa_Crockery_GROW_74.jpeg,NA,
58642830,T10,[['14']],1,1,14,NA,Second row Mean Length,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Ottawa_Crockery_GROW_74.jpeg,NA,
58642830,T22,[['20.4']],1,1,20.4,20.4,Fourth row Mean Length,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Ottawa_Crockery_GROW_74.jpeg,NA,
58642830,T40,[['24.1']],1,1,24.1,NA,7th row Mean Length,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Ottawa_Crockery_GROW_74.jpeg,NA,
58642830,T46,[['25.7']],1,1,25.7,25.7,8th row Mean Length,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Ottawa_Crockery_GROW_74.jpeg,NA,
58642830,T52,[['25.8']],1,1,25.8,25.8,9th row Mean Length,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Ottawa_Crockery_GROW_74.jpeg,NA,
58642830,T58,[['19.6']],1,1,19.6,19.6,10th row Mean Length,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Ottawa_Crockery_GROW_74.jpeg,NA,
58642830,T64,[['23.5']],1,1,23.5,23.5,11th row Mean Length,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Ottawa_Crockery_GROW_74.jpeg,NA,
58642836,T16,[['21.0']],1,1,21,21,Third row Mean Length,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Ottawa_Macatawa_GROW_24.jpeg,NA,
58642836,T22,[['27.0']],1,1,27,27,Fourth row Mean Length,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Ottawa_Macatawa_GROW_24.jpeg,NA,
58642875,T4,[['21.2']],1,1,21.2,21.2,First row Mean Length,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/VanBuren_VanBuren_Maple_GROW_GROW_47.jpeg,NA,
58746069,T9,"[['...', '21.5']]",2,1,...,21.5,Second row Length Range,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/VanBuren_Maple_GROW_065.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/VanBuren_Maple_GROW_064.jpeg,
58746099,T3,[['24.9']],1,1,24.9,24.9,First row Length Range,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/VanBuren_Ackley_GROW_005.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/VanBuren_Ackley_GROW_004.jpeg,
