"subject_id","new_key","lakename","county","age_group","fish_count","length_min_mm","length_max_mm","length_mean_mm","begin_date_day","begin_date_month","begin_date_year","end_date_day","end_date_month","end_date_year","comment","url_front","url_back"
58642611,"1-165","HUBBARD","Alcona",4,4,378.46,408.94,393.7,15,"May",1985,NA,NA,NA,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Alcona_Hubbard_GROW_Doc0991.jpg",NA
58642614,"1-165","HUBBARD","Alcona",2,1,360.68,NA,360.68,5,"July",1984,9,"August",1984,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Alcona_Hubbard_GROW_Doc0992.jpg",NA
58642614,"1-165","HUBBARD","Alcona",3,14,360.68,436.88,398.78,5,"July",1984,9,"August",1984,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Alcona_Hubbard_GROW_Doc0992.jpg",NA
58642614,"1-165","HUBBARD","Alcona",4,2,480.06,513.08,495.3,5,"July",1984,9,"August",1984,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Alcona_Hubbard_GROW_Doc0992.jpg",NA
58642614,"1-165","HUBBARD","Alcona",5,3,520.7,576.58,556.26,5,"July",1984,9,"August",1984,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Alcona_Hubbard_GROW_Doc0992.jpg",NA
58642614,"1-165","HUBBARD","Alcona",1,1,274.32,NA,274.32,5,"July",1984,9,"August",1984,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Alcona_Hubbard_GROW_Doc0992.jpg",NA
58642614,"1-165","HUBBARD","Alcona",2,1,393.7,NA,393.7,5,"July",1984,9,"August",1984,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Alcona_Hubbard_GROW_Doc0992.jpg",NA
58642614,"1-165","HUBBARD","Alcona",4,1,508,NA,508,5,"July",1984,9,"August",1984,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Alcona_Hubbard_GROW_Doc0992.jpg",NA
58642619,"15-21","CHARLEVOIX","Charlevoix",2,18,393.7,431.8,408.94,NA,"August",1990,NA,"September",1990,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Charlevoix_Charlevoix47_GROW.jpg",NA
58642619,"15-21","CHARLEVOIX","Charlevoix",3,20,393.7,520.7,429.26,NA,"August",1990,NA,"September",1990,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Charlevoix_Charlevoix47_GROW.jpg",NA
58642619,"15-21","CHARLEVOIX","Charlevoix",4,3,457.2,495.3,477.52,NA,"August",1990,NA,"September",1990,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Charlevoix_Charlevoix47_GROW.jpg",NA
58642625,"16-193","BURT","Cheboygan",3,59,304.8,378.46,340.36,17,"April",1995,8,"May",1995,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Cheboygan_Burt_GROW_341.jpg",NA
58642625,"16-193","BURT","Cheboygan",4,76,360.68,439.42,398.78,17,"April",1995,8,"May",1995,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Cheboygan_Burt_GROW_341.jpg",NA
58642625,"16-193","BURT","Cheboygan",5,42,403.86,469.9,431.8,17,"April",1995,8,"May",1995,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Cheboygan_Burt_GROW_341.jpg",NA
58642625,"16-193","BURT","Cheboygan",6,67,439.42,518.16,474.98,17,"April",1995,8,"May",1995,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Cheboygan_Burt_GROW_341.jpg",NA
58642625,"16-193","BURT","Cheboygan",7,69,452.12,558.8,518.16,17,"April",1995,8,"May",1995,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Cheboygan_Burt_GROW_341.jpg",NA
