subject_id,workflow_id,task,data.value
82939722,18136,T1,
82939722,18136,T7,
82939722,18136,T13,
82939722,18136,T19,
82939722,18136,T25,
82939722,18136,T31,
82939722,18136,T37,
82939722,18136,T43,
82939722,18136,T49,
82939722,18136,T55,
82939722,18136,T61,
82939722,18136,T67,
82939722,18136,T73,
82939722,18136,T79,
82939723,18136,T1,
82939723,18136,T7,
82939723,18136,T13,
82939723,18136,T19,
82939723,18136,T25,
82939723,18136,T31,
82939723,18136,T37,
82939723,18136,T43,
82939723,18136,T49,
82939723,18136,T55,
82939723,18136,T61,
82939723,18136,T67,
82939723,18136,T73,
82939723,18136,T79,
82939724,18136,T1,
82939724,18136,T7,
82939724,18136,T13,
82939724,18136,T19,
82939724,18136,T25,
82939724,18136,T31,
82939724,18136,T37,
82939724,18136,T43,
82939724,18136,T49,
82939724,18136,T55,
82939724,18136,T61,
82939724,18136,T67,
82939724,18136,T73,
82939724,18136,T79,
82939725,18136,T1,
82939725,18136,T7,
82939725,18136,T13,
82939725,18136,T19,
82939725,18136,T25,
82939725,18136,T31,
82939725,18136,T37,
82939725,18136,T43,
82939725,18136,T49,
82939725,18136,T55,
82939725,18136,T61,
82939725,18136,T67,
82939725,18136,T73,
82939725,18136,T79,
82939726,18136,T1,
82939726,18136,T7,
82939726,18136,T13,
82939726,18136,T19,
82939726,18136,T25,
82939726,18136,T31,
82939726,18136,T37,
82939726,18136,T43,
82939726,18136,T49,
82939726,18136,T55,
82939726,18136,T61,
82939726,18136,T67,
82939726,18136,T73,
82939726,18136,T79,
82939727,18136,T1,
82939727,18136,T7,
82939727,18136,T13,
82939727,18136,T19,
82939727,18136,T25,
82939727,18136,T31,
82939727,18136,T37,
82939727,18136,T43,
82939727,18136,T49,
82939727,18136,T55,
82939727,18136,T61,
82939727,18136,T67,
82939727,18136,T73,
82939727,18136,T79,
82939728,18136,T1,
82939728,18136,T7,
82939728,18136,T13,
82939728,18136,T19,
82939728,18136,T25,
82939728,18136,T31,
82939728,18136,T37,
82939728,18136,T43,
82939728,18136,T49,
82939728,18136,T55,
82939728,18136,T61,
82939728,18136,T67,
82939728,18136,T73,
82939728,18136,T79,
82939729,18136,T1,[{'9f71969064233': 3}]
82939729,18136,T7,[{'4228abfd9f863': 3}]
82939729,18136,T13,[{'fb655c2a8b3dd': 3}]
82939729,18136,T19,
82939729,18136,T25,
82939729,18136,T31,
82939729,18136,T37,
82939729,18136,T43,
82939729,18136,T49,
82939729,18136,T55,
82939729,18136,T61,
82939729,18136,T67,
82939729,18136,T73,
82939729,18136,T79,
82939730,18136,T1,
82939730,18136,T7,
82939730,18136,T13,
82939730,18136,T19,
82939730,18136,T25,
82939730,18136,T31,
82939730,18136,T37,
82939730,18136,T43,
82939730,18136,T49,
82939730,18136,T55,
82939730,18136,T61,
82939730,18136,T67,
82939730,18136,T73,
82939730,18136,T79,
82939731,18136,T1,
82939731,18136,T7,
82939731,18136,T13,
82939731,18136,T19,
82939731,18136,T25,
82939731,18136,T31,
82939731,18136,T37,
82939731,18136,T43,
82939731,18136,T49,
82939731,18136,T55,
82939731,18136,T61,
82939731,18136,T67,
82939731,18136,T73,
82939731,18136,T79,
82939732,18136,T1,
82939732,18136,T7,
82939732,18136,T13,
82939732,18136,T19,
82939732,18136,T25,
82939732,18136,T31,
82939732,18136,T37,
82939732,18136,T43,
82939732,18136,T49,
82939732,18136,T55,
82939732,18136,T61,
82939732,18136,T67,
82939732,18136,T73,
82939732,18136,T79,
82941740,18136,T1,
82941740,18136,T7,
82941740,18136,T13,
82941740,18136,T19,
82941740,18136,T25,
82941740,18136,T31,
82941740,18136,T37,
82941740,18136,T43,
82941740,18136,T49,
82941740,18136,T55,
82941740,18136,T61,
82941740,18136,T67,
82941740,18136,T73,
82941740,18136,T79,
82941741,18136,T1,[{'7df24e749bb17': 1}]
82941741,18136,T7,[{'49ee5b7efe63c': 1}]
82941741,18136,T13,[{'c4b45b5a80482': 1}]
82941741,18136,T19,[{'29902756f9508': 1}]
82941741,18136,T25,[{'ca0a33ac04c84': 1}]
82941741,18136,T31,[{'fe3c9f98f43dd': 1}]
82941741,18136,T37,
82941741,18136,T43,
82941741,18136,T49,
82941741,18136,T55,
82941741,18136,T61,
82941741,18136,T67,
82941741,18136,T73,
82941741,18136,T79,
82941743,18136,T1,[{'7df24e749bb17': 1}]
82941743,18136,T7,[{'49ee5b7efe63c': 1}]
82941743,18136,T13,[{'c4b45b5a80482': 1}]
82941743,18136,T19,[{'29902756f9508': 1}]
82941743,18136,T25,[{'ca0a33ac04c84': 1}]
82941743,18136,T31,[{'fe3c9f98f43dd': 1}]
82941743,18136,T37,
82941743,18136,T43,
82941743,18136,T49,
82941743,18136,T55,
82941743,18136,T61,
82941743,18136,T67,
82941743,18136,T73,
82941743,18136,T79,
82941744,18136,T1,
82941744,18136,T7,
82941744,18136,T13,
82941744,18136,T19,
82941744,18136,T25,
82941744,18136,T31,
82941744,18136,T37,
82941744,18136,T43,
82941744,18136,T49,
82941744,18136,T55,
82941744,18136,T61,
82941744,18136,T67,
82941744,18136,T73,
82941744,18136,T79,
82941745,18136,T1,[{'9f71969064233': 1}]
82941745,18136,T7,[{'bf6c2bf09f513': 1}]
82941745,18136,T13,
82941745,18136,T19,
82941745,18136,T25,
82941745,18136,T31,
82941745,18136,T37,
82941745,18136,T43,
82941745,18136,T49,
82941745,18136,T55,
82941745,18136,T61,
82941745,18136,T67,
82941745,18136,T73,
82941745,18136,T79,
82941746,18136,T1,
82941746,18136,T7,
82941746,18136,T13,
82941746,18136,T19,
82941746,18136,T25,
82941746,18136,T31,
82941746,18136,T37,
82941746,18136,T43,
82941746,18136,T49,
82941746,18136,T55,
82941746,18136,T61,
82941746,18136,T67,
82941746,18136,T73,
82941746,18136,T79,
82941749,18136,T1,[{'7df24e749bb17': 1}]
82941749,18136,T7,[{'49ee5b7efe63c': 1}]
82941749,18136,T13,
82941749,18136,T19,
82941749,18136,T25,
82941749,18136,T31,
82941749,18136,T37,
82941749,18136,T43,
82941749,18136,T49,
82941749,18136,T55,
82941749,18136,T61,
82941749,18136,T67,
82941749,18136,T73,
82941749,18136,T79,
82941750,18136,T1,
82941750,18136,T7,
82941750,18136,T13,
82941750,18136,T19,
82941750,18136,T25,
82941750,18136,T31,
82941750,18136,T37,
82941750,18136,T43,
82941750,18136,T49,
82941750,18136,T55,
82941750,18136,T61,
82941750,18136,T67,
82941750,18136,T73,
82941750,18136,T79,
82941751,18136,T1,[{'2ff4544f62747': 1}]
82941751,18136,T7,[{'03993d432fa92': 1}]
82941751,18136,T13,[{'2b395fc4e7a': 1}]
82941751,18136,T19,[{'cb229a1ba0adb': 1}]
82941751,18136,T25,[{'5cf2b8800b176': 1}]
82941751,18136,T31,
82941751,18136,T37,
82941751,18136,T43,
82941751,18136,T49,
82941751,18136,T55,
82941751,18136,T61,
82941751,18136,T67,
82941751,18136,T73,
82941751,18136,T79,
82941752,18136,T1,
82941752,18136,T7,
82941752,18136,T13,
82941752,18136,T19,
82941752,18136,T25,
82941752,18136,T31,
82941752,18136,T37,
82941752,18136,T43,
82941752,18136,T49,
82941752,18136,T55,
82941752,18136,T61,
82941752,18136,T67,
82941752,18136,T73,
82941752,18136,T79,
82941753,18136,T1,[{'2ff4544f62747': 3}]
