subject_id,workflow_id,task,reducer,data.aggregation_version,data.value
58642605,18136,T1,dropdown_reducer,3.4.5,
58642605,18136,T7,dropdown_reducer,3.4.5,
58642605,18136,T13,dropdown_reducer,3.4.5,
58642605,18136,T19,dropdown_reducer,3.4.5,
58642605,18136,T25,dropdown_reducer,3.4.5,
58642605,18136,T31,dropdown_reducer,3.4.5,
58642605,18136,T37,dropdown_reducer,3.4.5,
58642605,18136,T43,dropdown_reducer,3.4.5,
58642605,18136,T49,dropdown_reducer,3.4.5,
58642605,18136,T55,dropdown_reducer,3.4.5,
58642605,18136,T61,dropdown_reducer,3.4.5,
58642605,18136,T67,dropdown_reducer,3.4.5,
58642605,18136,T73,dropdown_reducer,3.4.5,
58642605,18136,T79,dropdown_reducer,3.4.5,
58642606,18136,T1,dropdown_reducer,3.4.5,
58642606,18136,T7,dropdown_reducer,3.4.5,
58642606,18136,T13,dropdown_reducer,3.4.5,
58642606,18136,T19,dropdown_reducer,3.4.5,
58642606,18136,T25,dropdown_reducer,3.4.5,
58642606,18136,T31,dropdown_reducer,3.4.5,
58642606,18136,T37,dropdown_reducer,3.4.5,
58642606,18136,T43,dropdown_reducer,3.4.5,
58642606,18136,T49,dropdown_reducer,3.4.5,
58642606,18136,T55,dropdown_reducer,3.4.5,
58642606,18136,T61,dropdown_reducer,3.4.5,
58642606,18136,T67,dropdown_reducer,3.4.5,
58642606,18136,T73,dropdown_reducer,3.4.5,
58642606,18136,T79,dropdown_reducer,3.4.5,
58642607,18136,T1,dropdown_reducer,3.4.5,[{'7df24e749bb17': 4}]
58642607,18136,T7,dropdown_reducer,3.4.5,[{'49ee5b7efe63c': 4}]
58642607,18136,T13,dropdown_reducer,3.4.5,[{'c4b45b5a80482': 4}]
58642607,18136,T19,dropdown_reducer,3.4.5,[{'29902756f9508': 4}]
58642607,18136,T25,dropdown_reducer,3.4.5,[{'ca0a33ac04c84': 4}]
58642607,18136,T31,dropdown_reducer,3.4.5,[{'fe3c9f98f43dd': 4}]
58642607,18136,T37,dropdown_reducer,3.4.5,[{'b0292f693ea53': 4}]
58642607,18136,T43,dropdown_reducer,3.4.5,[{'02726264e4609': 4}]
