subject_id,data_value,review,review2,age1,age2,age,column_name,URL_front,URL_back,comments
58642646,[{'213f11649d387': 1}],1,NA,7,NA,NA,6th row age group,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Clare_Cranberry19N_4W_S1-12_GROW_078.jpg,NA,
58642815,[{'f0f2d281e7e4': 1}],1,NA,2,NA,NA,First row age group,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Livingston_Reed_GROW_017.jpg,NA,
58642828,[{'cdf336e832874': 1}],1,NA,0,NA,NA,First row age group,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Ottawa_Crockery_70-164_1993_GROW_001_01.jpg,NA,
58642849,[{'0c53014992914': 1}],1,NA,4,NA,NA,Third row age group,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Schoolcraft_Coattail_GROW_16.jpeg,NA,
58642849,[{'434abc437c30f': 1}],1,NA,5,NA,NA,Fourth row age group,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Schoolcraft_Coattail_GROW_16.jpeg,NA,
58642849,[{'ccb152d48c0c8': 1}],1,NA,6,NA,NA,5th row age group,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Schoolcraft_Coattail_GROW_16.jpeg,NA,
58642858,[{'f0f2d281e7e4': 1}],1,NA,2,NA,NA,First row age group,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/StJoseph_Clear_GROW_34.jpeg,NA,
58642858,[{'1d70b32c8ad1b': 1}],1,NA,3,NA,NA,Second row age group,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/StJoseph_Clear_GROW_34.jpeg,NA,
58642868,[{'cdf336e832874': 1}],1,NA,0,NA,NA,First row age group,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/VanBuren_VanBuren_BigCedar_GROW_GROW_11.jpeg,NA,
58642875,[{'9f71969064233': 1}],1,NA,NA,NA,NA,First row age group,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/VanBuren_VanBuren_Maple_GROW_GROW_47.jpeg,NA,
58642875,[{'03993d432fa92': 1}],1,NA,5,NA,NA,Second row age group,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/VanBuren_VanBuren_Maple_GROW_GROW_47.jpeg,NA,
58746389,[{'2ff4544f62747': 1}],1,NA,4,NA,NA,First row age group,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/PresqueIsle_Nettie_GROW_020.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/PresqueIsle_Nettie_GROW_019.jpeg,
58746389,[{'03993d432fa92': 1}],1,NA,5,NA,NA,Second row age group,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/PresqueIsle_Nettie_GROW_020.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/PresqueIsle_Nettie_GROW_019.jpeg,
58746389,[{'2b395fc4e7a': 1}],1,NA,6,NA,NA,Third row age group,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/PresqueIsle_Nettie_GROW_020.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/PresqueIsle_Nettie_GROW_019.jpeg,
58746389,[{'cb229a1ba0adb': 1}],1,NA,7,NA,NA,Fourth row age group,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/PresqueIsle_Nettie_GROW_020.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/PresqueIsle_Nettie_GROW_019.jpeg,
58746517,[{'5f0bc30d9a5c5': 1}],1,NA,4,NA,NA,6th row age group,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Otsego_Otsego_GROW_022.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Otsego_Otsego_GROW_021.jpeg,
58746599,[{'fe3c9f98f43dd': 1}],1,NA,6,NA,NA,6th row age group,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Otsego_Bradford_GROW_012.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/Otsego_Bradford_GROW_011.jpeg,
58753923,[{'49ee5b7efe63c': 1}],1,NA,2,NA,NA,Second row age group,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/a_first/part1/Charlevoix_Kidney_002_GROW_0001.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/a_first/part1/Charlevoix_Kidney_002_GROW_0002.jpg,
58754012,"[{'72be94583010d': 1, '5972382fd12d2': 1, '85b813dec57b6': 2}]",1,1,0,8,6,Fourth row age group,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/a_first/part1/Cheboygan_Silver33N_3W_S11-12_GROW_039.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/a_first/part1/Cheboygan_Silver33N_3W_S11-12_GROW_040.jpg,
58754012,[{'fe3c9f98f43dd': 1}],1,NA,6,NA,NA,6th row age group,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/a_first/part1/Cheboygan_Silver33N_3W_S11-12_GROW_039.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/a_first/part1/Cheboygan_Silver33N_3W_S11-12_GROW_040.jpg,
