subject_id,task,data.aligned_text,data.number_views,data.consensus_score,data.consensus_text,data,column_name,URL_front,URL_back,comments
58642636,T3,"[['165,', '165-178', '165-178mm', '166,'], ['178', '', '', '178mm'], ['mm', '', '', '']]",4,1,"165, 178 mm",165 - 178,First row Length Range,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Chippewa_Highbanks_GROW_002.jpg,NA,mm
58642636,T4,"[['', '171', '171mm', '171mm'], ['6.8""', '', '', '(6.8"")']]",4,1.5,"171mm 6.8""",171,First row Mean Length,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Chippewa_Highbanks_GROW_002.jpg,NA,mm
58642636,T9,"[['245-335', '245-335', '245-335mm', '245-335mm'], ['mm', '', '', '']]",4,1.5,245-335 mm,245 - 335,Second row Length Range,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Chippewa_Highbanks_GROW_002.jpg,NA,mm
58642636,T10,"[['', '304', '304mm', '""304mm'], ['12.0""', '', '', '(12.0"")']]",4,1,"304 12.0""",304,Second row Mean Length,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Chippewa_Highbanks_GROW_002.jpg,NA,mm
58642646,T32,[['2']],1,1,2,2,6th row Number of Fish,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Clare_Cranberry19N_4W_S1-12_GROW_078.jpg,NA,
58642646,T33,[['8.0-8.1']],1,1,8.0-8.1,8.0 - 8.1,6th row Length Range,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Clare_Cranberry19N_4W_S1-12_GROW_078.jpg,NA,
58642646,T34,[['8.1']],1,1,8.1,8.1,6th row Mean Length,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Clare_Cranberry19N_4W_S1-12_GROW_078.jpg,NA,
58642671,T3,[['4.5']],1,1,4.5,NA,First row Length Range,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Gogebic_Marion_GROW_004.jpg,NA,
58642671,T9,[['5.6']],1,1,5.6,NA,Second row Length Range,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Gogebic_Marion_GROW_004.jpg,NA,
58642671,T15,[['6.1']],1,1,6.1,NA,Third row Length Range,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Gogebic_Marion_GROW_004.jpg,NA,
58642726,T4,[['6.1']],1,1,6.1,NA,First row Mean Length,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Isabella_Halls_GROW_099.jpg,NA,
58642726,T10,[['6.2']],1,1,6.2,NA,Second row Mean Length,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Isabella_Halls_GROW_099.jpg,NA,
58642732,T4,[['10.9']],1,1,10.9,NA,First row Mean Length,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Kalamazoo_Eagle2S_9W_S2_GROW_002.jpg,NA,
58642755,T4,[['5.6']],1,1,5.6,NA,First row Mean Length,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Kent_Marjella_GROW_036.jpg,NA,
58642765,T3,"[['148,168', '148-168mm', '148-168', '148mm-168mm']]",4,1,"148,168",148 - 168,First row Length Range,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Kent_PineIslandLittle_GROW_002.jpg,NA,mm
58642770,T4,"[['4.9', '-----']]",2,1,4.9,NA,First row Mean Length,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Keweenaw_Bailey_GROW_20200313152209706_0002.jpeg,NA,
58642770,T46,"[['11.1', '-----']]",2,1,11.1,NA,8th row Mean Length,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Keweenaw_Bailey_GROW_20200313152209706_0002.jpeg,NA,
58642770,T52,"[['11.1', '-----']]",2,1,11.1,NA,9th row Mean Length,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Keweenaw_Bailey_GROW_20200313152209706_0002.jpeg,NA,
58642770,T64,"[['12.1', '-----']]",2,1,12.1,NA,11th row Mean Length,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Keweenaw_Bailey_GROW_20200313152209706_0002.jpeg,NA,
58642770,T70,"[['13.3', '-----']]",2,1,13.3,NA,12th row Mean Length,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Keweenaw_Bailey_GROW_20200313152209706_0002.jpeg,NA,
58642771,T34,[['9.5']],1,1,9.5,NA,6th row Mean Length,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Keweenaw_Bailey_GROW_20200313152209706_0001.jpeg,NA,
58642771,T46,[['11.9']],1,1,11.9,NA,8th row Mean Length,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Keweenaw_Bailey_GROW_20200313152209706_0001.jpeg,NA,
58642771,T52,[['13.0']],1,1,13,NA,9th row Mean Length,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Keweenaw_Bailey_GROW_20200313152209706_0001.jpeg,NA,
58642771,T58,[['13.2']],1,1,13.2,NA,10th row Mean Length,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Keweenaw_Bailey_GROW_20200313152209706_0001.jpeg,NA,
58642771,T64,[['13.3']],1,1,13.3,NA,11th row Mean Length,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Keweenaw_Bailey_GROW_20200313152209706_0001.jpeg,NA,
58642774,T34,[['10.0']],1,1,10,NA,6th row Mean Length,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Keweenaw_Bailey_GROW_20200313152209706_0003.jpeg,NA,
58642774,T46,[['11.1']],1,1,11.1,NA,8th row Mean Length,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Keweenaw_Bailey_GROW_20200313152209706_0003.jpeg,NA,
58642774,T52,[['11.1']],1,1,11.1,NA,9th row Mean Length,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Keweenaw_Bailey_GROW_20200313152209706_0003.jpeg,NA,
58642774,T64,[['12.1']],1,1,12.1,NA,11th row Mean Length,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Keweenaw_Bailey_GROW_20200313152209706_0003.jpeg,NA,
58642774,T70,[['13.1']],1,1,13.1,NA,12th row Mean Length,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Keweenaw_Bailey_GROW_20200313152209706_0003.jpeg,NA,
58642778,T22,"[['7.0', '-----', '---']]",3,1,7,NA,Fourth row Mean Length,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Keweenaw_FannyHooe_GROW_20200313155119435_0002.jpeg,NA,
58642778,T40,"[['10.0', '-----', '---']]",3,1,10,NA,7th row Mean Length,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Keweenaw_FannyHooe_GROW_20200313155119435_0002.jpeg,NA,
58642778,T46,"[['11.4', '-----', '---']]",3,1,11.4,NA,8th row Mean Length,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Keweenaw_FannyHooe_GROW_20200313155119435_0002.jpeg,NA,
58642778,T52,"[['12.9', '-----', '---']]",3,1,12.9,NA,9th row Mean Length,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Keweenaw_FannyHooe_GROW_20200313155119435_0002.jpeg,NA,
58642815,T2,[['1']],1,1,1,NA,First row Number of Fish,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Livingston_Reed_GROW_017.jpg,NA,No yellow perch
58642815,T3,[['4.2']],1,1,4.2,NA,First row Length Range,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Livingston_Reed_GROW_017.jpg,NA,No yellow perch
58642815,T4,[['4.2']],1,1,4.2,NA,First row Mean Length,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Livingston_Reed_GROW_017.jpg,NA,No yellow perch
58642828,T2,[['1']],1,1,1,NA,First row Number of Fish,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Ottawa_Crockery_70-164_1993_GROW_001_01.jpg,NA,No yellow perch
58642828,T3,[['9.1']],1,1,9.1,NA,First row Length Range,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Ottawa_Crockery_70-164_1993_GROW_001_01.jpg,NA,No yellow perch
58642828,T4,[['0']],1,1,0,NA,First row Mean Length,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Ottawa_Crockery_70-164_1993_GROW_001_01.jpg,NA,No yellow perch
58642849,T14,[['18']],1,1,18,NA,Third row Number of Fish,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Schoolcraft_Coattail_GROW_16.jpeg,NA,
58642849,T15,[['18.4-22.5']],1,1,18.4-22.5,NA,Third row Length Range,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Schoolcraft_Coattail_GROW_16.jpeg,NA,
58642849,T16,[['20.3']],1,1,20.3,NA,Third row Mean Length,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Schoolcraft_Coattail_GROW_16.jpeg,NA,
58642849,T20,[['1']],1,1,1,NA,Fourth row Number of Fish,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Schoolcraft_Coattail_GROW_16.jpeg,NA,
58642849,T21,[['24.8']],1,1,24.8,NA,Fourth row Length Range,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Schoolcraft_Coattail_GROW_16.jpeg,NA,
58642849,T22,[['24.8']],1,1,24.8,NA,Fourth row Mean Length,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Schoolcraft_Coattail_GROW_16.jpeg,NA,
58642849,T26,[['6']],1,1,6,NA,5th row Number of Fish,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Schoolcraft_Coattail_GROW_16.jpeg,NA,
58642849,T27,[['24.3-26.7']],1,1,24.3-26.7,NA,5th row Length Range,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Schoolcraft_Coattail_GROW_16.jpeg,NA,
58642849,T28,[['25.8']],1,1,25.8,NA,5th row Mean Length,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Schoolcraft_Coattail_GROW_16.jpeg,NA,
58642858,T2,[['2']],1,1,2,NA,First row Number of Fish,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/StJoseph_Clear_GROW_34.jpeg,NA,No yellow perch
58642858,T3,[['22.5-22.9']],1,1,22.5-22.9,NA,First row Length Range,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/StJoseph_Clear_GROW_34.jpeg,NA,No yellow perch
58642858,T8,[['2']],1,1,2,NA,Second row Number of Fish,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/StJoseph_Clear_GROW_34.jpeg,NA,No yellow perch
58642858,T9,[['23.3-26.1']],1,1,23.3-26.1,NA,Second row Length Range,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/StJoseph_Clear_GROW_34.jpeg,NA,No yellow perch
58642868,T2,[['7']],1,1,7,NA,First row Number of Fish,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/VanBuren_VanBuren_BigCedar_GROW_GROW_11.jpeg,NA,No yellow perch
58642868,T3,[['7.5']],1,1,7.5,NA,First row Length Range,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/VanBuren_VanBuren_BigCedar_GROW_GROW_11.jpeg,NA,No yellow perch
58642868,T4,[['8.0']],1,1,8,NA,First row Mean Length,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/VanBuren_VanBuren_BigCedar_GROW_GROW_11.jpeg,NA,No yellow perch
58642875,T2,[['1']],1,1,1,NA,First row Number of Fish,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/VanBuren_VanBuren_Maple_GROW_GROW_47.jpeg,NA,No yellow perch
58642875,T3,[['21.2']],1,1,21.2,NA,First row Length Range,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/VanBuren_VanBuren_Maple_GROW_GROW_47.jpeg,NA,No yellow perch
58642875,T4,[['0']],1,1,0,NA,First row Mean Length,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/VanBuren_VanBuren_Maple_GROW_GROW_47.jpeg,NA,No yellow perch
58642875,T8,[['1']],1,1,1,NA,Second row Number of Fish,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/VanBuren_VanBuren_Maple_GROW_GROW_47.jpeg,NA,No yellow perch
58642875,T9,[['21.2']],1,1,21.2,NA,Second row Length Range,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/VanBuren_VanBuren_Maple_GROW_GROW_47.jpeg,NA,No yellow perch
58642880,T15,[['8.6']],1,1,8.6,NA,Third row Length Range,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Washtenaw_Joslin_GROW_20200225125514132_0016.jpeg,NA,
58746046,T9,"[['13.5', '4.6-6.8', '...']]",3,1,13.5,NA,Second row Length Range,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/VanBuren_Scott_GROW_039.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/VanBuren_Scott_GROW_038.jpeg,
58746046,T15,"[['14.1', '...']]",2,1,14.1,NA,Third row Length Range,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/VanBuren_Scott_GROW_039.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/VanBuren_Scott_GROW_038.jpeg,
58746072,T21,[['9.0']],1,1,9,NA,Fourth row Length Range,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/VanBuren_Maple_GROW_063.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/VanBuren_Maple_GROW_062.jpeg,
58746085,T21,"[['8.2', '.'], ['', '.'], ['', '.']]",2,1,8.2 . .,NA,Fourth row Length Range,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/VanBuren_Bakersons_GROW_061.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/double/b_first/VanBuren_Bakersons_GROW_060.jpeg,
