subject_id,workflow_id,task,data.aligned_text,data.number_views,data.consensus_score,data.consensus_text,data.user_ids
82939729,18136,T2,"[['1', '1', '1']]",3,3,1,"[1312868, 1484814, 2544393]"
82939729,18136,T4,"[['11.2', '11.2', '11.2']]",3,3,11.2,"[1312868, 1484814, 2544393]"
82939729,18136,T8,"[['8', '8', '8']]",3,3,8,"[1312868, 1484814, 2544393]"
82939729,18136,T9,"[['7.4-11.4', '7.4-11.4', '7.4-11.4']]",3,3,7.4-11.4,"[1312868, 1484814, 2544393]"
82939729,18136,T10,"[['8.9', '8.9', '8.9']]",3,3,8.9,"[1312868, 1484814, 2544393]"
82939729,18136,T14,"[['1', '1', '1']]",3,3,1,"[1312868, 1484814, 2544393]"
82939729,18136,T15,[['7.4-11.4']],1,1,7.4-11.4,[2544393]
82939729,18136,T16,"[['7.8', '7.8', '7.8']]",3,3,7.8,"[1312868, 1484814, 2544393]"
82941741,18136,T2,[['17']],1,1,17,[1312868]
82941741,18136,T3,[['3.5-4.1']],1,1,3.5-4.1,[1312868]
82941741,18136,T4,[['3.9']],1,1,3.9,[1312868]
82941741,18136,T8,[['22']],1,1,22,[1312868]
82941741,18136,T9,[['5.8-7.2']],1,1,5.8-7.2,[1312868]
82941741,18136,T10,[['6.4']],1,1,6.4,[1312868]
82941741,18136,T14,[['2']],1,1,2,[1312868]
82941741,18136,T15,[['7.0-7.3']],1,1,7.0-7.3,[1312868]
82941741,18136,T16,[['7.4']],1,1,7.4,[1312868]
82941741,18136,T20,[['11']],1,1,11,[1312868]
82941741,18136,T21,[['7.3-9.3']],1,1,7.3-9.3,[1312868]
82941741,18136,T22,[['8.0']],1,1,8,[1312868]
82941741,18136,T26,[['12']],1,1,12,[1312868]
82941741,18136,T27,[['7.5-10.3']],1,1,7.5-10.3,[1312868]
82941741,18136,T28,[['9.0']],1,1,9,[1312868]
82941741,18136,T32,[['2']],1,1,2,[1312868]
82941741,18136,T33,[['11.8-12.8']],1,1,11.8-12.8,[1312868]
82941741,18136,T34,[['12.3']],1,1,12.3,[1312868]
82941743,18136,T2,[['13']],1,1,13,[1312868]
82941743,18136,T3,[['2.7-3.3']],1,1,2.7-3.3,[1312868]
82941743,18136,T4,[['2.8']],1,1,2.8,[1312868]
82941743,18136,T8,[['22']],1,1,22,[1312868]
82941743,18136,T9,[['4.4-6.2']],1,1,4.4-6.2,[1312868]
82941743,18136,T10,[['5.2']],1,1,5.2,[1312868]
82941743,18136,T14,[['10']],1,1,10,[1312868]
82941743,18136,T15,[['5.8-7.7']],1,1,5.8-7.7,[1312868]
82941743,18136,T16,[['6.6']],1,1,6.6,[1312868]
82941743,18136,T20,[['7']],1,1,7,[1312868]
82941743,18136,T21,[['7.0-8.4']],1,1,7.0-8.4,[1312868]
82941743,18136,T22,[['8']],1,1,8,[1312868]
82941743,18136,T26,[['11']],1,1,11,[1312868]
82941743,18136,T27,[['7.6-9.0']],1,1,7.6-9.0,[1312868]
82941743,18136,T28,[['8.3']],1,1,8.3,[1312868]
82941743,18136,T32,[['1']],1,1,1,[1312868]
82941743,18136,T33,[['9.2']],1,1,9.2,[1312868]
82941743,18136,T34,[['9.2']],1,1,9.2,[1312868]
82941745,18136,T2,[['2']],1,1,2,[1312868]
82941745,18136,T3,[['8.3-8.4']],1,1,8.3-8.4,[1312868]
82941745,18136,T4,[['8.3']],1,1,8.3,[1312868]
82941745,18136,T8,[['2']],1,1,2,[1312868]
82941745,18136,T9,[['10.7-11.1']],1,1,10.7-11.1,[1312868]
82941745,18136,T10,[['10.9']],1,1,10.9,[1312868]
82941749,18136,T2,[['13']],1,1,13,[1312868]
82941749,18136,T3,[['2.3-3.6']],1,1,2.3-3.6,[1312868]
82941749,18136,T4,[['2.7']],1,1,2.7,[1312868]
82941749,18136,T8,[['3']],1,1,3,[1312868]
82941749,18136,T9,[['3.8-4.6']],1,1,3.8-4.6,[1312868]
82941749,18136,T10,[['4.3']],1,1,4.3,[1312868]
82941751,18136,T2,[['2']],1,1,2,[1312868]
82941751,18136,T3,[['6.7-6.9']],1,1,6.7-6.9,[1312868]
82941751,18136,T4,[['6.8']],1,1,6.8,[1312868]
82941751,18136,T8,[['2']],1,1,2,[1312868]
82941751,18136,T9,[['9.1-9.2']],1,1,9.1-9.2,[1312868]
82941751,18136,T10,[['9.2']],1,1,9.2,[1312868]
82941751,18136,T14,[['2']],1,1,2,[1312868]
82941751,18136,T15,[['9.5-9.8']],1,1,9.5-9.8,[1312868]
82941751,18136,T16,[['9.7']],1,1,9.7,[1312868]
82941751,18136,T20,[['1']],1,1,1,[1312868]
82941751,18136,T21,[['10.8']],1,1,10.8,[1312868]
82941751,18136,T22,[['10.8']],1,1,10.8,[1312868]
82941751,18136,T26,[['2']],1,1,2,[1312868]
82941751,18136,T27,[['11.7-12.1']],1,1,11.7-12.1,[1312868]
82941751,18136,T28,[['11.9']],1,1,11.9,[1312868]
82941753,18136,T2,"[['1', '1', '1']]",3,3,1,"[1312868, 1484814, 2544393]"
82941753,18136,T3,"[['8.1', '8.1', '8.1']]",3,3,8.1,"[1312868, 1484814, 2544393]"
82941753,18136,T4,"[['8.1', '8.1', '8.1']]",3,3,8.1,"[1312868, 1484814, 2544393]"
82941753,18136,T8,"[['1', '1', '1']]",3,3,1,"[1312868, 1484814, 2544393]"
82941753,18136,T9,"[['10.8', '10.8', '10.8']]",3,3,10.8,"[1312868, 1484814, 2544393]"
82941753,18136,T10,"[['10.8', '10.8', '10.8']]",3,3,10.8,"[1312868, 1484814, 2544393]"
82941848,18136,T2,"[['10', '10']]",2,2,10,"[1312868, 1484814]"
82941848,18136,T3,"[['2.5-2.9', '2.5-2.9']]",2,2,2.5-2.9,"[1312868, 1484814]"
82941848,18136,T4,"[['2.7', '2.7']]",2,2,2.7,"[1312868, 1484814]"
82941848,18136,T8,"[['4', '4']]",2,2,4,"[1312868, 1484814]"
82941848,18136,T9,"[['3.5-5.6', '3.5-5.5']]",2,1,3.5-5.6,"[1312868, 1484814]"
82941848,18136,T10,"[['4.5', '4.5']]",2,2,4.5,"[1312868, 1484814]"
82941848,18136,T14,"[['1', '1']]",2,2,1,"[1312868, 1484814]"
82941848,18136,T15,"[['6.9', '6.9']]",2,2,6.9,"[1312868, 1484814]"
82941848,18136,T16,"[['6.9', '6.9']]",2,2,6.9,"[1312868, 1484814]"
82941849,18136,T2,"[['17', '17', '17']]",3,3,17,"[1312868, 2544393, 1484814]"
82941849,18136,T3,"[['3.5-4.1', '3.5-4.1', '3.5-4.1']]",3,3,3.5-4.1,"[1312868, 2544393, 1484814]"
82941849,18136,T4,"[['3.9', '3.9', '3.9']]",3,3,3.9,"[1312868, 2544393, 1484814]"
82941849,18136,T8,"[['22', '22', '22']]",3,3,22,"[1312868, 2544393, 1484814]"
