"subject_id","new_key","lakename","county","age_group","fish_count","length_min_mm","length_max_mm","length_mean_mm","begin_date_day","begin_date_month","begin_date_year","end_date_day","end_date_month","end_date_year","comment","url_front","url_back"
58642607,"1-67","HORSESHOE","Alcona",1,1,NA,NA,152.4,20,"September",1982,22,"September",1982,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Alcona_Horseshoe_GROW_Doc0672.jpg",NA
58642607,"1-67","HORSESHOE","Alcona",2,12,165.1,228.6,203.2,20,"September",1982,22,"September",1982,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Alcona_Horseshoe_GROW_Doc0672.jpg",NA
58642607,"1-67","HORSESHOE","Alcona",3,23,203.2,254,228.6,20,"September",1982,22,"September",1982,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Alcona_Horseshoe_GROW_Doc0672.jpg",NA
58642607,"1-67","HORSESHOE","Alcona",4,13,228.6,279.4,236.22,20,"September",1982,22,"September",1982,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Alcona_Horseshoe_GROW_Doc0672.jpg",NA
58642607,"1-67","HORSESHOE","Alcona",5,7,254,279.4,264.16,20,"September",1982,22,"September",1982,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Alcona_Horseshoe_GROW_Doc0672.jpg",NA
58642607,"1-67","HORSESHOE","Alcona",6,12,266.7,292.1,269.24,20,"September",1982,22,"September",1982,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Alcona_Horseshoe_GROW_Doc0672.jpg",NA
58642607,"1-67","HORSESHOE","Alcona",7,4,241.3,279.4,264.16,20,"September",1982,22,"September",1982,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Alcona_Horseshoe_GROW_Doc0672.jpg",NA
58642607,"1-67","HORSESHOE","Alcona",8,1,NA,NA,292.1,20,"September",1982,22,"September",1982,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Alcona_Horseshoe_GROW_Doc0672.jpg",NA
58642608,"1-61","BYRON","Alcona",1,20,76.2,101.6,93.98,26,"July",1984,26,"July",1984,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Alcona_Byron_GROW_Doc0172.jpg",NA
58642608,"1-61","BYRON","Alcona",2,16,127,152.4,149.86,26,"July",1984,26,"July",1984,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Alcona_Byron_GROW_Doc0172.jpg",NA
58642608,"1-61","BYRON","Alcona",3,4,177.8,203.2,195.58,26,"July",1984,26,"July",1984,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Alcona_Byron_GROW_Doc0172.jpg",NA
58642608,"1-61","BYRON","Alcona",4,2,177.8,228.6,215.9,26,"July",1984,26,"July",1984,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Alcona_Byron_GROW_Doc0172.jpg",NA
58642610,"1-61","BYRON","Alcona",3,23,121.92,160.02,139.7,27,"February",1983,NA,NA,NA,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Alcona_Byron_GROW_Doc0175.jpg",NA
58642610,"1-61","BYRON","Alcona",4,7,154.94,185.42,175.26,27,"February",1983,NA,NA,NA,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Alcona_Byron_GROW_Doc0175.jpg",NA
58642610,"1-61","BYRON","Alcona",5,1,226.06,NA,226.06,27,"February",1983,NA,NA,NA,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Alcona_Byron_GROW_Doc0175.jpg",NA
