subject_id,metadata,filename,T6,T8,T9,T10,T12,county,lakename,TR,matching,new key,Notes
58642605,"{""id"":""Alcona_AlconaDam_GROW_Doc0006.jpg"",""#image"":""https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Alcona_AlconaDam_GROW_Doc0006.jpg""}",Alcona_AlconaDam_GROW_Doc0006.jpg,,25N,5E,"3, 4, 9, 10, 11, 14, 15, 16",LMS M & S Engineers M. Phillips,Alcona,ALCONADAM,T25NR5E,ALCONADAM  Alcona T25NR5E,1-4,
58642606,"{""id"":""Alcona_AlconaDam_GROW_Doc0005.jpg"",""#image"":""https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/GROW/single/Alcona_AlconaDam_GROW_Doc0005.jpg""}",Alcona_AlconaDam_GROW_Doc0005.jpg,,25N,5E,"3, 4, 9, 3,4,9,10,11,14,15,16 11, 14, 15, 16","L, M & S Engineers",Alcona,ALCONADAM,T25NR5E,ALCONADAM  Alcona T25NR5E,1-4,
59070442,"{""id"":""ALCONA_ALCONADAM_SUMM_0001.jpeg"",""#IMAGE_URL"":""https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/SUMM/single/ALCONA_ALCONADAM_SUMM_0001.jpeg""}",ALCONA_ALCONADAM_SUMM_0001.jpeg,,,,,"C. L. Hubbs, T. H. Langlois",ALCONA,ALCONADAM,,ALCONADAM  Alcona T25NR5E,1-4,
59962239,"{""id"":""ALCONA_ALCONADAM_GROW_0003_1.jpeg_ALCONA_ALCONADAM_GROW_0003_2.jpeg"",""#image_url1"":""https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/a_first/ALCONA_ALCONADAM_GROW_0003_1.jpeg"",""#image_url2"":""https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/a_first/ALCONA_ALCONADAM_GROW_0003_2.jpeg""}",ALCONA_ALCONADAM_GROW_0003_1.jpeg_ALCONA_ALCONADAM_GROW_0003_2.jpeg,,25N,5E,"3, 4, 9, 3,4,9,10,11,14,15,16 11, 14, 15, 16","L, M & S Engineers",ALCONA,ALCONADAM,T25NR5E,ALCONADAM  Alcona T25NR5E,1-4,
59962242,"{""id"":""ALCONA_ALCONADAM_GROW_0002_1.jpeg_ALCONA_ALCONADAM_GROW_0002_2.jpeg"",""#image_url1"":""https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/a_first/ALCONA_ALCONADAM_GROW_0002_1.jpeg"",""#image_url2"":""https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/a_first/ALCONA_ALCONADAM_GROW_0002_2.jpeg""}",ALCONA_ALCONADAM_GROW_0002_1.jpeg_ALCONA_ALCONADAM_GROW_0002_2.jpeg,5/23/90 - 3/22/91,25N,5E,"3, 4, 9, 10, 11, 14, 15, 16","L, M & S Engineers",ALCONA,ALCONADAM,T25NR5E,ALCONADAM  Alcona T25NR5E,1-4,
59070575,"{""id"":""ALCONA_BADGER_SUMM_0001_1.jpeg_ALCONA_BADGER_SUMM_0001_2.jpeg"",""#image_url2"":""https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/SUMM/double/a_first/ALCONA_BADGER_SUMM_0001_2.jpeg""}",ALCONA_BADGER_SUMM_0001_1.jpeg_ALCONA_BADGER_SUMM_0001_2.jpeg,,28N,8E,35,L. A. Woodbury,ALCONA,BADGER,T28NR8E,BADGER  Alcona T28NR8E,1-194,
59106852,"{""id"":""Alcona_BamfieldDam_SUMM_Doc0056.jpg_Alcona_BamfieldDam_SUMM_Doc0055.jpg"",""#image_url1"":""https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/b_first/Alcona_BamfieldDam_SUMM_Doc0056.jpg"",""#image_url2"":""https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/b_first/Alcona_BamfieldDam_SUMM_Doc0055.jpg""}",Alcona_BamfieldDam_SUMM_Doc0056.jpg_Alcona_BamfieldDam_SUMM_Doc0055.jpg,,28N N,8E,35,L. A. Woodbury,Alcona,BAMFIELDDAM,T28NR8E,BAMFIELDDAM  Alcona T28NR8E,,Not found
59962240,"{""id"":""ALCONA_BAMFIELDDAM_GROW_0001_1.jpeg_ALCONA_BAMFIELDDAM_GROW_0001_2.jpeg"",""#image_url1"":""https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/a_first/ALCONA_BAMFIELDDAM_GROW_0001_1.jpeg"",""#image_url2"":""https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/GROW/a_first/ALCONA_BAMFIELDDAM_GROW_0001_2.jpeg""}",ALCONA_BAMFIELDDAM_GROW_0001_1.jpeg_ALCONA_BAMFIELDDAM_GROW_0001_2.jpeg,,25N,5E,"3,10 10",B. L. Jacob,ALCONA,BAMFIELDDAM,T25NR5E,BAMFIELDDAM  ALCONA T25NR5E,,Not found
59070576,"{""id"":""ALCONA_BEAR_SUMM_0001_1.jpeg_ALCONA_BEAR_SUMM_0001_2.jpeg"",""#image_url2"":""https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/SUMM/double/a_first/ALCONA_BEAR_SUMM_0001_2.jpeg""}",ALCONA_BEAR_SUMM_0001_1.jpeg_ALCONA_BEAR_SUMM_0001_2.jpeg,,28N,8E E.,29,C. Tarywell (?) + L. A. Woodbury,ALCONA,BEAR,T28NR8E,BEAR  Alcona T28NR8E,1-192,
59106851,"{""id"":""Alcona_Bear_SUMM_Doc0118.jpg_Alcona_Bear_SUMM_Doc0117.jpg"",""#image_url1"":""https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/b_first/Alcona_Bear_SUMM_Doc0118.jpg"",""#image_url2"":""https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/b_first/Alcona_Bear_SUMM_Doc0117.jpg""}",Alcona_Bear_SUMM_Doc0118.jpg_Alcona_Bear_SUMM_Doc0117.jpg,,28N,8E,29,L. A. Woodbury,Alcona,BEAR,T28NR8E,BEAR  Alcona T28NR8E,1-192,
