"subject_id","orig_subject_id"
72066930,"58642649"
72066931,"58642655"
72066933,"58642767"
72066935,"58642774"
72066936,"59688138"
72066937,"59688090"
72066938,"59688089"
72066939,"59962244"
72066940,"59962251"
72066941,"59962250"
72066942,"59962361"
72066943,"59962359"
72066944,"59962430"
72066945,"59962429"
72066946,"59962441"
72066947,"59962442"
72066948,"59962566"
72066949,"59962620"
72066950,"59962619"
72066951,"59962726"
72066952,"59962748"
72066953,"59962768"
72066954,"59962784"
72066955,"58754021"
72066956,"58754029"
72066957,"58754047"
72066958,"58754049"
72066959,"58754052"
72066960,"58754058"
72066961,"58754157"
72066962,"58754161"
72066963,"58754267"
72066964,"58754317"
72066965,"58754473"
72066966,"58754483"
72066967,"58754555"
72066968,"58754556"
72066969,"58754609"
72066970,"58754630"
72066971,"58754637"
72066972,"58754640"
72066973,"58754777"
72066974,"58754958"
72066977,"58754960"
72066979,"58755056"
72066981,"58755057"
72066983,"58755053"
72066984,"58755059"
72066987,"58755070"
72066989,"58755072"
72066991,"58755071"
72066993,"58755073"
72066994,"58755076"
72066996,"58755088"
72066999,"58755107"
72067000,"58755155"
72067001,"58755157"
72067002,"58755197"
72067005,"58755201"
72067007,"58755202"
72067008,"58755226"
72067009,"59962960"
72067010,"59963034"
72067011,"59963036"
72067012,"59963115"
72067013,"59963114"
72067014,"59963222"
72067015,"59963353"
72067016,"59963355"
72067017,"59963390"
72067018,"59963394"
72067019,"59963396"
72067020,"59963422"
72067021,"59963420"
72067022,"59963425"
72067023,"59963428"
72067024,"59963504"
72067025,"59963559"
72067026,"59963725"
72067027,"59963924"
72067028,"59964061"
72067029,"59964146"
72067030,"59964302"
72067031,"59964338"
72067032,"59964507"
72067033,"59964648"
72067034,"59964649"
72067035,"59964650"
72067036,"59964651"
72067038,"58746624"
72067040,"58746626"
72067041,"58746622"
72067044,"58746620"
72067045,"58746614"
72067047,"58746615"
72067048,"58746580"
72067051,"58746552"
72067053,"58746547"
72067055,"58746549"
72067056,"58746524"
72067059,"58746520"
72067060,"58746519"
72067063,"58746513"
72067065,"58746511"
72067066,"58746436"
72067067,"58746416"
72067068,"58746326"
72067069,"58746289"
72067070,"58746258"
72067071,"58746254"
72067072,"58746253"
72067073,"58746118"
72067074,"58746102"
72067075,"58746066"
72067076,"58746065"
72067077,"58746067"
72067078,"58746039"
72067079,"61362196"
72067080,"61362197"
72067081,"61362203"
72067082,"61362204"
72067083,"61362205"
72067221,"58642606"
72067222,"58642605"
72067223,"59687964"
72067224,"59687966"
72067225,"58642608"
72067226,"58642613"
72067227,"59687978"
72067228,"59687979"
72067229,"59687980"
72067230,"59687982"
72067231,"58642623"
72067232,"59688006"
72067233,"58642629"
72067234,"58642627"
72067235,"58642632"
72067236,"58642630"
72067237,"58642638"
72067238,"58642640"
72067239,"58642649"
72067240,"58642652"
72067241,"58642653"
72067242,"58642659"
72067243,"58642665"
72067244,"58642672"
72067245,"58642676"
72067246,"58642692"
72067247,"58642748"
72067249,"58642749"
72067251,"58642769"
72067253,"58642777"
72067254,"58642817"
72067256,"59688056"
72067257,"59688066"
72067258,"59688077"
72067259,"59688109"
72067260,"59688111"
72067261,"59688120"
72067262,"59688124"
72067263,"59688122"
72067264,"59688125"
72067265,"59688135"
72067266,"59688138"
72067267,"61360525"
72067268,"61360536"
72067269,"59688149"
72067270,"59688178"
72067271,"58642842"
72067272,"58642845"
72067273,"58642844"
72067274,"58642850"
72067275,"61360535"
72067276,"58642880"
72067277,"58642885"
72067278,"59962242"
72067279,"59962239"
72067280,"59962238"
72067281,"59962241"
72067282,"59962243"
72067283,"59962244"
72067284,"59962246"
72067285,"59962249"
72067286,"59962250"
72067287,"59962252"
72067288,"59962253"
72067289,"59962254"
72067290,"59962256"
72067291,"59962257"
72067292,"59962261"
72067293,"59962264"
72067294,"59962266"
72067295,"59962270"
72067296,"59962272"
72067297,"59962273"
72067298,"59962275"
72067299,"59962276"
72067300,"59962277"
72067301,"59962278"
72067302,"59962279"
72067303,"59962280"
72067304,"59962283"
72067305,"59962287"
72067306,"59962289"
72067307,"59962291"
72067308,"59962292"
72067309,"59962293"
72067310,"59962295"
72067311,"59962297"
72067312,"59962302"
72067313,"59962307"
72067314,"59962306"
72067315,"59962309"
72067316,"59962308"
72067317,"59962311"
72067318,"59962313"
72067319,"59962318"
72067320,"59962319"
72067321,"59962321"
72067322,"59962326"
72067323,"59962330"
72067324,"59962332"
72067325,"59962337"
72067326,"59962339"
72067327,"59962348"
72067328,"59962347"
72067329,"59962352"
72067330,"59962350"
72067331,"59962355"
72067332,"59962358"
72067333,"59962361"
72067334,"59962360"
72067335,"59962368"
72067336,"59962370"
72067337,"59962376"
72067338,"59962378"
72067339,"59962380"
72067340,"59962379"
72067341,"59962381"
72067342,"59962382"
72067343,"59962385"
72067344,"59962387"
72067345,"59962383"
72067346,"59962386"
72067347,"59962393"
72067348,"59962394"
72067349,"59962396"
72067350,"59962395"
72067351,"59962397"
72067352,"59962408"
72067353,"59962409"
72067354,"59962410"
72067355,"59962415"
72067356,"59962416"
72067357,"59962425"
72067358,"59962427"
72067359,"59962432"
72067360,"59962433"
72067361,"59962442"
72067362,"59962443"
72067363,"59962450"
72067364,"59962460"
72067365,"59962462"
