card_name,age_group,number_of_fish,length_range,mean_length,comments
BRANCH_MATTESON_GROW_0003_2,1,3,14.2 - 15.2,14.8,
BRANCH_MATTESON_GROW_0003_2,2,6,15.4 - 16.5 ,15.8,
CHARLEVOIX_CHARLEVOIX83_GROW,12,1,34.2,34.2,
CHEBOYGAN_BURT_GROW_243,6,1,27.2,NA,
ISABELLA_STEVENSON_GROW_022,5,1,20.3,20.3,
KENT_REEDS_GROW_017,1,1,28,28,
KENT_REEDS_GROW_017,6,1,24.8,24.8,
KENT_REEDS_GROW_017,7,1,25.8,25.8,
KENT_REEDS_GROW_017,8,1,29.6,29.6,
KENT_REEDS_GROW_017,10,1,30,30,
NEWAYGO_FREMONT_GROW_0006_1,0,3,6.2 - 8.1,6.8,
NEWAYGO_FREMONT_GROW_0011_1,3,7,10.2 - 14.2,12.4,
NEWAYGO_FREMONT_GROW_0011_1,4,9,11.0 - 13.7,12.4,
NEWAYGO_FREMONT_GROW_0011_1,10,1,32.3,32.3,
NEWAYGO_SECOND_GROW_0001_2,3,1,20.4,20.4,
NEWAYGO_SECOND_GROW_0001_2,5,1,24.3,24.3,
NEWAYGO_SECOND_GROW_0001_2,7,2,24.8 - 26.8,25.8,
NEWAYGO_SECOND_GROW_0001_2,8,1,25.9,25.9,
NEWAYGO_SECOND_GROW_0001_2,10,1,30.5,30.5,
OTTAWA_MACATAWA_GROW_132,1,1,188,188,mm
OTTAWA_MACATAWA_GROW_132,2,16,155-420,294,mm
OTTAWA_MACATAWA_GROW_132,3,29,305-500,379,mm
OTTAWA_MACATAWA_GROW_132,4,17,362-553,450,mm
OTTAWA_MACATAWA_GROW_132,5,13,485-580,527,mm
OTTAWA_MACATAWA_GROW_132,6,8,555-706,608,mm
OTTAWA_MACATAWA_GROW_132,7,6,580-656,632,mm
OTTAWA_MACATAWA_GROW_132,8,1,660,660,mm
OTTAWA_MACATAWA_GROW_132,9,1,810,810,mm
OTTAWA_MACATAWA_GROW_152,2,3,5.7 - 6.7,6.2,
OTTAWA_MACATAWA_GROW_152,3,4,12.4 - 14.2,13.3,
OTTAWA_MACATAWA_GROW_152,4,1,17.6,17.6,
OTTAWA_MACATAWA_GROW_152,5,4,17.5 - 20.1,18.7,
OTTAWA_MACATAWA_GROW_152,7,3,23.7 - 26.5,24.8,
OTTAWA_MACATAWA_GROW_152,8,1,23.6,23.6,
OTTAWA_MACATAWA_GROW_152,9,3,27.5 - 29.5,28.3,
OTTAWA_MACATAWA_GROW_152,10,1,32.1,32.1,
OTTAWA_MACATAWA_GROW_211,1,1,6.5,6.5,
OTTAWA_MACATAWA_GROW_211,3,6,15.3 - 16.6,16.1,
OTTAWA_MACATAWA_GROW_211,4,2,18.1 - 21.6,19.9,
OTTAWA_MACATAWA_GROW_211,5,4,19.0 - 23.5,21.5,
OTTAWA_MACATAWA_GROW_211,6,1,25.8,25.8,
OTTAWA_MACATAWA_GROW_211,8,1,24.1,24.1,
