card_name,age_group,number_of_fish,length_range,mean_length,comments
BENZIE_PLATTEBIG_GROW_0002_1,0,1,5.5,5.5,
BENZIE_PLATTEBIG_GROW_0002_1,1,1,23.1,23.1,
BENZIE_PLATTEBIG_GROW_0004_2,2,2,11.9 - 19.5,15.7,
CHARLEVOIX_CHARLEVOIX71P4_GROW,0,1,5.7,5.7,
CHARLEVOIX_CHARLEVOIX72P2_GROW,2,1,14.2,14.2,
CHARLEVOIX_CHARLEVOIX72P2_GROW,3,1,34.4,34.4,
CHARLEVOIX_CHARLEVOIX78P3_GROW,2,5,20.5 - 31.0,26.6,
MACKINAC_BREVORT_GROW_061,1,1,21.6,21.6,
PRESQUEISLE_OCQUEOC_GROW_024,2,2,24.4 - 24.9,24.7,
PRESQUEISLE_OCQUEOC_GROW_024,3,1,37.3,37.3,
