card_name,age_group,number_of_fish,length_range,mean_length,comments
ALGER_AUTRAIN_GROW_0001_1,2,2,18.9 - 19.2,19,
ALGER_AUTRAINBASIN_GROW_0003_1,2,2,18.9 - 19.2,19,
ANTRIM_GREEN_GROW_0003_1,2,1,7.2,7.2,
ANTRIM_GREEN_GROW_0003_1,3,1,9.9,9.9,
BENZIE_CRYSTAL_GROW_0001_2,1,2,11.5 - 13.2,12.5,
BENZIE_CRYSTAL_GROW_0001_2,2,1,19.9,19.9,
BENZIE_CRYSTAL_GROW_0001_2,3,2,19.1 - 20.4,19.8,
CASS_HEMLOCK_GROW_0001_1,1,4,11.9 - 12.8,12.3,
CHARLEVOIX_CHARLEVOIX78P3_GROW,3,1,25.8,25.8,
CHEBOYGAN_BURT_GROW_227,2,1,10.6,10.6,
CHEBOYGAN_BURT_GROW_229,2,1,10.6,10.6,
CHEBOYGAN_MULLETT_GROW_129,3,1,19.5,19.5,
CHEBOYGAN_MULLETT_GROW_131,3,1,19.5,19.5,
LEELANAU_GLENBIG_GROW_067,2,1,21.3,21.3,
