card_name,age_group,number_of_fish,length_range,mean_length,comments
ALCONA_BROWNLEE_GROW_0002_1,2,1,NA,4.1,
ALCONA_CROOKED_GROW_0001_2,2,4,3.4 - 4.3,3.8,
ALCONA_CROOKED_GROW_0001_2,3,1,4.7,4.7,
ALCONA_CROOKED_GROW_0003_1,3,5,4.5 - 5.6,5,
ALCONA_CROOKED_GROW_0003_1,4,4,5.2 - 5.6,5.3,
ALCONA_CROOKED_GROW_0003_1,5,3,5.5 - 6.1,5.8,
ALCONA_NORTHHOIST_GROW_0003,1,7,3.8 - 5.4,4.6,
ALGER_CLOVERLEAF_GROW_0001,3,1,5.2,5.2,
ALGER_CLOVERLEAF_GROW_0004_1,2,1,4,4,
ALPENA_BEAVER_GROW_0003_1,1,2,2.7 - 3.3,3,
BARAGA_CROOKED_GROW_0002_1,3,1,4.8,4.8,
BARAGA_CROOKED_GROW_0002_1,4,1,5.5,5.5,
BARAGA_CROOKED_GROW_0002_1,6,3,7.0 - 7.2,7.1,
BARAGA_CROOKED_GROW_0002_1,8,4,8.6 - 8.8,8.7,
BARAGA_KEEWAYDIN_GROW_0001_1,3,1,4.6,4.6,
BARAGA_KEEWAYDIN_GROW_0001_1,4,8,5.0 - 6.0,5.3,
BARAGA_KEEWAYDIN_GROW_0001_1,5,2,6.6,6.6,
BARRY_LONG2N9WSEC15162021_GROW_0009_1,5,1,6.3,6.3,
BENZIE_ANN_GROW_0005_1,3,2,4.8 - 5.8,5.3,
BENZIE_SANFORD_GROW_0001_2,2,3,3.0 - 3.5,3.2,
BENZIE_SANFORD_GROW_0001_2,3,2,4.4 - 4.6,4.5,
BENZIE_SANFORD_GROW_0001_2,4,2,5.0 - 5.3,5.2,
BENZIE_SANFORD_GROW_0001_2,5,1,5.9,5.9,
BENZIE_SANFORD_GROW_0001_2,6,4,6.0 - 6.8,6.4,
BENZIE_SANFORD_GROW_0001_2,7,9,5.0 - 8.2,6.9,
BENZIE_SANFORD_GROW_0001_2,8,2,6.4 - 6.7,6.6,
BENZIE_TURTLE_GROW_0001_2,1,9,2.1 - 3.5,2.8,
BENZIE_TURTLE_GROW_0001_2,3,1,5.3,5.3,
BENZIE_TURTLE_GROW_0001_2,4,2,5.4 - 5.5,5.5,
BENZIE_TURTLE_GROW_0001_2,5,2,4.8 - 5.6,5.2,
CHEBOYGAN_SILVER33N_3W_S11-12_GROW_083,1,2,2.7 - 3.3,3,
CHEBOYGAN_SILVER33N_3W_S11-12_GROW_083,2,3,3.4 - 4.6,3.9,
CHEBOYGAN_SILVER33N_3W_S11-12_GROW_083,3,4,4.7 - 4.9,4.8,
CHEBOYGAN_SILVER33N_3W_S11-12_GROW_083,4,8,4.9 - 5.5,5.2,
CHEBOYGAN_SILVER33N_3W_S11-12_GROW_083,5,1,6.2,6.2,
CHEBOYGAN_WEBER_GROW_033,4,3,4.8 - 5.7,5.1,
CHEBOYGAN_WEBER_GROW_035,2,5,3.5 - 4.5,3.9,
CHEBOYGAN_WEBER_GROW_035,3,11,3.7 - 5.2,4.2,
CHEBOYGAN_WEBER_GROW_035,4,9,4.4 - 5.2,4.9,
CHEBOYGAN_WEBER_GROW_071,3,1,5.6,5.6,
CHEBOYGAN_WEBER_GROW_073,1,1,4.2,4.2,
CHEBOYGAN_WEBER_GROW_073,2,7,4.3 - 4.6,4.4,
CHEBOYGAN_WEBER_GROW_073,3,2,4.4 - 4.5,4.4,
CHEBOYGAN_WEBER_GROW_109,1,3,2.0 - 2.5,2.2,
CHEBOYGAN_WEBER_GROW_109,2,3,2.7 - 3.3,2.9,
CHEBOYGAN_WEBER_GROW_109,3,15,3.1 - 4.8,4,
CHEBOYGAN_WEBER_GROW_109,4,6,4.4 - 5.7,5,
CHEBOYGAN_WEBER_GROW_109,5,10,5.0 - 6.1,5.5,
CHEBOYGAN_WEBER_GROW_109,6,2,6.0 - 6.4,6.2,
CLARE_ARNOLD19N_4W_S2-3_GROW_072,3,9,4.2 - 5.2,4.6,
CLARE_ARNOLD19N_4W_S2-3_GROW_072,4,3,4.5 - 5.3,4.8,
CLARE_ARNOLD19N_4W_S2-3_GROW_072,5,1,5.5,5.5,
CLARE_ARNOLD19N_4W_S2-3_GROW_072,6,1,6.3,6.3,
CLARE_BERTHA_GROW_066,3,2,11.2,11.2,
CLARE_SILVER_GROW_010,1,1,3.9,3.9,
CLARE_SILVER_GROW_010,2,2,3.9 - 4.7,4.3,
CLARE_SILVER_GROW_010,3,7,4.3 - 5.3,4.7,
CLARE_SILVER_GROW_010,4,4,5.0 - 5.7,5.3,
CLARE_SILVER_GROW_010,5,1,6.2,6.2,
CLARE_SUTHERLAND_GROW_036,5,1,7.1,7.1,
CLARE_WINDOVER_GROW_030,3,1,6.3,6.3,
CRAWFORD_BRIGHT_GROW_016,3,5,4.2 - 5.2,4.4,
CRAWFORD_BRIGHT_GROW_016,4,4,4.8 - 5.2,5,
CRAWFORD_GLORY_GROW_022,2,1,3.8,3.8,
CRAWFORD_GLORY_GROW_022,3,3,4.1 - 4.5,4.2,
CRAWFORD_GLORY_GROW_022,4,7,4.3 - 4.8,4.5,
CRAWFORD_GLORY_GROW_022,5,9,5.4 - 6.2,5.7,
CRAWFORD_HOWES_GROW_082,4,1,5.6,5.6,
CRAWFORD_SHUPAC_GROW_040,1,2,2.2 - 2.3,2.2,
CRAWFORD_SHUPAC_GROW_040,2,1,2.8,2.8,
CRAWFORD_SHUPAC_GROW_040,3,8,3.0 - 4.1,3.6,
CRAWFORD_SHUPAC_GROW_040,4,2,4.5 - 5.1,4.8,
CRAWFORD_SHUPAC_GROW_040,5,6,4.6 - 6.4,5.7,
CRAWFORD_SHUPAC_GROW_040,6,12,4.5 - 7.1,6.3,
CRAWFORD_SHUPAC_GROW_040,7,5,6.2 - 7.5,6.8,
CRAWFORD_SHUPAC_GROW_046,3,16,4.0 - 5.7,4.7,
CRAWFORD_SHUPAC_GROW_046,4,9,5.6 - 7.8,6.3,
CRAWFORD_SHUPAC_GROW_049,2,3,2.8 - 3.3,3.05,
CRAWFORD_SHUPAC_GROW_049,3,18,3.1 - 4.6 ,3.9,
CRAWFORD_SHUPAC_GROW_049,4,3,5.3 - 6.0,5.7,
CRAWFORD_SHUPAC_GROW_049,5,2,6.0 - 6.5,6.2,
CRAWFORD_SHUPAC_GROW_055,2,2,4.5 - 5.0 ,4.7,
CRAWFORD_SHUPAC_GROW_055,3,0,NA,NA,
GLADWIN_HOISTER_GROW_031,2,1,4.4,4.4,
GLADWIN_HOISTER_GROW_031,4,2,5.4 - 5.7,5.6,
GOGEBIC_LANGFORD_GROW_011,5,8,5.4 - 6.5,5.9,
GOGEBIC_LANGFORD_GROW_011,6,2,6.2 - 6.4,6.3,
GRANDTRAVERSE_ARBUTUS_GROW_095,3,5,3.1 - 4.3,3.6,
GRANDTRAVERSE_ARBUTUS_GROW_095,4,4,4.3 - 5.0,4.8,
GRANDTRAVERSE_ARBUTUS_GROW_095,6,1,5.6,5.6,
GRANDTRAVERSE_LONG_GROW_173,3,1,3.2,3.2,
GRANDTRAVERSE_LONG_GROW_173,4,1,5.4,5.4,
GRANDTRAVERSE_SILVER_GROW_075,4,1,5.7,5.7,
GRANDTRAVERSE_SILVER_GROW_079,3,3,3.5 - 4.8,4.1,
GRANDTRAVERSE_SILVER_GROW_079,5,1,6.5,6.5,
GRANDTRAVERSE_SPIDER_GROW_037,4,1,4.3,4.3,
IOSCO_LONDOWEST_GROW_019,4,2,6.6 - 7.1,6.8,
KALAMAZOO_AUSTIN_GROW_089,0,4,3.8 - 4.2,4,
KALKASKA_BASS28N_5W_S23_GROW_032,3,1,3.8,3.8,
KALKASKA_GUERNSEYBIG_GROW_071,2,4,3.0 - 3.8,3.4,
KALKASKA_GUERNSEYBIG_GROW_071,3,3,4.4 - 5.1,4.7,
KALKASKA_GUERNSEYBIG_GROW_071,4,1,5.3,5.3,
KALKASKA_GUERNSEYBIG_GROW_071,5,2,6.1 - 6.3,6.2,
KALKASKA_LOG_GROW_028,4,10,4.8 - 6.8,5.6,
KALKASKA_LOG_GROW_028,5,2,5.7 - 6.9,6.3,
