card_name,age_group,number_of_fish,length_range,mean_length,comments
ALCONA_NORTHHOIST_GROW_0001,1,1,5.9,5.9,
ALCONA_NORTHHOIST_GROW_0001,2,6,5.5-7.2,6.6,
ALCONA_NORTHHOIST_GROW_0001,3,3,7.5-7.6,7.6,
Alcona_NorthHoist_GROW_Doc0622,1,1,5.9,5.9,duplicate 
Alcona_NorthHoist_GROW_Doc0622,2,6,5.5-7.2,6.6,duplicate 
Alcona_NorthHoist_GROW_Doc0622,3,3,7.5-6.6,7.6,duplicate 
ALCONA_TROUTLITTLE_GROW_0001_1,2,8,3.5-4.9,4.1,
ALCONA_TROUTLITTLE_GROW_0001_1,3,1,4.9,4.9,
ALGER_CLOVERLEAF_GROW_0001,3,1,6.2,6.2,
ALGER_CLOVERLEAF_GROW_0001,4,1,5.9,5.9,
ALGER_CLOVERLEAF_GROW_0002,3,1,6.2,6.2,duplicate 
ALGER_CLOVERLEAF_GROW_0002,4,1,5.9,5.9,duplicate 
ALGER_THORNTON_GROW_0001_1,6,2,8.3-8.4,8.35,
BARRY_CROOKED_GROW_0001_2,1,7,2.8-5.4,4.5,
BARRY_CROOKED_GROW_0001_2,2,10,5.3-6.6,6.1,
BARRY_CROOKED_GROW_0001_2,3,8,6.2-7.0,6.5,
BARRY_CROOKED_GROW_0001_2,4,1,,7.7,
BENZIE_GERRY_GROW_0002_2,2,1,2.5,2.5,
BENZIE_GERRY_GROW_0002_2,3,4,3.2-3.4,3.3,
BENZIE_GERRY_GROW_0002_2,4,7,3.3-4.1,3.7,
BENZIE_GERRY_GROW_0002_2,5,1,4.6,4.6,
BENZIE_GERRY_GROW_0002_2,6,2,5.2-5.9,5.6,
BENZIE_GERRY_GROW_0002_2,7,7,4.8-6.7,5.7,
BENZIE_GERRY_GROW_0002_2,8,4,6.6-7.1,6.8,
BRANCH_MARBLE_GROW_0001_2,4,1,8,8,
Cheboygan_Roberts_GROW_001,4,8,6.4-7.5,7,
Cheboygan_Silver33N_3W_S11-12_GROW_083,4,6,5.1-5.9,5.5,
Cheboygan_Silver33N_3W_S11-12_GROW_083,6,1,7.5,7.5,
Chippewa_Dukes_GROW_029,1,1,2.4,2.4,
Chippewa_Frenchman's_GROW_092,1,2,2.8-3.4,3.1,
Clare_Hoister_GROW_007,4,1,5,5,
Crawford_Bright_GROW_014,5,7,8.6-9.9,9.4,
Crawford_Floyd_GROW_007,3,34,,6.9,
Crawford_Hartwick Lake_GROW_011,2,6,,5.8,
Crawford_Howes_GROW_082,4,18,5.9-8.0,6.7,
Crawford_Howes_GROW_082,5,1,8,8,
Crawford_Howes_GROW_082,6,1,8.9,8.9,
Crawford_Karen_GROW_012,2,12,,6.2,
Crawford_Shupac_GROW_093,5,1,6,6,
Crawford_Shupac_GROW_093,6,6,6.1-7.5,6.9,
Crawford_Shupac_GROW_093,7,1,8.2,8.2,
Gladwin_Lake Lancer_GROW_023,9,1,9.4,9.4,
GrandTraverse_Chandler_GROW_014,4,1,189,189,
GrandTraverse_Dollar_GROW_009,1,1,3.3,3.3,
GrandTraverse_Dollar_GROW_009,2,4,4.2-6.5,5.1,
GrandTraverse_Dollar_GROW_009,3,38,4.2-8.3,6.1,
GrandTraverse_Dollar_GROW_009,4,2,9.4-9.5,9.5,
GrandTraverse_Sand3_GROW_008,3,18,5.6-8.8,7.2,
GrandTraverse_Sand3_GROW_008,9,24,9.2-11.0,9.8,
GrandTraverse_Sand3_GROW_008,12,1,9.2,9.2,
Ingham_Delta_GROW_001,3,6,3.5-4.0,3.9,
Ingham_Delta_GROW_001,4,6,4.7-5.4,5.1,
Ingham_Delta_GROW_001,7,3,7.5-7.6,7.6,
Ingham_Delta_GROW_001,8,4,7.6-8.6,8.3,
Ingham_Delta_GROW_001,9,3,8.5-9.2,8.8,
Ingham_Delta_GROW_001,10,4,9.0-9.3,9.2,
iosco_LondoWest_GROW_015,5,1,7.7,7.7,
iosco_Long_GROW_013,5,1,,6.6,
Kalamazoo_Austin_GROW_089,0,4,4.0-4.8,4.3,
Kalkaska_GuernseyBig_GROW_071,2,1,3.4,3.4,
Kalkaska_GuernseyBig_GROW_071,3,12,3.9-6.0,4.9,
