card_name,age_group,number_of_fish,length_range,mean_length,comments
ALGER_FISH_GROW_0003_1,1,1,2.6,2.6,
Cheboygan_Black_GROW_119,3,1,6.2,6.2,
Chippewa_Soldier_GROW_037,4,9,5.1-5.8,5.3,
Chippewa_Soldier_GROW_037,6,1,6.4,6.4,
Clare_FiveLakes_GROW_017,3,1,3.5,3.5,
Clare_FiveLakes_GROW_017,5,1,6.1,6.1,
Clare_FiveLakes_GROW_018,2,1,3.5,3.5,
Clare_FiveLakes_GROW_018,5,1,6.1,6.1,
Clare_Long20N_4W_S22-26-27_GROW_015,5,1,4.7,4.7,
Crawford_Shupac_GROW_060,3,1,4.3,4.3,
Crawford_Shupac_GROW_060,4,1,4.6,4.6,
Isabella_Littlefield_GROW_077,3,1,3.5-3.7,3.6,
Jackson_Lime_GROW_019,1,1,,4.5,longear sunfish hybrid
OAKLAND_CROTCHE_GROW_0002_2,3,4,3.7-5.6,4.3,duplicate;this one has collection date
OAKLAND_CROTCHE_GROW_0004_2,3,4,3.7-5.6,4.3,duplicate ;this one does not have a collection date
OAKLAND_PONTIAC_GROW_0004_1,4,6,4.7-6.1,5.4,
OSCODA_MIO_GROW_0020_2,4,1,5.6,5.6,
OSCODA_MIO_GROW_0020_2,5,1,6.4,6.4,
Schoolcraft_Cusino_GROW_028,4,8,4.0-4.4,4.2,
Schoolcraft_Cusino_GROW_028,5,1,5.3,5.3,
Schoolcraft_Leg_GROW_100,2,1,4.1,4.1,
Schoolcraft_Leg_GROW_100,3,1,4.5,4.5,
Schoolcraft_Leg_GROW_100,4,6,6.8-7.8,7.5,
Schoolcraft_Leg_GROW_100,6,1,8.9,8.9,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
