card_name,age_group,number_of_fish,length_range,mean_length,comments
ANTRIM_ELK_GROW_0008_1,5,1,36.4,36.4,
ANTRIM_ELK_GROW_0008_1,8,1,48.5,48.5,
ANTRIM_HANLEY_GROW_0001_1,2,2,18.3-21.0,19.6,
ANTRIM_INTERMEDIATE_GROW_0003_1,7,1,43,43,
ANTRIM_SIXMILE_GROW_0001_2,3,1,21,21,
ANTRIM_SKEGEMOG_GROW_0002_1,5,1,33,33,
ANTRIM_SKEGEMOG_GROW_0002_1,6,2,41.5-44.0,42.7,
ANTRIM_SKEGEMOG_GROW_0002_1,8,4,43.3-49.0,47.3,
ANTRIM_SKEGEMOG_GROW_0002_1,10,1,50.5,50.5,
ANTRIM_SKEGEMOG_GROW_0003_2,1,2,NA,20,
ANTRIM_SKEGEMOG_GROW_0003_2,6,1,NA,39,
ANTRIM_SKEGEMOG_GROW_0003_2,7,3,NA,42.6,
ANTRIM_SKEGEMOG_GROW_0003_2,8,5,NA,44.1,
ANTRIM_SKEGEMOG_GROW_0003_2,10,2,NA,49.2,
BARAGA_CRAIG_GROW_0002_1,7,2,35.3-36.6,36,
BARAGA_CRAIG_GROW_0002_1,8,1,33.2,33.2,
BARAGA_CRAIG_GROW_0003_1,7,2,35.3-36.6,36,has age 7 twice 
BARAGA_CRAIG_GROW_0003_1,7,1,33.2,33.2,
BARAGA_CRAIG_GROW_0005_2,3,1,20.4,20.4,
BARAGA_CRAIG_GROW_0005_2,8,1,34.5,34.5,
BARAGA_CRAIG_GROW_0005_2,10,1,39.5,39.5,
BARAGA_CRAIG_GROW_0005_2,11,1,41,41,
BARAGA_CRAIG_GROW_0006_2,3,1,21.2,21.2,
BARAGA_CROOKED_GROW_0002_1,4,1,31.5,31.5,
BARAGA_MICHIGAMME_GROW_0002_1,4,2,28.5-31.7,30.9,
BARAGA_MICHIGAMME_GROW_0002_1,5,1,31.4,31.4,
BARAGA_MICHIGAMME_GROW_0002_1,6,1,30.2,30.2,
BARAGA_MICHIGAMME_GROW_0002_1,9,1,43,43,
BARAGA_MICHIGAMME_GROW_0002_1,10,1,43,43,
BARAGA_MICHIGAMME_GROW_0004_1,3,1,26.1,26.1,
BARAGA_MICHIGAMME_GROW_0004_1,5,1,32.7,32.7,
BARAGA_PARENT_GROW_0002_1,7,2,28.0-30.8,29.4,
BARRY_GUN_GROW_0003_2,2,2,23.0-23.2,23.1,
BARRY_GUN_GROW_0008_2,6,2,36.0-36.3,36.2,
Cheboygan_Black_GROW_095,9,1,46,46,
Cheboygan_Black_GROW_097,3,1,46.8,46.8,
Cheboygan_Black_GROW_101,9,1,43,43,
Cheboygan_Black_GROW_101,10,1,46.5,46.5,
Cheboygan_Black_GROW_228,4,2,32.7-33.8,33.3,
Cheboygan_Burt_GROW_243,7,1,41.5,41.5,
Cheboygan_Mullett_GROW_127,8,1,34.5,34.5,
Cheboygan_Mullett_GROW_127,9,2,39.5-41.3,40.4,
Cheboygan_Mullett_GROW_127,10,3,41.0-49.5,44.3,
Cheboygan_Mullett_GROW_141,3,2,22.4-26.6,24.5,
Cheboygan_Mullett_GROW_141,7,1,38,38,
Cheboygan_Mullett_GROW_273,4,2,30.6-36.5,34,
Clare_Budd_GROW_032,6,1,35,35,
Clare_Budd_GROW_032,7,2,35.0-36.0,35.5,
Clare_Budd_GROW_032,8,1,34,34,
Clare_Budd_GROW_075,1,23,11.1-13.9,12.9,
Clare_Budd_GROW_075,2,4,18.7-21.1,19.9,
Clare_Budd_GROW_075,3,1,26.5,26.5,
Clare_Budd_GROW_128,2,3,18.7-27.1,22.8,
