card_name,age_group,number_of_fish,length_range,mean_length,comments
BRANCH_COLDWATER_GROW_0001_1,3,14,4.3-7.9,5.7,
BRANCH_COLDWATER_GROW_0001_1,4,4,6.7-7.6,7.4,
BRANCH_COLDWATER_GROW_0001_1,5,11,8.1-9.3,8.5,
BRANCH_COLDWATER_GROW_0001_1,6,25,6.7-10.1,8.5,
BRANCH_COLDWATER_GROW_0001_1,7,9,9.5-10.9,10.2,
BRANCH_COLDWATER_GROW_0001_1,8,5,8.7-11.1,10.5,
BRANCH_COLDWATER_GROW_0001_1,9,5,11.1-11.7,11.3,
BRANCH_COLDWATER_GROW_0001_1,10,4,11.5-11.9,11.7,
BRANCH_COLDWATER_GROW_0009_1,2,1,5.3,5.3,
BRANCH_COLDWATER_GROW_0009_1,3,4,6.4-7.5,6.9,
BRANCH_COLDWATER_GROW_0009_1,4,6,7.4-9.5,8.4,
BRANCH_COLDWATER_GROW_0009_1,5,16,8.4-10.0,9.1,
BRANCH_COLDWATER_GROW_0009_1,6,3,10.5-10.6,10.6,
BRANCH_COLDWATER_GROW_0009_1,7,8,9.8-11.4,10.7,
BRANCH_COLDWATER_GROW_0009_1,8,7,10.1-12.1,11.2,
BRANCH_GEORGE_GROW_0003_1,3,1,,5.8,
BRANCH_GEORGE_GROW_0003_1,4,5,6.0-6.5,6.3,
BRANCH_GEORGE_GROW_0003_1,5,2,7.5-8.6,8.1,
BRANCH_GEORGE_GROW_0004_1,3,11,4.0-6.8,5.7,
BRANCH_GEORGE_GROW_0004_1,4,16,5.1-7.3,6.2,
BRANCH_GEORGE_GROW_0004_1,5,5,6.1-7.3,6.9,
BRANCH_GEORGE_GROW_0004_1,6,8,6.2-7.8,7.1,
BRANCH_GEORGE_GROW_0004_1,7,3,8.0-8.6,8.3,
BRANCH_GEORGE_GROW_0004_1,8,2,8.5-8.8,8.7,
BRANCH_GILEAD_GROW_0001_1,3,8,6.1-7.8,6.9,
BRANCH_GILEAD_GROW_0001_1,4,1,8.3,8.3,
BRANCH_GILEAD_GROW_0001_1,6,1,10.4,10.4,
BRANCH_GILEAD_GROW_0002_1,1,2,5.8-6.1,6,
BRANCH_GILEAD_GROW_0003_1,1,2,5.8-6.1,6,
BRANCH_GILEAD_GROW_0004_1,1,2,5.8-6.1,6,duplicate of BRANCH_GILEAD_GROW_0003_1
BRANCH_KENYON_GROW_0001_1,6,1,10.4,10.4,
BRANCH_MARBLE_GROW_0001_2,3,1,6,6,
BRANCH_MARBLE_GROW_0001_2,4,8,7.0-7.7,7.4,
BRANCH_MARBLE_GROW_0001_2,5,5,7.9-8.9,8.2,
BRANCH_MATTESON_GROW_0003_1,2,3,7.2-7.4,7.3,
BRANCH_ROSE_GROW_0001_1,4,4,7.7-8.5,7.9,
BRANCH_ROSE_GROW_0001_1,5,17,7.7-9.8,8.7,
BRANCH_ROSE_GROW_0001_1,6,3,9.0-9.9,9.4,
CALHOUN_BRACELOWER_GROW_0001_2,3,13,5.6-7.4,6.7,
CALHOUN_BRACELOWER_GROW_0001_2,4,28,5.8-9.3,8.2,
CALHOUN_BRACELOWER_GROW_0001_2,5,0,,,
CALHOUN_BRACELOWER_GROW_0001_2,6,6,6.7-10.7,9.6,
CALHOUN_BRACELOWER_GROW_0002_1,2,1,6.2,6.2,
CALHOUN_BRACELOWER_GROW_0002_1,3,16,6.2-8.7,7.1,
CALHOUN_BRACELOWER_GROW_0002_1,4,15,7.3-9.3,8.3,
CALHOUN_BRACELOWER_GROW_0002_1,5,0,,,
CALHOUN_BRACELOWER_GROW_0002_1,6,5,9.6-10.4,10,
CALHOUN_BRACELOWER_GROW_0004_1,2,8,6.1-7.8,7.2,
CALHOUN_BRACEUPPER_GROW_0002_1,2,5,6.0-7.0,6.6,
CALHOUN_DUCK_GROW_0002_1,1,2,2.1-2.6,2.4,
CALHOUN_DUCK_GROW_0002_1,3,20,4.7-8.3,7,
CALHOUN_DUCK_GROW_0002_1,4,1,6.7,6.7,
CALHOUN_DUCK_GROW_0002_1,5,6,9.0-10.1,9.5,
CALHOUN_DUCK_GROW_0003_2,2,35,4.5-8.6,6.4,
CALHOUN_DUCK_GROW_0003_2,3,4,7.9-9.3,8.8,
CALHOUN_DUCK_GROW_0003_2,4,2,9.8-9.9,9.9,
CALHOUN_DUCK_GROW_0003_2,5,1,10.4,10.4,
CALHOUN_DUCK_GROW_0005_1,3,4,7.8-8.8,8.3,
CALHOUN_DUCK_GROW_0006_2,3,1,8.4,8.4,
Hillsdale_Cub_GROW_025,3,22,5.4-7.6,6.6,
Hillsdale_Cub_GROW_025,4,56,6.3-8.9,7.7,
Hillsdale_Cub_GROW_025,5,3,9.1-9.3,9.2,
Hillsdale_Cub_GROW_025,6,1,10.1,10.1,
Hillsdale_Cub_GROW_037,3,7,7.3-8.3,7.9,
Hillsdale_Long8S_4W_S29_GROW_003,1,2,2.7-4.3,3.5,
Hillsdale_Long8S_4W_S29_GROW_003,2,2,4.0-5.1,4.5,
Hillsdale_Long8S_4W_S29_GROW_003,3,5,5.2-6.3,5.8,
Hillsdale_Long8S_4W_S29_GROW_003,4,4,6.3-7.1,6.8,
Hillsdale_Long8S_4W_S29_GROW_003,5,2,7.3-7.6,7.5,
Hillsdale_Long8S_4W_S29_GROW_010,2,7,5.3-5.8,5.5,
Hillsdale_Long8S_4W_S29_GROW_010,3,7,5.6-6.9,6.3,
Hillsdale_Long8S_4W_S29_GROW_010,4,12,6.1-7.9,7,
Hillsdale_Long8S_4W_S29_GROW_010,5,5,6.7-7.8,7.4,
Hillsdale_Long8S_4W_S29_GROW_010,6,2,7.6-8.4,8,
Jackson_Clear_GROW_121,4,22,7.5-9.1,8.2,
Jackson_Gilletts_GROW_069,3,11,7.9-8.5,8.3,
Jackson_Grass_GROW_058,3,21,7.3-8.3,7.9,
Jackson_Lime_GROW_070,3,21,6.8-8.9,7.7,
Jackson_Lime_GROW_070,5,12,9.7-10.6,10.2,
Jackson_Portage_GROW_073,2,2,2.8-5.3,4.1,
Jackson_Portage_GROW_073,3,7,5.5-8.6,6.7,
Jackson_Portage_GROW_073,4,8,8.1-8.7,8.4,
Jackson_Portage_GROW_183,2,3,4.6-5.5,4.9,
Jackson_Portage_GROW_183,3,13,5.3-8.8,7.3,
Jackson_Portage_GROW_183,4,20,6.7-9.7,8.6,
Jackson_Portage_GROW_183,5,5,9.2-10.4,9.7,
Jackson_Portage_GROW_183,6,1,10.2,10.2,
Jackson_Portage_GROW_198,6,22,7.7-9.3,9.1,
Jackson_Round4S_1-2W_S30-31-25-36_GROW_065,5,12,10.1-11.0,10.6,
Jackson_Swains_GROW_119,3,22,6.1-9.0,7.8,
Lenawee_Devils_GROW_185,3,4,7.3-7.6,7.4,
Mecosta_Pretty_GROW_107,3,1,7.5,7.5,
Mecosta_Pretty_GROW_107,4,27,6.8-9.2,7.93,
Mecosta_Pretty_GROW_107,5,8,6.8-9.1,8.3,
MONTCALM_RAINBOW_GROW_0010_1,4,19,4.1-8.6,7.8,
MONTCALM_RAINBOW_GROW_0010_1,5,2,6.2-8.7,7.5,
MONTCALM_RAINBOW_GROW_0010_1,9,1,10.9,10.9,
OGEMAW_DEVOE_GROW_0002_1,1,1,4,4,
Washtenaw_Crooked2_GROW_20200218130751801_0049,2,1,4.3,4.3,
Washtenaw_Crooked2_GROW_20200218130751801_0049,3,3,8.1-9.0,8.6,
Washtenaw_Crooked2_GROW_20200218130751801_0049,4,17,8.9-10.4,9.8,
Washtenaw_Crooked2_GROW_20200218130751801_0049,5,7,9.2-10.6,10.1,
WASHTENAW_CROOKEDT2SR3ES5678_GROW_0001_1,2,1,4.3,4.3,
WASHTENAW_CROOKEDT2SR3ES5678_GROW_0001_1,3,3,8.1-9.0,8.6,
WASHTENAW_CROOKEDT2SR3ES5678_GROW_0001_1,4,17,8.9-10.4,9.8,
WASHTENAW_CROOKEDT2SR3ES5678_GROW_0001_1,5,7,9.2-10.6,10.1,
WASHTENAW_FOURMILE_GROW_0001_1,3,3,8.3-9.1,8.8,
Washtenaw_FourMile_GROW_20200218145552170_0012,3,3,8.3-9.1,8.8,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
