card_name,age_group,number_of_fish,length_range,mean_length,comments
ALGER_GRANDSABLE_GROW_0006_1,1,4,5.1-6.3,5.7,
ALGER_GRANDSABLE_GROW_0006_1,2,4,6.9-7.1,7,
ALGER_GRANDSABLE_GROW_0007_2,1,26,120-190,153,mm
ALPENA_BEAVER_GROW_0001_1,2,2,5.8-6.0,5.9,
ANTRIM_BELLAIRE_GROW_0002_1,1,26,4.0-6.3,4.8,
ANTRIM_BELLAIRE_GROW_0005_2,0,3,3.3-4.3,3.7,
ANTRIM_BELLAIRE_GROW_0005_2,1,52,5.1-7.2,6.1,
ANTRIM_BELLAIRE_GROW_0005_2,2,42,6.0-7.7,7,
ANTRIM_BELLAIRE_GROW_0005_2,3,1,8.4,8.4,
ANTRIM_ELK_GROW_0004_1,1,3,17-18,17,cm
BARRY_GULL_GROW_0006_1,2,54,5.7-7.1,6.4,
BARRY_GULL_GROW_0007_1,2,99,5.3-6.9,6.3,
BARRY_GULL_GROW_0007_1,3,33,6.5-7.2,6.9,
BENZIE_CRYSTAL_GROW_0001_2,1,2,6.5-6.6,6.6,
BENZIE_CRYSTAL_GROW_0001_2,2,20,6.2-7.7,7,
BENZIE_CRYSTAL_GROW_0001_2,3,1,8.3,8.3,
BENZIE_CRYSTAL_GROW_0003_1,2,3,6.1-7.7,7.1,
BENZIE_CRYSTAL_GROW_0003_1,3,13,7.4-9.5,8.3,
BENZIE_CRYSTAL_GROW_0003_1,4,17,8.3-10.4,8.9,
BENZIE_PLATTEBIG_GROW_0004_2,3,1,10.3,10.3,
Charlevoix_Charlevoix71p5_GROW,1,4,5.0-6.4,5.7,
Charlevoix_Charlevoix71p5_GROW,2,1,7,7,
Charlevoix_Charlevoix71p5_GROW,3,1,8.3,7.7,
Charlevoix_Charlevoix72p2_GROW,3,3,16.0-24.0,20,cm
Charlevoix_Charlevoix72p2_GROW,4,9,20.0-24.0,22,cm
Charlevoix_Charlevoix96_GROW,5,1,10.4,10.4,
Charlevoix_Thumb_049_GROW_0002,2,17,8.5-9.3,8.9,
Charlevoix_Thumb_049_GROW_0002,3,3,9.1-9.7,9.3,
Charlevoix_Thumb_051_GROW_0001,1,2,5.3-6.0,5.7,
Charlevoix_Thumb_051_GROW_0001,2,1,8.9,8.9,
Charlevoix_Walloon_052_GROW_0001,2,4,8.2-8.9,6.9,
Charlevoix_Walloon_053_GROW_0002,1,2,5.2-7.5,6.3,
Charlevoix_Walloon_053_GROW_0002,2,12,7.3-10.0,9,
Charlevoix_Walloon_135_GROW_0001,1,2,5.9-6.1,6,
Charlevoix_Walloon_135_GROW_0001,2,15,6.9-9.5,8.7,
Charlevoix_Walloon_135_GROW_0001,3,10,9.0-10.3,9.8,
Charlevoix_Walloon_137_GROW_0002,2,7,6.4-8.0,7.2,
Charlevoix_Walloon_137_GROW_0002,4,1,10,10,
Cheboygan_Mullett_GROW_126,1,5,5.2-5.5,5.4,
Cheboygan_Mullett_GROW_126,2,1,7.2,7.2,
Cheboygan_Mullett_GROW_130,1,11,4.7-6.4,5.8,
Cheboygan_Mullett_GROW_130,2,25,6.5-9.0,7.2,
Cheboygan_Mullett_GROW_130,4,2,8.6-9.6,9.1,
Cheboygan_Mullett_GROW_132,1,11,4.7-6.4,5.8,
Cheboygan_Mullett_GROW_132,2,25,6.5-9.0,7.2,
Cheboygan_Mullett_GROW_132,4,2,8.6-9.6,9.1,
Cheboygan_Mullett_GROW_141,2,1,6.1,6.1,
Cheboygan_Mullett_GROW_141,3,1,8.2,8.2,
Cheboygan_Mullett_GROW_297,1,2,5.2-5.4,5.3,
Crawford_Shupac_GROW_054,1,2,6.8-7.0,6.9,
Crawford_Shupac_GROW_060,1,5,6.0-6.7,6.3,
Crawford_Shupac_GROW_060,2,3,7.7-8.0,7.9,
GrandTraverse_Green_GROW_008,2,24,6.1-8.2,6.8,
GrandTraverse_Green_GROW_008,3,3,6.4-7.2,6.8,
Iosco_Loon_GROW_018,1,1,6.1,6.1,
Isabella_Littlefield_GROW_077,2,2,8.3-8.8,8.5,
Kalkaska_TwinBig_GROW_118,3,2,7.3-7.6,7.4,
Kalkaska_TwinBig_GROW_118,4,1,9,9,
Leelanau_LeelanauNorth_GROW_058,1,1,7.5,7.5,
Leelanau_LeelanauSouth_GROW_175,1,3,NA,5.4,
Leelanau_LeelanauSouth_GROW_175,2,3,NA,6.3,
Leelanau_LeelanauSouth_GROW_175,3,1,NA,6.1,
Leelanau_Solon_GROW_009,1,1,NA,4.7,
Leelanau_Solon_GROW_009,2,10,NA,5.5,
Leelanau_Solon_GROW_009,3,17,NA,6.1,
Leelanau_Solon_GROW_009,4,2,NA,7.2,
MONTMORENCY_CLEAR_GROW_0001_1,2,3,19-21,20,cm
MONTMORENCY_CLEAR_GROW_0001_1,3,1,23,23,cm
MONTMORENCY_MCCORMICK_GROW_0001_1,3,5,7.6-8.4,8,
OSCODA_SMITH_GROW_0004_1,2,2,9.0-9.5,9.2,
OSCODA_SMITH_GROW_0005_1,2,16,6.8-8.2,7.5,
OSCODA_SMITH_GROW_0005_1,3,5,8.5-10.5,9.3,
Otsego_Heart_GROW_016,2,10,21-23,21.8,cm
Otsego_Heart_GROW_016,3,3,23-24,23.3,cm
Otsego_Heart_GROW_030,2,27,7.8-9.0,8.4,
Otsego_Heart_GROW_032,1,1,7,7,
Otsego_Heart_GROW_032,2,3,8.4-10.1,9,
Otsego_Heart_GROW_042,1,1,6.3,6.3,
Otsego_Heart_GROW_044,2,1,8.7,8.7,
PresqueIsle_Ocqueoc_GROW_014,2,1,5.4,5.4,
PresqueIsle_Ocqueoc_GROW_018,2,1,5.4,5.4,
