card_name,age_group,number_of_fish,length_range,mean_length,comments
ALGER_BEAVER_GROW_0005_1.jpeg,2,3,12.0-12.9,12.4,
ALGER_GRANDSABLE_GROW_0003_1.jpeg,1,1,13.5,13.5,
ALGER_GRANDSABLE_GROW_0007_1.jpeg,4,8,720-750,735,mm 
ALGER_McCOMB_GROW_0001_1.jpeg,3,1,10.6,10.6,
ALGER_SHOENORTH_GROW_0001_1.jpeg,1,1,7.6,7.6,
ALGER_SHOENORTH_GROW_0001_1.jpeg,3,4,14.5-16.6,15.8,
ALGER_SHOENORTH_GROW_0002_1.jpeg,1,1,NA,9.9,
ALGER_SHOENORTH_GROW_0002_1.jpeg,2,9,10.8-15.9,12.5,
ALGER_SHOENORTH_GROW_0002_1.jpeg,3,2,12.8-14.0,13.4,
ALGER_SHOENORTH_GROW_0003_1.jpeg,6,1,25.9,25.9,
ALGER_SHOENORTH_GROW_0003_1.jpeg,7,1,26.9,26.9,
ALGER_SIXTEENMILE_GROW_0001_1.jpeg,4,2,22.0-24.7,23.4,
ANTRIM_BELLAIRE_GROW_0002_3.jpeg,1,3,10.6-11.6,11.1,
ANTRIM_BELLAIRE_GROW_0002_3.jpeg,2,3,15.6-16.8,16.2,
ANTRIM_BELLAIRE_GROW_0002_3.jpeg,3,6,18.1-20.4,19,
ANTRIM_BELLAIRE_GROW_0002_3.jpeg,4,1,23.3,23.3,
ANTRIM_BELLAIRE_GROW_0003_1.jpeg,1,129,7.1-13.9,10.3,
ANTRIM_BELLAIRE_GROW_0003_1.jpeg,2,64,13.1-16.9,14.9,
ANTRIM_BELLAIRE_GROW_0003_1.jpeg,3,20,16.0-18.8,17.2,
ANTRIM_BELLAIRE_GROW_0006_1.jpeg,7,1,33.7,33.7,
ANTRIM_ELK_GROW_0006_1.jpeg,1,17,7.1-11.2,9.3,
ANTRIM_ELK_GROW_0006_1.jpeg,2,26,11.1-15.8,13.6,
ANTRIM_ELK_GROW_0006_1.jpeg,3,22,15.6-18.5,16.8,
ANTRIM_ELK_GROW_0006_1.jpeg,4,3,19.3-20.1,19.8,
ANTRIM_GREEN_GROW_0004_1.jpeg,4,2,22.0-22.4,22.2,
Charlevoix_Thumb_049_GROW_0001.jpg,1,6,8.1-10.0,9.1,
Charlevoix_Thumb_049_GROW_0001.jpg,2,20,10.1-17.2,14.2,
Charlevoix_Thumb_049_GROW_0001.jpg,3,4,18.2-23.5,20.2,
Charlevoix_Thumb_081_GROW_0007.jpg,1,3,12.0-13.6,12.8,
Charlevoix_Thumb_081_GROW_0007.jpg,2,1,23.2,23.2,
Charlevoix_Thumb_082_GROW_0001.jpg,1,30,9.0-12.5,11.1,
Charlevoix_Thumb_082_GROW_0001.jpg,2,15,12.0-15.5,13.4,
Charlevoix_Thumb_082_GROW_0001.jpg,3,5,14.7-16.7,15.6,
Charlevoix_Thumb_082_GROW_0001.jpg,4,3,17.1-19.9,18.7,
Charlevoix_Thumb_082_GROW_0001.jpg,6,1,23,23,
Charlevoix_Thumb_082_GROW_0001.jpg,7,1,25.6,25.6,
Charlevoix_Walloon_051_GROW_0002.jpg,1,1,10.2,10.2,
Cheboygan_Burt_GROW_227.jpg,3,1,19.2,19.2,
Cheboygan_Burt_GROW_229.jpg,3,1,19.2,19.2,
Cheboygan_Mullett_GROW_123.jpg,2,3,15.5-18.0,16.7,
Cheboygan_Mullett_GROW_123.jpg,3,4,21.0-22.2,21.5,
Cheboygan_Mullett_GROW_141.jpg,4,6,18.7-20.7,20.1,
Cheboygan_Mullett_GROW_273.jpg,2,1,12.6,NA,
Cheboygan_Mullett_GROW_273.jpg,3,13,14.5-17.8,16.9,
Cheboygan_Mullett_GROW_273.jpg,4,12,16.2-19.1,17.1,
Cheboygan_Twins_GROW_021.jpg,1,1,9.9,9.9,
Gogebic_FingerBig_GROW_010.jpg,1,25,7.6-9.3,8.4,
Gogebic_FingerBig_GROW_010.jpg,2,3,12.3-13.5,12.9,
Gogebic_Imp_GROW_032.jpg,5,17,21.6-27.6,24.8,
Gogebic_Imp_GROW_032.jpg,6,3,28.1-29.2,28.6,
Gogebic_Imp_GROW_032.jpg,7,1,32,32,
GrandTraverse_Duck_GROW_012.jpg,1,9,7.1-8.3,7.7,
GrandTraverse_Duck_GROW_012.jpg,5,3,22.8-23.8,23.3,
GrandTraverse_Duck_GROW_072.jpg,2,1,NA,12,
GrandTraverse_Duck_GROW_072.jpg,4,2,22.0-22.6,22.3,
GrandTraverse_Duck_GROW_072.jpg,5,9,21.2-25.4,23.2,
GrandTraverse_Duck_GROW_072.jpg,6,1,NA,24.2,
GrandTraverse_Duck_GROW_072.jpg,7,1,NA,30.7,
GrandTraverse_Green_GROW_079.jpg,2,5,12.8-17.0,15,
GrandTraverse_Green_GROW_079.jpg,3,7,18.1-21.5,18.9,
GrandTraverse_Green_GROW_079.jpg,4,1,21.4,21.4,
Iron_Ellen_GROW_001.jpg,1,2,9.7-10.5,10.1,
Iron_Ellen_GROW_001.jpg,2,10,10.4-13.2,11.7,
Iron_Ellen_GROW_001.jpg,4,1,16.6,16.6,
Iron_Ellen_GROW_075.jpg,1,15,10.5-12.5,11.7,
Iron_Ellen_GROW_075.jpg,2,1,13.4,13.4,
Iron_Golden_GROW_044.jpg,1,25,7.3-10.0,8.6,
Iron_Golden_GROW_044.jpg,2,18,9.2-11.5,10,
Iron_Golden_GROW_044.jpg,3,3,13.0-13.7,13.3,
Iron_Golden_GROW_044.jpg,4,2,15.1-16.1,15.6,
Iron_HannahWebb_GROW_022.jpg,1,37,7.0-10.1,8.9,
Iron_HannahWebb_GROW_022.jpg,2,11,10.0-12.5,11.3,
Isabella_Littlefield_GROW_024.jpg,1,2,16.1-17.5,16.8,
Kalkaska_BlueBig_GROW_031.jpg,3,1,15.7,15.7,
Keweenaw_FannyHooe_GROW_002.jpg,3,2,10.0-10.2,10.1,
Keweenaw_FannyHooe_GROW_002.jpg,4,2,13.5-14.7,14.1,
Keweenaw_FannyHooe_GROW_002.jpg,6,1,18.1,18.1,
Keweenaw_FannyHooe_GROW_027.jpg,1,8,7.5-9.1,8.5,
Keweenaw_FannyHooe_GROW_027.jpg,2,18,9.4-11.7,10.1,
Keweenaw_FannyHooe_GROW_027.jpg,3,3,12.7-14.3,13.3,
Keweenaw_FannyHooe_GROW_030.jpg,8,1,24.1,24.1,
Keweenaw_FannyHooe_GROW_034.jpg,8,4,24.0-27.0,25.5,
Keweenaw_FannyHooe_GROW_20200313155119435_0001.jpeg,8,1,24.1,24.1,duplicate and cut off 
Keweenaw_FannyHooe_GROW_20200313155651942_0001.jpeg,8,4,24.0-27.0,25.5,duplicate
Keweenaw_FannyHooe_GROW_20200313155651942_0002.jpeg,3,2,10.0-10.2,10.1,
Keweenaw_FannyHooe_GROW_20200313155651942_0002.jpeg,4,2,13.5-14.7,14.1,
Keweenaw_FannyHooe_GROW_20200313155651942_0002.jpeg,6,1,18.1,18.1,
Leelanau_GlenBig_GROW_022.jpg,3,2,365-370,367,
Leelanau_GlenBig_GROW_022.jpg,4,1,535,535,
Leelanau_GlenBig_GROW_067.jpg,2,1,NA,14.2,
Leelanau_GlenBig_GROW_067.jpg,3,2,15.2-16.7,15.9,
Leelanau_LeelanauNorth_GROW_058.jpg,1,7,8.2-10.3,9.2,
Leelanau_LeelanauNorth_GROW_058.jpg,2,5,16.5-18.9,17.6,
Luce_Bass_FISHs_054.jpg,2,1,14.1,14.1,
Luce_BeaverHouse_FISHs_105.jpg,2,3,13.7-16.2,14.9,
Luce_BeaverHouse_FISHs_105.jpg,3,1,17,17,
Luce_BelleI_FISHs_033.jpg,2,3,11.2-12.2,11.7,
Luce_BelleI_FISHs_035.jpg,1,2,10.2-11.4,10.8,
Luce_BelleI_FISHs_043.jpg,2,1,NA,11.4,
Luce_BelleI_FISHs_045.jpg,2,1,7.2,7.2,
Luce_BelleI_FISHs_152.jpg,2,2,12.5-13.6,13,
Luce_BelleI_FISHs_152.jpg,3,2,18.3,18.3,
Luce_Brush_FISHs_012.jpg,1,1,9.3,9.3,
Luce_Brush_FISHs_012.jpg,2,5,11.8-13.8,12.8,
Luce_Brush_FISHs_012.jpg,3,1,12.1,12.1,
Luce_Brush_FISHs_042.jpg,2,2,10.8-13.9,12.3,
Luce_Pratt_FISHs_003.jpg,1,5,8.2-8.8,8.5,
Luce_Pratt_FISHs_027.jpg,1,4,8.2-10.7,8.9,
Luce_Pratt_FISHs_027.jpg,2,1,NA,10.4,
Luce_Pretty_FISHs_064.jpg,2,1,14.3,14.3,
Luce_Pretty_FISHs_070.jpg,3,6,12.2-14.5,13.2,
Luce_Pretty_FISHs_078.jpg,1,8,7.8-11.6,10.2,
Luce_Tank_FISHs_001.jpg,2,2,17.4-19.5,18.45,
Luce_Tank_FISHs_001.jpg,3,1,25,25,
Luce_Twins_FISHs_030.jpg,2,8,10.3-15.3,11.6,
Luce_Twins_FISHs_032.jpg,1,2,13.7-15.2,14.4,
Luce_Twins_FISHs_060.jpg,2,1,NA,9.2,
Luce_Twins_FISHs_062.jpg,1,1,7.5,7.5,
Marquette_Bass45N_26W_S29_GROW_027.jpg,6,1,25.4,25.4,
Marquette_Bass45N_26W_S29_GROW_087.jpg,1,7,11.6-13.1,12.3,
Marquette_Johnson45N_25W_S27_GROW_063.jpg,1,21,8.1-13.1,9.6,
Marquette_SquawLittle_GROW_020.jpg,3,1,15.2,15.2,
NEWAYGO_BILLS_GROW_0003_1.jpeg,2,4,7.5-9.4,8.8,
NEWAYGO_BILLS_GROW_0003_1.jpeg,3,5,10.7-16.1,13.1,
NEWAYGO_BILLS_GROW_0004_1.jpeg,1,4,7.5-9.4,8.2,
NEWAYGO_BILLS_GROW_0004_1.jpeg,2,5,12.0-16.1,13.1,
OAKLAND_CASSLAKE_GROW_0003_1.jpeg,6,1,28.5,28.5,
OAKLAND_CASSLAKE_GROW_0005_1.jpeg,6,1,26,,
OAKLAND_MACEDAY_GROW_0001_1.jpeg,2,1,11.6,11.6,
PresqueIsle_Grand_GROW_112.jpeg,4,7,18.0-22.4,21.1,
Schoolcraft_Clear_GROW_050.jpeg,2,2,15.6-15.8,15.7,
Schoolcraft_Dodge_GROW_001.jpeg,1,1,9.2,9.2,
Schoolcraft_Island_GROW_019.jpeg,5,1,24.2,24.2,
Washtenaw_Blind_81-5_1985_GROW_001_01.jpeg,4,4,18.5-20.1,19.1,
WASHTENAW_BLIND_GROW_0001_1.jpeg,4,4,18.5-20.1,19.1,
Washtenaw_Blind_GROW_20200203135034551_0029.jpeg,4,4,18.5-20.1,19.1,duplicate
