card_name,age_group,number_of_fish,length_range,mean_length,comments
ALCONA_OBRIEN_GROW_0001_1.jpeg,3,2,4.6-5.2,4.9,
ALCONA_TROUTLITTLE_GROW_0001_1.jpeg,1,12,2.5-4.5,3.3,
ALCONA_TROUTLITTLE_GROW_0001_1.jpeg,2,5,4.2-5.0,4.7,
ALCONA_TROUTLITTLE_GROW_0001_1.jpeg,3,9,5.0-6.8,5.9,
ALCONA_TROUTLITTLE_GROW_0001_1.jpeg,4,1,5.1,5.1,
BARRY_CROOKED_GROW_0001_2.jpeg,4,4,6.4-7.2,6.8,
BARRY_CROOKED_GROW_0001_2.jpeg,5,6,6.7-7.5,7,
BARRY_CROOKED_GROW_0001_2.jpeg,6,1,,7.5,
BARRY_FINE_GROW_0004_2.jpeg,4,6,4.4-5.7,5.17,
BARRY_FINE_GROW_0004_2.jpeg,5,10,4.8-5.7,5.28,
BARRY_FINE_GROW_0004_2.jpeg,6,7,5.6-6.9,6.14,
Clare_Silver_GROW_010.jpg,5,3,7.1-8.2,7.7,
Ionia_Long_GROW_022.jpg,6,1,6.1,6.1,
Ionia_Long_GROW_030.jpg,8,1,175,175,mm
Isabella_Stevenson_GROW_019.jpg,4,2,13,13,cm
Isabella_Stevenson_GROW_019.jpg,5,1,16,16,cm
Jackson_Lime_GROW_019.jpg,4,1,,7.3,
Kent_Lime_GROW_004.jpg,4,2,4.0-4.5,4.3,
Kent_Lime_GROW_004.jpg,5,4,4.6-6.6,5.5,
Kent_Long_GROW_027.jpg,5,1,227,227,mm
Kent_Long_GROW_060.jpg,5,1,5.4,5.4,
Kent_Long_GROW_060.jpg,6,2,7.2-7.8,,
Kent_PineIslandBig_GROW_097.jpg,5,1,5.6,5.6,
Kent_PineIslandBig_GROW_097.jpg,6,1,6.5,6.5,
Kent_WabasisLittle_GROW_005.jpg,4,1,,6.3,
Lake_BassBig_GROW_051.jpg,1,1,2,2,
Lake_BassBig_GROW_051.jpg,2,2,3.2-3.6,3.4,
Lake_BassBig_GROW_051.jpg,4,1,4.3,4.3,
Lake_BassBig_GROW_051.jpg,5,2,4.9-6.0,5.5,
Lake_Rainbow_GROW_005.jpg,2,1,8,8,
Lake_Rainbow_GROW_007.jpg,2,1,8,8,
Livingston_Briggs_GROW_018.jpg,3,1,,6.3,
Livingston_Murray_GROW_033.jpg,1,2,2.8-3.7,3.2,
Livingston_Murray_GROW_033.jpg,2,1,,3.9,
Livingston_Murray_GROW_033.jpg,3,1,,4.8,
Livingston_Silver_GROW_029.jpg,6,1,,6.6,
Mason_Ford_GROW_130.jpg,5,1,5.5,5.5,
Mason_Ford_GROW_130.jpg,6,2,6.6,6.6,
Mason_Ford_GROW_132.jpg,4,1,4.8,4.8,
Mecosta_Pretty_GROW_127.jpg,5,2,15.9-16.2,16.1,cm
Mecosta_Townline15N_9W_S1_GROW_012.jpg,4,13,11.1-14.1,12.6,cm
Mecosta_Townline15N_9W_S1_GROW_012.jpg,5,9,12.8-18.0,14.4,cm
Mecosta_Townline15N_9W_S1_GROW_012.jpg,6,1,18,18,cm
Mecosta_Tubs_GROW_023.jpg,5,2,7.1-7.7,7.4,
NEWAYGO_BROOKINGS_GROW_0001_1.jpeg,3,1,5.3,5.3,
NEWAYGO_BROOKINGS_GROW_0001_1.jpeg,4,1,5.5,5.5,
NEWAYGO_ROBINSON_GROW_0004_2.jpeg,2,1,4.5,4.5,
NEWAYGO_ROBINSON_GROW_0004_2.jpeg,4,3,6.5-7.2,6.9,
NEWAYGO_ROBINSON_GROW_0004_2.jpeg,6,1,7,7,
OAKLAND_CAMPDEARBORN4_GROW_0001_2.jpeg,2,1,4.3,4.3,
OCEANA_MCLAREN_GROW_0001_3.jpg,4,4,5.4-7.8,7,
OSCEOLA_BIG_GROW_0006_1.jpg,2,1,3.6,3.6,
OSCEOLA_BIG_GROW_0006_1.jpg,4,1,6.3,6.3,
OSCEOLA_BIG_GROW_0006_1.jpg,6,1,7.7,7.7,
