card_name,age_group,number_of_fish,length_range,mean_length,comments
Charlevoix_Charlevoix44_GROW.jpg,4,1,13.6,13.6,
Charlevoix_Charlevoix78p3_GROW.jpg,4,1,13.5,13.5,
Cheboygan_Mullett_GROW_129.jpg,3,2,10.7-11.1,10.9,
Cheboygan_Mullett_GROW_131.jpg,3,2,10.7-11.1,10.9,
Cheboygan_Mullett_GROW_137.jpg,4,1,12.5,12.5,
Cheboygan_Mullett_GROW_272.jpg,3,2,10.8-10.9,10.9,
Cheboygan_Mullett_GROW_272.jpg,4,6,10.4-12.0,11.1,
Cheboygan_Mullett_GROW_272.jpg,5,32,11.6-14.6,13.4,
Cheboygan_Mullett_GROW_272.jpg,7,2,15.5-15.9,15.6,
Cheboygan_Mullett_GROW_298.jpg,3,3,11.3-11.8,11.5,
Cheboygan_Mullett_GROW_298.jpg,4,4,10.9-12.9,12.1,
Cheboygan_Mullett_GROW_298.jpg,5,8,12.7-13.1,12.9,
Cheboygan_Mullett_GROW_298.jpg,6,23,13.0-14.7,13.7,
Cheboygan_Mullett_GROW_298.jpg,7,6,14.1-15.3,14.4,
Gladwin_Ross_GROW_153.jpg,2,1,11.9,,
Gladwin_Ross_GROW_153.jpg,3,2,12.3-13.2,12.8,
Iosco_VanEtten_GROW_084.jpg,3,8,10.2-13.5,12.3,
Lenawee_Devils_GROW_030.jpg,1,3,6.8-8.9,7.8,
Lenawee_Devils_GROW_030.jpg,2,1,13.5-13.5,13.5,
Lenawee_Devils_GROW_038.jpg,0,1,,6,
Lenawee_Devils_GROW_172.jpg,3,1,11.4,11.4,
Lenawee_Devils_GROW_172.jpg,4,1,11.6,11.6,
Lenawee_Devils_GROW_186.jpg,2,1,12.4,12.4,
Lenawee_Devils_GROW_186.jpg,3,5,13.8-15.3,14.3,
Lenawee_Devils_GROW_186.jpg,4,12,13.8-15.7,14.6,
Lenawee_Devils_GROW_186.jpg,5,3,15.6-15.7,15.7,
Midland_Sanford_GROW_049.jpg,1,2,8.0-8.5,8.3,
Midland_Sanford_GROW_049.jpg,2,5,10.6-11.3,11,
Midland_Sanford_GROW_049.jpg,3,3,11.2-13.9,12.3,
Midland_Sanford_GROW_049.jpg,5,1,13.2,13.2,
Ottawa_Macatawa_GROW_038.jpeg,3,2,8.0-13.2,10.2,
Ottawa_Macatawa_GROW_038.jpeg,4,1,12.7,,
Ottawa_Macatawa_GROW_095.jpeg,3,1,344,344,mm
Ottawa_Macatawa_GROW_212.jpeg,2,1,11.8,11.8,
WAYNE_BELLEVILLE_GROW_0001_1.jpeg,1,1,7.2,,
WAYNE_BELLEVILLE_GROW_0001_1.jpeg,3,1,12.9,,
WAYNE_BELLEVILLE_GROW_0005_2.jpeg,2,8,8.3-11.7,9.3,
WAYNE_BELLEVILLE_GROW_0005_2.jpeg,3,1,12.3,12.3,
WAYNE_BELLEVILLE_GROW_0006_2.jpeg,1,4,10.6-11.6,11.1,
WAYNE_BELLEVILLE_GROW_0006_2.jpeg,2,13,11.0-13.2,12.4,
WAYNE_BELLEVILLE_GROW_0008_1.jpeg,1,9,6.8-8.0,,
