card_name,age_group,number_of_fish,length_range,mean_length,comments
BARRY_GUN_GROW_0001_1.jpeg,2,4,5.3-6.1,5.6,
BARRY_GUN_GROW_0001_1.jpeg,3,7,6.2-8.2,7,
BARRY_GUN_GROW_0001_1.jpeg,4,15,8.2-9.4,8.8,
BARRY_GUN_GROW_0001_1.jpeg,5,12,9.0-10.2,9.7,
BARRY_GUN_GROW_0001_1.jpeg,6,6,10.1-10.5,10.4,
Clare_DocTom_GROW_008.jpg,4,1,7.3,7.3,
Clare_DocTom_GROW_008.jpg,5,,,,
Clare_DocTom_GROW_008.jpg,6,3,7.8-8.2,8,
Gladwin_Ross_GROW_153.jpg,1,4,3.6-5.0,4.5,
Gladwin_Ross_GROW_153.jpg,3,1,8.2,,
Gladwin_Ross_GROW_153.jpg,4,17,7.9-9.9,8.5,
Gladwin_Ross_GROW_168.jpg,2,1,7.4,7.4,
Gladwin_Ross_GROW_172.jpg,3,1,9.6,9.6,
Gladwin_Secord_GROW_159.jpg,2,3,5.2-5.5,5.3,
Gladwin_Secord_GROW_159.jpg,3,7,5.5-6.7,6.1,
Gladwin_Secord_GROW_159.jpg,4,10,5.8-7.3,6.7,
Gladwin_Secord_GROW_159.jpg,5,9,6.8-8.1,7.4,
Gladwin_Secord_GROW_159.jpg,6,5,7.2-8.8,8.1,
Gladwin_Secord_GROW_159.jpg,7,1,9,9,
Gladwin_Secord_GROW_159.jpg,8,1,13.1,13.1,
Gladwin_Smallwood_GROW_166.jpg,2,10,4.8-5.4,5.2,
Gladwin_Smallwood_GROW_166.jpg,3,10,5.8-7.2,6.3,
Gladwin_Smallwood_GROW_166.jpg,4,14,6.2-9.2,7.3,
Gladwin_Smallwood_GROW_166.jpg,5,11,7.6-10.5,9.1,
Gladwin_Smallwood_GROW_166.jpg,6,11,9.5-12.4,10.8,
Gladwin_Smallwood_GROW_166.jpg,7,10,11.0-12.6,11.8,
Gladwin_Smallwood_GROW_166.jpg,8,6,12.7-13.6,13,
Gladwin_Smallwood_GROW_166.jpg,9,2,13.3-14.3,13.8,
Gladwin_Smallwood_GROW_166.jpg,10,1,15.5,15.5,
Gladwin_Smallwood_GROW_177.jpg,1,5,3.4-3.7,3.5,
Gladwin_Smallwood_GROW_177.jpg,2,11,4.4-5.6,4.9,
Gladwin_Smallwood_GROW_177.jpg,3,11,5.7-6.7,6.1,
Gladwin_Smallwood_GROW_177.jpg,4,12,5.7-7.3,6.8,
Gladwin_Smallwood_GROW_177.jpg,5,9,7.1-12.6,9.2,
Gladwin_Smallwood_GROW_177.jpg,6,11,8.5-13.4,10.8,
Gladwin_Smallwood_GROW_177.jpg,7,20,8.5-13.8,11.4,
Gladwin_Smallwood_GROW_177.jpg,8,9,10.9-14.4,12.5,
Gladwin_Smallwood_GROW_177.jpg,9,6,10.5-14.3,12.8,
Gladwin_Wixom_GROW_022.jpg,2,7,5.4-7.9,6.4,
Gladwin_Wixom_GROW_022.jpg,4,7,7.8-10.8,9.5,
Gladwin_Wixom_GROW_022.jpg,5,2,9.4-10.0,9.7,
Gladwin_Wixom_GROW_024.jpg,1,2,6.5,6.5,
Gladwin_Wixom_GROW_024.jpg,2,13,6.8-8.1,7.5,
Gladwin_Wixom_GROW_024.jpg,3,7,8.2-9.0,8.4,
Gladwin_Wixom_GROW_024.jpg,4,2,11.1-11.2,11.2,
Gladwin_Wixom_GROW_166.jpg,3,23,6.9-9.6,8.5,
Gladwin_Wixom_GROW_166.jpg,4,1,10.3,10.3,
Iosco_VanEtten_GROW_083.jpg,3,8,6.9-7.7,7.3,
Kent_Versluis_GROW_001.jpg,3,8,7.4-7.8,7.6,
Kent_Versluis_GROW_002.jpg,4,5,7.1-8.1,7.5,
Midland_Kiawassee_GROW_007.jpg,3,8,6.1-7.7,6.9,
Midland_Kiawassee_GROW_007.jpg,4,3,7.2-7.9,7.5,
Midland_Sanford_GROW_034.jpg,3,12,8.3-9.4,9,
Midland_Sanford_GROW_034.jpg,4,5,7.9-10.9,9.7,
Midland_Sanford_GROW_034.jpg,5,3,10.6-11.7,11.2,
MUSKEGON_BEAR_GROW_0001_1.jpeg,1,1,120,120,mm
WAYNE_BELLEVILLE_GROW_0001_1.jpeg,1,2,3.7-5.6,4.7,
WAYNE_BELLEVILLE_GROW_0001_1.jpeg,2,5,5.7-7.8,7.3,
WAYNE_BELLEVILLE_GROW_0001_1.jpeg,3,36,7.7-9.1,8.1,
WAYNE_BELLEVILLE_GROW_0001_1.jpeg,4,36,8.3-12.0,9.7,
WAYNE_BELLEVILLE_GROW_0001_1.jpeg,5,1,9.1,9.1,
WAYNE_BELLEVILLE_GROW_0002_1.jpeg,2,49,5.9-8.0,7.1,
WAYNE_BELLEVILLE_GROW_0002_1.jpeg,3,11,8.7-10.1,9.4,
WAYNE_BELLEVILLE_GROW_0006_1.jpeg,2,5,8.6-9.1,8.9,
