subject_id,URL 4,URL 8,task,data.aligned_text,data.number_views,data.consensus_score,data.consensus_text
80048590,https://changes-ifr.s3.us-east-2.amazonaws.com/ss5/GROW_pages/single/ALGER_CARP_GROW_0001_5.jpeg,,Other Dates,,,,
80048590,https://changes-ifr.s3.us-east-2.amazonaws.com/ss5/GROW_pages/single/ALGER_CARP_GROW_0001_5.jpeg,,T,"[['44N', '44N', '44N']]",3.0,3.0,44N
80048590,https://changes-ifr.s3.us-east-2.amazonaws.com/ss5/GROW_pages/single/ALGER_CARP_GROW_0001_5.jpeg,,R,"[['19W', '19W', '19W']]",3.0,3.0,19W
80048590,https://changes-ifr.s3.us-east-2.amazonaws.com/ss5/GROW_pages/single/ALGER_CARP_GROW_0001_5.jpeg,,S,"[['11', '11', '11']]",3.0,3.0,11
80048590,https://changes-ifr.s3.us-east-2.amazonaws.com/ss5/GROW_pages/single/ALGER_CARP_GROW_0001_5.jpeg,,Collector,"[['Ammerman,', 'Ammerman,', 'Ammerman,'], ['Stark,', 'Stark,', 'Stark,'], ['Reilly', 'Reilly', 'Reilly']]",3.0,3.0,"Ammerman, Stark, Reilly"
80048591,https://changes-ifr.s3.us-east-2.amazonaws.com/ss5/GROW_pages/single/ALGER_AUTRAIN_GROW_0001_5.jpeg,,Other Dates,,,,
80048591,https://changes-ifr.s3.us-east-2.amazonaws.com/ss5/GROW_pages/single/ALGER_AUTRAIN_GROW_0001_5.jpeg,,T,"[['45N', '45N', '45N']]",3.0,3.0,45N
80048591,https://changes-ifr.s3.us-east-2.amazonaws.com/ss5/GROW_pages/single/ALGER_AUTRAIN_GROW_0001_5.jpeg,,R,"[['20W', '20W', '20W']]",3.0,3.0,20W
80048591,https://changes-ifr.s3.us-east-2.amazonaws.com/ss5/GROW_pages/single/ALGER_AUTRAIN_GROW_0001_5.jpeg,,S,"[['Many', 'Many', 'Many']]",3.0,3.0,Many
80048591,https://changes-ifr.s3.us-east-2.amazonaws.com/ss5/GROW_pages/single/ALGER_AUTRAIN_GROW_0001_5.jpeg,,Collector,"[['Madison,', 'Madison,', 'Madison,'], ['Harrison,', 'Harrison,', 'Harrison,'], ['Mulzer', 'Mulzer', 'Mulzer']]",3.0,3.0,"Madison, Harrison, Mulzer"
80048592,https://changes-ifr.s3.us-east-2.amazonaws.com/ss5/GROW_pages/single/ALGER_DUCK_GROW_0001_5.jpeg,,Other Dates,,,,
