subject_id,subject_set_id,metadata,T6,T8,T9,T10,T12,county,lakename,New_Key
58643103,93214,"{""id"":""Alcona_Hubbard_SUMM_Doc1180.jpg"",""#image"":""https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/single/Alcona_Hubbard_SUMM_Doc1180.jpg""}",1926,28N,7E,,,Alcona,HUBBARD,1-165
58643104,93214,"{""id"":""Alcona_Hubbard_SUMM_Doc1183.jpg"",""#image"":""https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/single/Alcona_Hubbard_SUMM_Doc1183.jpg""}",,28N 17E,7E,,T. H. Langlois,Alcona,HUBBARD,1-165
58643105,93214,"{""id"":""Kalkaska_Bass28N_5W_S23_SUMM_005.jpg"",""#image"":""https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/single/Kalkaska_Bass28N_5W_S23_SUMM_005.jpg""}",,Blue Lake,,,Institute for Fisheries Research,Kalkaska,BASS,40-244
58643106,93214,"{""id"":""Jackson_Vandercook_SUMM_012.jpg"",""#image"":""https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/single/Jackson_Vandercook_SUMM_012.jpg""}",,35,1W,"22,23,26,27 23, 24, 26, 29",,Jackson,VANDERCOOK,38-396
58643107,93214,"{""id"":""Alpena_Beaver_SUMM_20200219151000777_0003.jpg"",""#image"":""https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/single/Alpena_Beaver_SUMM_20200219151000777_0003.jpg""}",,"29,30N",5E,29,Hubbs and Green,Alpena,BEAVER,4-1
58643108,93214,"{""id"":""Kalkaska_Bear_SUMM_024.jpg"",""#image"":""https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/single/Kalkaska_Bear_SUMM_024.jpg""}",,24N,5W,"17, 20",Luetzelaar,Kalkaska,BEAR,40-104
58643109,93214,"{""id"":""Kalkaska_BlackMiddle_SUMM_002.jpg"",""#image"":""https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/single/Kalkaska_BlackMiddle_SUMM_002.jpg""}",,Clearwater,5W,16,Institute for Fisheries Research,Kalkaska,BLACKMIDDLE,40-102
58643110,93214,"{""id"":""Kalkaska_Bear_SUMM_025.jpg"",""#image"":""https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/single/Kalkaska_Bear_SUMM_025.jpg""}",,27N,5W,,Institute for Fisheries Research,Kalkaska,BEAR,40-104
58643111,93214,"{""id"":""Kalkaska_BlackUpper_SUMM_002.jpg"",""#image"":""https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/single/Kalkaska_BlackUpper_SUMM_002.jpg""}",,,,,Institute for Fisheries Research,Kalkaska,BLACKUPPER,40-103
58643112,93214,"{""id"":""Kalkaska_BlackSouth_SUMM_001.jpg"",""#image"":""https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/single/Kalkaska_BlackSouth_SUMM_001.jpg""}",,,,,Institute for Fisheries Research,Kalkaska,BLACKSOUTH,40-110
58643113,93214,"{""id"":""Kalkaska_BlueLittle_SUMM_004.jpg"",""#image"":""https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/single/Kalkaska_BlueLittle_SUMM_004.jpg""}",,Blue Lake,,,Institute for Fisheries Research,Kalkaska,BLUELITTLE,40-247
58643114,93214,"{""id"":""Kalkaska_Blue_SUMM_007.jpg"",""#image"":""https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/single/Kalkaska_Blue_SUMM_007.jpg""}",,27N,7W,,Institute for Fisheries Research,Kalkaska,BLUE,40-158
58643116,93214,"{""id"":""Kalkaska_BlueNorth_SUMM_002.jpg"",""#image"":""https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/single/Kalkaska_BlueNorth_SUMM_002.jpg""}",,Blue Lake,,,Institute for Fisheries Research,Kalkaska,BLUENORTH,40-216
58643117,93214,"{""id"":""Kalkaska_Crooked_SUMM_005.jpg"",""#image"":""https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/single/Kalkaska_Crooked_SUMM_005.jpg""}",,Blue Lake,,,Institute for Fisheries Research,Kalkaska,CROOKED,40-203
58643118,93214,"{""id"":""Kalkaska_Cranberry_SUMM_002.jpg"",""#image"":""https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/single/Kalkaska_Cranberry_SUMM_002.jpg""}",,26N,5W,6,Institute for Fisheries Research,Kalkaska,CRANBERRY,40-27
58643119,93214,"{""id"":""Kalkaska_CroyNorth_SUMM_004.jpg"",""#image"":""https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/single/Kalkaska_CroyNorth_SUMM_004.jpg""}",,28N,"6, 7W","13, 24",Institute for Fisheries Research,Kalkaska,CROYNORTH,40-307
58643120,93214,"{""id"":""Kalkaska_Eagle_SUMM_006.jpg"",""#image"":""https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/single/Kalkaska_Eagle_SUMM_006.jpg""}",,27n Lake,5w,8,Institute for Fisheries Research,Kalkaska,EAGLE,40-209
58643121,93214,"{""id"":""Kalkaska_Darby_SUMM_003.jpg"",""#image"":""https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/single/Kalkaska_Darby_SUMM_003.jpg""}",,27N,8W,"19, 20",Institute for Fisheries Research,Kalkaska,DARBY,40-188
58643122,93214,"{""id"":""Kalkaska_East26N_7W_S21-22_SUMM_002.jpg"",""#image"":""https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/single/Kalkaska_East26N_7W_S21-22_SUMM_002.jpg""}",,26N,7W,"21, 22",Institute for Fisheries Research,Kalkaska,EAST,40-61
58643123,93214,"{""id"":""Kalkaska_East27N_5W_S6_SUMM_004.jpg"",""#image"":""https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/single/Kalkaska_East27N_5W_S6_SUMM_004.jpg""}",,27N,5W,,Institute for Fisheries Research,Kalkaska,EAST,40-96
58643124,93214,"{""id"":""Kalkaska_FiveLake_SUMM_002.jpg"",""#image"":""https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/single/Kalkaska_FiveLake_SUMM_002.jpg""}",,Excelsior,,,Institute for Fisheries Research,Kalkaska,FIVE,40-127
58643125,93214,"{""id"":""Kalkaska_Grass_SUMM_009.jpg"",""#image"":""https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/single/Kalkaska_Grass_SUMM_009.jpg""}",,27N,6W,"11, 2",Institute for Fisheries Research,Kalkaska,GRASS,40-116
58643126,93214,"{""id"":""Kalkaska_GuernseyBig_SUMM_014.jpg"",""#image"":""https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/single/Kalkaska_GuernseyBig_SUMM_014.jpg""}",,27N,8W,,Institute for Fisheries Research,Kalkaska,GUERNSEYBIG,40-192
58643127,93214,"{""id"":""Kalkaska_GuernseyLittleSouth_SUMM_002.jpg"",""#image"":""https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/single/Kalkaska_GuernseyLittleSouth_SUMM_002.jpg""}",,27N,8W,30,Investigator: Institute for Fisheries Research,Kalkaska,GUERNSEYLITTLESOUTH,40-199
58643128,93214,"{""id"":""Kalkaska_GuernseyLittleNorth_SUMM_004.jpg"",""#image"":""https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/single/Kalkaska_GuernseyLittleNorth_SUMM_004.jpg""}",,27N,8W,"19,30 30",Institute for Fisheries Research,Kalkaska,GUERNSEYLITTLENORTH,40-189
58643129,93214,"{""id"":""Kalkaska_Haynes_SUMM_003.jpg"",""#image"":""https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/single/Kalkaska_Haynes_SUMM_003.jpg""}","Date of entry: Aug. 26, 1930.",22N,8W,7,Institute for Fisheries Research,Kalkaska,HAYNES,40-175
58643130,93214,"{""id"":""Kalkaska_Ingersoll_SUMM_004.jpg"",""#image"":""https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/single/Kalkaska_Ingersoll_SUMM_004.jpg""}",,25N,8W,13,Institute for Fisheries Research,Kalkaska,INGERSOLL,40-19
58643131,93214,"{""id"":""Kalkaska_Island_SUMM_003.jpg"",""#image"":""https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/single/Kalkaska_Island_SUMM_003.jpg""}",,27N,8W,Many,Institute for Fisheries Research,Kalkaska,ISLAND,40-187
58643132,93214,"{""id"":""Kalkaska_Indian_SUMM_004.jpg"",""#image"":""https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/single/Kalkaska_Indian_SUMM_004.jpg""}",,28N N,R 5W W,"21, 20",Institute for Fisheries Research,Kalkaska,INDIAN,40-236
58643133,93214,"{""id"":""Kalkaska_Johnson_SUMM_004.jpg"",""#image"":""https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/single/Kalkaska_Johnson_SUMM_004.jpg""}",,27N,5W,"31,32",Institute for Fisheries Research,Kalkaska,JOHNSON,40-112
58643134,93214,"{""id"":""Kalkaska_KalkaskaMillPond_SUMM_004.jpg"",""#image"":""https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/single/Kalkaska_KalkaskaMillPond_SUMM_004.jpg""}",,27N,7W,"16, 21",Institute for Fisheries Research,Kalkaska,KALKASKAMILL,
58643135,93214,"{""id"":""Kalkaska_Kettle_SUMM_011.jpg"",""#image"":""https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/single/Kalkaska_Kettle_SUMM_011.jpg""}",,27N Springs.,7W,"15, 22",Institute for Fisheries Research,Kalkaska,KETTLE,40-167
58643136,93214,"{""id"":""Kalkaska_LogLittle_SUMM_004.jpg"",""#image"":""https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/single/Kalkaska_LogLittle_SUMM_004.jpg""}",,27N,7W,10,Institute for Fisheries Research,Kalkaska,LOGLITTLE,40-160
58643137,93214,"{""id"":""Kalkaska_Kettle_SUMM_006.jpg"",""#image"":""https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/single/Kalkaska_Kettle_SUMM_006.jpg""}",,29N,7W,"15, 22",Institute for Fisheries Research,Kalkaska,KETTLE,40-167
58643138,93214,"{""id"":""Kalkaska_Loon_SUMM_003.jpg"",""#image"":""https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/single/Kalkaska_Loon_SUMM_003.jpg""}",,26N,7W,6,Institute for Fisheries Research,Kalkaska,LOON,40-47
58643139,93214,"{""id"":""Kalkaska_Long_SUMM_004.jpg"",""#image"":""https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/single/Kalkaska_Long_SUMM_004.jpg""}",,25N,8W,"8, 17",Institute for Fisheries Research,Kalkaska,LONG,40-16
58643140,93214,"{""id"":""Kalkaska_Lost_SUMM_002.jpg"",""#image"":""https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/single/Kalkaska_Lost_SUMM_002.jpg""}",,27N,6W,4,Institute for Fisheries Research,Kalkaska,LOST,40-123
58643141,93214,"{""id"":""Kalkaska_Mallard_SUMM_003.jpg"",""#image"":""https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/single/Kalkaska_Mallard_SUMM_003.jpg""}",,27N,5W,18,Institute for Fisheries Research,Kalkaska,MALLARD,40-105
58643142,93214,"{""id"":""Kalkaska_MacNeilPond_SUMM_001.jpg"",""#image"":""https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/single/Kalkaska_MacNeilPond_SUMM_001.jpg""}",,28N,5W,8,Institute for Fisheries Research,Kalkaska,MACNEIL,40-211
58643143,93214,"{""id"":""Kalkaska_Papoose_SUMM_003.jpg"",""#image"":""https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/single/Kalkaska_Papoose_SUMM_003.jpg""}",,Blue Lake,,,Institute for Fisheries Research,Kalkaska,PAPOOSE,40-237
58643145,93214,"{""id"":""Kalkaska_Pickerel_SUMM_009.jpg"",""#image"":""https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/single/Kalkaska_Pickerel_SUMM_009.jpg""}",,29N,6W,"24,25 & 25",I.F.R. Party,Kalkaska,PICKEREL,40-295
58643146,93214,"{""id"":""Kalkaska_Post_SUMM_004.jpg"",""#image"":""https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/single/Kalkaska_Post_SUMM_004.jpg""}",,27N,6W,10,Institute for Fisheries Research,Kalkaska,POST,40-133
58643147,93214,"{""id"":""Kalkaska_Perch_SUMM_003.jpg"",""#image"":""https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/single/Kalkaska_Perch_SUMM_003.jpg""}",1930-1931,Boardman,,,Institute for Fisheries Research University of Michigan,Kalkaska,PERCH,40-137
58643148,93214,"{""id"":""Kalkaska_PlacidLake_SUMM_001.jpg"",""#image"":""https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/single/Kalkaska_PlacidLake_SUMM_001.jpg""}",,Kalkaska,,,Institute for Fisheries Research,Kalkaska,PLACID,40-162
58643149,93214,"{""id"":""Kalkaska_Price_SUMM_002.jpg"",""#image"":""https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/single/Kalkaska_Price_SUMM_002.jpg""}",,,,,Institute for Fisheries Research,Kalkaska,PRICE,40-57
58643150,93214,"{""id"":""Kalkaska_SelkirkNorth_SUMM_003.jpg"",""#image"":""https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/single/Kalkaska_SelkirkNorth_SUMM_003.jpg""}",,Kalkaska,,,Institute for Fisheries Research,Kalkaska,SELKIRKNORTH,40-164
58643151,93214,"{""id"":""Kalkaska_Sickle_SUMM_002.jpg"",""#image"":""https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/single/Kalkaska_Sickle_SUMM_002.jpg""}",,Springfield,,,Institute for Fisheries Research,Kalkaska,SICKLE,40-21
58643152,93214,"{""id"":""Kalkaska_SelkirkSouth_SUMM_004.jpg"",""#image"":""https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/single/Kalkaska_SelkirkSouth_SUMM_004.jpg""}",,,,,Institute for Fisheries Research,Kalkaska,SELKIRKSOUTH,40-165
58643153,93214,"{""id"":""Kalkaska_Smith27N_8W_S13_SUMM_002.jpg"",""#image"":""https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/single/Kalkaska_Smith27N_8W_S13_SUMM_002.jpg""}",,27N,8W,13,Institute for Fisheries Research,Kalkaska,SMITH,40-174
58643154,93214,"{""id"":""Kalkaska_Smiths27N_8W_S6_SUMM_007.jpg"",""#image"":""https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/single/Kalkaska_Smiths27N_8W_S6_SUMM_007.jpg""}",,27N,8W,6,Institute for Fisheries Research,Kalkaska,SMITHS,40-174
58643155,93214,"{""id"":""Kalkaska_Squaw_SUMM_002.jpg"",""#image"":""https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/single/Kalkaska_Squaw_SUMM_002.jpg""}",,Blue Lake,,,Institute for Fisheries Research,Kalkaska,SQUAW,40-240
58643156,93214,"{""id"":""Kalkaska_WaddellsPond_SUMM_001.jpg"",""#image"":""https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/single/Kalkaska_WaddellsPond_SUMM_001.jpg""}",,28N,5W,3,Institute for Fisheries Research,Kalkaska,WADDELLS,40-212
58643157,93214,"{""id"":""Kalkaska_Timber_SUMM_008.jpg"",""#image"":""https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/single/Kalkaska_Timber_SUMM_008.jpg""}",,,,,Institute for Fisheries Research,Kalkaska,TIMBER,40-278
58643158,93214,"{""id"":""Kalkaska_TwinLittle28N_5-6W_S-many_SUMM_006.jpg"",""#image"":""https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/single/Kalkaska_TwinLittle28N_5-6W_S-many_SUMM_006.jpg""}",,"13, 24, 18, 19",,,I. F. R. Party,Kalkaska,TWINLITTLE,40-223
58643160,93214,"{""id"":""Kalkaska_WellmanPond_SUMM_007.jpg"",""#image"":""https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/single/Kalkaska_WellmanPond_SUMM_007.jpg""}",,,,,Institute for Fisheries Research,Kalkaska,WELLMAN,
58643161,93214,"{""id"":""Kalkaska_Wheeler_SUMM_003.jpg"",""#image"":""https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/single/Kalkaska_Wheeler_SUMM_003.jpg""}",,Rapid River.,,,Institute for Fisheries Research,Kalkaska,WHEELER,40-311
58643162,93214,"{""id"":""Keweenaw_Bailey_SUMM_20200313152044534_0001 2.jpeg"",""#image"":""https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/single/Keweenaw_Bailey_SUMM_20200313152044534_0001 2.jpeg""}",,"58,59N 59N",30W,"2, 3, 4, 2,3,4,33,34,35 34, 35",,Keweenaw,BAILEY,42-93
58643163,93214,"{""id"":""Keweenaw_Clear_SUMM_ 2.jpeg"",""#image"":""https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/single/Keweenaw_Clear_SUMM_ 2.jpeg""}",,58N,29W,,,Keweenaw,CLEAR,42-91
58643164,93214,"{""id"":""Keweenaw_Central_SUMM_20200313152728910_0002 2.jpeg"",""#image"":""https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/single/Keweenaw_Central_SUMM_20200313152728910_0002 2.jpeg""}",,58N,31W,"13,24 24",,Keweenaw,CENTRAL,42-140
58643165,93214,"{""id"":""Keweenaw_Gratiot_SUMM_20200313161749389_0001 2.jpeg"",""#image"":""https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/single/Keweenaw_Gratiot_SUMM_20200313161749389_0001 2.jpeg""}",,57N,30W,"3,4,5,8,9,17 4, 5, 8, 9, 17",,Keweenaw,GRATIOT,42-36
58643166,93214,"{""id"":""Keweenaw_FannyHooe_GROW_SUMM_20200313154820816_0001 2.jpeg"",""#image"":""https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/single/Keweenaw_FannyHooe_GROW_SUMM_20200313154820816_0001 2.jpeg""}",,59N,28W,"32,33,34 33, 34",,Keweenaw,FANNYHOOE,42-146
58643167,93214,"{""id"":""Keweenaw_Glasson_FISHc_20200313160700287_0006 2.jpeg"",""#image"":""https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/single/Keweenaw_Glasson_FISHc_20200313160700287_0006 2.jpeg""}",,59N,29W,"28,32",,Keweenaw,GLASSON,42-150
58643168,93214,"{""id"":""Keweenaw_LacLaBelle_SUMM_20200313163011571_0009 2.jpeg"",""#image"":""https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/single/Keweenaw_LacLaBelle_SUMM_20200313163011571_0009 2.jpeg""}",,"57,58N",29W,"3, 4, 5, 6, 3,4,5,6,31,32,33 32, 33",,Keweenaw,LACLABELLE,42-33
58643169,93214,"{""id"":""Keweenaw_Eliza_FISHc_20200313154525513_0011 2.jpeg"",""#image"":""https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/single/Keweenaw_Eliza_FISHc_20200313154525513_0011 2.jpeg""}",,58N,30W,6,,Keweenaw,ELIZA,42-100
58643170,93214,"{""id"":""Newaygo_Nichols_SUMM_20191204135518670_0003.jpg"",""#image"":""https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/single/Newaygo_Nichols_SUMM_20191204135518670_0003.jpg""}",,,,,T. H. Langlois,Newaygo,NICHOLS,62-358
58643171,93214,"{""id"":""OGEMAW_CEDAR_SUMM_0001_1.jpeg"",""#image"":""https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/single/OGEMAW_CEDAR_SUMM_0001_1.jpeg""}",,21N,4E,6,Lansing,OGEMAW,CEDAR,65-59
58643172,93214,"{""id"":""Keweenaw_Manganese_SUMM_20200313164925647_0002 2.jpeg"",""#image"":""https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/single/Keweenaw_Manganese_SUMM_20200313164925647_0002 2.jpeg""}",,58N,28W,5,,Keweenaw,MANGANESE,42-66
58643173,93214,"{""id"":""Washtenaw_Crooked2_SUMM_20200218130751801_0011.jpg"",""#image"":""https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/single/Washtenaw_Crooked2_SUMM_20200218130751801_0011.jpg""}","Date of Entry: Oct. 12, 1930",2S S,3E E.,"5,6,7,8 6, 7, 8",I.F.R.,Washtenaw,CROOKED,81-147
58643174,93214,"{""id"":""StJoseph_Sweet_SUMM_2.jpeg"",""#image"":""https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/single/StJoseph_Sweet_SUMM_2.jpeg""}",,8S,9W,3-4 4,,StJoseph,SWEET,78-188
58687243,93230,"{""id"":""Alcona_Crooked_SUMM_20200115135113000_0001.jpg_Alcona_Crooked_SUMM_20200115135113000_0002.jpg"",""#image_url1"":""https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Alcona_Crooked_SUMM_20200115135113000_0001.jpg"",""#image_url2"":""https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Alcona_Crooked_SUMM_20200115135113000_0002.jpg""}",,27N,5E,"8, 8,17,18 18",J. H. Claridge,Alcona,CROOKED,1-138
58687244,93230,"{""id"":""Alcona_Jewell_SUMM_20200129142627943_0001.jpg_Alcona_Jewell_SUMM_20200129142627943_0002.jpg"",""#image_url1"":""https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Alcona_Jewell_SUMM_20200129142627943_0001.jpg"",""#image_url2"":""https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Alcona_Jewell_SUMM_20200129142627943_0002.jpg""}",,26N N.,7E E.,"4,5 5, 32, 33",F.P. P.,Alcona,JEWELL,1-99
58687245,93230,"{""id"":""Alcona_Hubbard_SUMM_Doc0816.jpg_Alcona_Hubbard_SUMM_Doc0817.jpg"",""#image_url1"":""https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Alcona_Hubbard_SUMM_Doc0816.jpg"",""#image_url2"":""https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Alcona_Hubbard_SUMM_Doc0817.jpg""}","Aug. 26-Sept. 7, 1942","27, 28N","7, 8E","1-3, 3, 4, 9, 10, 12-16, 21-27, 34-35, 19, 19-30","R.D. D. Van Deusen, Pat Galvin, Stanley Lievense, and L.E. E. Perry",Alcona,HUBBARD,1-165
58687246,93230,"{""id"":""Alcona_Hubbard_SUMM_Doc1181.jpg_Alcona_Hubbard_SUMM_Doc1182.jpg"",""#image_url1"":""https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Alcona_Hubbard_SUMM_Doc1181.jpg"",""#image_url2"":""https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Alcona_Hubbard_SUMM_Doc1182.jpg""}",,28N,7E,Caledonia,,Alcona,HUBBARD,1-165
