"subject_id","methylorange_alk_min_ppm","methylorange_alk_max_ppm","notes"
63264308,139,160,NA
63264309,112,117,NA
63264310,90,98,NA
63264311,158,162,NA
63264313,78.5,80,NA
63264314,120,143,NA
63264315,21,23,NA
63264316,8,9,NA
63264320,32,NA,NA
63264321,7,NA,NA
63264322,22,56,NA
63264323,35,170,NA
63264327,156,155,NA
63264330,134,134,NA
63264331,134,134,NA
63264333,122,121,NA
63264336,42,55,NA
63264337,82,86,NA
63264338,10,17,NA
63264339,148,155,NA
63264342,98,126,NA
63264343,133,146,NA
63264344,122,147,NA
63264345,103,146,NA
63264346,103,101,NA
63264347,85,135,NA
63264348,112,133,NA
63264349,142,166,NA
63264350,144,192,NA
63264351,54.5,60.5,NA
63264352,54.5,60.5,NA
63264353,80,136,NA
63264355,90,NA,NA
63264357,138,162,NA
63264358,90,NA,NA
63264362,110,129,NA
63264364,6,8,NA
63264365,6,7,NA
63264366,6,7,NA
63264367,6,8,NA
63264368,17.1,34.2,NA
63264369,4,7,NA
63264370,102,NA,NA
63264372,30,NA,NA
63264373,78.5,85,NA
63264374,120,130,NA
63264375,25,29,NA
63264376,98,NA,NA
63264377,119,NA,NA
63264380,3,NA,NA
63264382,13,NA,NA
63264383,1,2,"purple"
63264385,78,80,NA
63264386,1,2,NA
63264387,15,NA,NA
63264388,42,NA,NA
63264389,102,153,NA
63264391,51.3,41.04,NA
63264393,135,170,NA
63264395,34,29,NA
63264396,85,189,NA
63264397,85,189,NA
63264401,26,28,NA
63264404,60,68,NA
63264407,49,NA,NA
63264408,40,NA,NA
63264409,105,NA,NA
63264410,120,160,NA
63264412,130,153,NA
63264413,175,241,NA
63264414,91,109,NA
63264415,115,135,NA
63264416,0,NA,NA
63264417,100,145,NA
63264418,128,150,NA
63264419,130,145,NA
63264421,47,52,NA
63264422,108,122,NA
63264424,34,39,NA
63264425,125,212,NA
63264427,111,136,NA
63264430,153,185,NA
63264431,125,135,NA
63264433,173,179,NA
63264434,142,164,NA
63264435,105,NA,NA
63264438,158,172,NA
63264439,127,176,NA
63264440,172,174,NA
63264441,160,176,NA
63264444,4,NA,NA
63264445,NA,NA,NA
63264448,0.1,0.6,NA
63264449,40,NA,NA
63264450,NA,NA,NA
63264451,5,NA,NA
63264452,NA,NA,NA
63264453,NA,NA,NA
63264454,1,5,NA
63264455,36,NA,NA
63264456,1,5,NA
63264457,NA,NA,NA
63264458,5,NA,NA
63264459,9,NA,NA
63264460,8,NA,NA
63264461,35,NA,NA
63264462,50,74,NA
63264466,8,NA,NA
63264467,44,51,NA
63264468,18,NA,NA
63264469,4,NA,NA
63264470,2,NA,NA
63264471,6,NA,NA
63264472,1,NA,NA
63264473,1,NA,NA
63264474,47,NA,NA
63264475,14,NA,NA
63264477,3,NA,NA
63264478,NA,NA,NA
63264479,18,34,NA
63264480,NA,NA,NA
63264481,16,18,NA
63264482,34,NA,NA
63264485,27,23,NA
63264486,4,NA,NA
63264491,8,NA,NA
63264492,26,NA,NA
63264493,0.3,0.5,NA
63264494,22,31,NA
63264495,41,NA,NA
63264496,4,NA,NA
63264498,3,NA,NA
63264499,41.04,NA,NA
63264500,NA,NA,NA
63264501,12,15,NA
63264502,3,NA,NA
63264503,40,45,NA
63264504,22,25,NA
63264506,NA,NA,NA
63264507,0.25,1.35,NA
63264508,4,4.5,NA
63264509,18,26,NA
63264510,2,NA,NA
63264511,48,NA,NA
63264512,11,NA,NA
63264513,15,19,NA
63264516,11,27,NA
63264519,24,47,NA
63264520,4,NA,NA
63264523,21,NA,NA
63264526,72,NA,NA
63264527,28,30,NA
63264528,4,NA,NA
63264530,39,NA,NA
63264534,2,16,NA
63264535,22,25,NA
63264537,43.5,NA,NA
63264538,3,NA,NA
63264539,2,NA,NA
63264541,70,74,NA
63264543,4,NA,NA
63264544,18,NA,NA
63264545,13,NA,NA
63264546,34,NA,NA
63264547,3,8,NA
63264549,8,NA,NA
63264550,50,60,NA
63264552,0.2,NA,NA
63264557,137,NA,NA
63264569,NA,NA,NA
63264575,126,143,NA
63264576,108,NA,NA
63264581,136,NA,NA
63264582,133,142,NA
63264585,86,80,NA
63264588,59,73,NA
63264595,75,105,NA
63264597,144,175,NA
63264598,83,91,NA
63264603,113,105,NA
63264608,5,8,NA
63264609,47.9,NA,NA
63264610,10,NA,NA
63264611,35,NA,NA
63264613,4,NA,NA
63264614,1.5,4,NA
63264615,6,8,NA
63264616,20.5,NA,NA
63264617,4,NA,NA
63264618,20,NA,NA
63264619,1.2,1.5,NA
63264620,20.4,NA,NA
63264622,21,NA,NA
63264625,35,NA,NA
63264626,20.4,NA,NA
63264627,15,28,NA
63264629,28,NA,NA
63264630,20.5,NA,NA
63264631,0,1,NA
63264633,5,NA,NA
63264635,13.7,NA,NA
63264636,2,55,NA
63264637,6.84,NA,NA
63264638,3,NA,NA
63264640,13.7,NA,NA
63264642,137,157,NA
63264643,99,110,NA
63264644,179,247,NA
63264645,116,127,NA
63264646,94,96,NA
63264647,7,15,NA
63264648,128,138,NA
63264649,78,84,NA
63264650,118,122,NA
63264651,87,89,NA
63264652,118,143,NA
63264653,86,99,NA
63264654,98,NA,NA
63264655,91,105,NA
63264656,68,72,NA
63264657,107,127,NA
63264658,33,NA,NA
63264659,80,88,NA
63264660,8,NA,NA
63264662,50,NA,NA
63264663,20,NA,NA
63264664,54,NA,NA
63264667,94,116,NA
63264668,46,NA,NA
63264669,2,NA,NA
63264670,4,NA,NA
63264671,130,NA,NA
63264672,0,18,NA
63264673,2,NA,NA
63264675,60,NA,NA
63264676,110,117,NA
63264677,51,NA,NA
63264678,60,NA,NA
63264679,35,40,NA
63264680,116,NA,NA
63264681,162,176,NA
63264682,176,NA,NA
63264683,7,8,NA
63264685,65,NA,NA
63264686,4,7,NA
63264687,6,NA,NA
63264688,8,NA,NA
63264689,8,NA,NA
63264690,65,NA,NA
63264691,35,NA,NA
63264692,4,NA,NA
63264693,5,NA,NA
63264694,40,NA,NA
63264695,31,NA,NA
63264696,5,NA,NA
63264697,25,38,NA
63264700,89,NA,NA
63264701,5,NA,NA
63264702,0.5,NA,NA
63264703,5,NA,NA
63264704,8,NA,NA
63264705,53,55,NA
63264708,144,188,NA
63264710,125,NA,NA
63264712,188.1,205.2,NA
63264713,147,165,NA
63264714,190,210,NA
63264715,48,50,NA
63264717,192,208,NA
63264718,204,237,NA
63264720,144,NA,NA
63264721,123,206,NA
63264722,144,161,NA
63264725,149,NA,NA
63264727,99,NA,NA
63264729,176,196,NA
63264731,172,183,NA
63264732,165,NA,NA
63264735,198,205,NA
63264736,129,NA,NA
63264737,145,NA,NA
63264740,145,180,NA
63264741,204,210,NA
63264743,210,213,NA
63264745,203,212,NA
63264746,137,166,NA
63264747,105,NA,NA
63264748,135,NA,NA
63264750,86,90,NA
63264751,95,88,NA
63264752,147,175,NA
63264754,86,105,NA
63264755,80,NA,NA
63264756,73,76,NA
63264757,89,94,NA
63264759,90,137,NA
63264763,95,130,NA
63264765,150,195,NA
63264768,150,195,NA
63264777,151,170,NA
63264778,151,170,NA
63264779,107,121,NA
63264780,148,157,NA
63264781,161,194,NA
63264783,148,157,NA
63264784,119,170,NA
63264785,161,194,NA
63264789,139,181,NA
63264790,110,155,NA
63264791,131,170,NA
63264797,88,152,NA
63264798,105,131,NA
63264799,25,26.5,NA
63264802,149,170,NA
63264804,53,54,NA
63264805,7,NA,NA
63264808,40,NA,NA
63264809,20.5,NA,NA
63264810,23,24,NA
63264811,26,27,NA
63264812,43,49,NA
63264814,43,49,NA
63264815,28,NA,NA
63264816,28,NA,NA
63264820,25,30,NA
63264821,58,61,NA
63264823,100,NA,NA
63264824,92,128,NA
63264825,12,NA,NA
63264826,82,NA,NA
63264827,91,93.5,NA
63264830,95,110,NA
63264831,72,82.5,NA
63264832,122,130,NA
63264835,153,NA,NA
63264836,58,NA,NA
63264838,17,NA,NA
63264841,32,NA,NA
63264842,78,89,NA
63264846,95,136,NA
63264847,93,NA,NA
63264849,80,NA,NA
63264850,104,148,NA
63264858,130,160,NA
63264859,58,61,NA
63264861,133,149,NA
63264862,152,180,NA
63264863,190,370,NA
63264864,48,52,NA
63264866,4,NA,NA
63264868,175,210,NA
63264871,130,172,NA
63264874,153,202,NA
63264878,160,265,NA
63264880,154,128,NA
63264883,200,NA,NA
63264884,120,137,NA
63264886,193,232,NA
63264887,205,317,NA
63264889,154,177,NA
63264890,120,170,NA
63264891,205.2,NA,NA
63264892,222,274,NA
63264893,250,340,NA
63264894,179,196,NA
63264896,122,170,NA
63264898,222,342,NA
63264899,112,130,NA
63264900,15,20,NA
63264903,57,64,NA
63264906,26,NA,NA
63264907,6,9,NA
63264908,3,12,NA
63264909,26,NA,NA
63264911,3,24,NA
63264913,4,5,NA
63264920,52,54,NA
63264922,107,205,NA
63264923,188.1,256.5,NA
63264924,0,15,NA
63264926,115,143,NA
63264927,8,13,NA
63264929,5,23,NA
63264930,35,NA,NA
63264931,34.2,NA,NA
63264932,86,117,NA
63264933,8,11,NA
63264934,8,11,NA
63264935,165,193,NA
63264936,181,192,NA
63264937,182,NA,NA
63264938,168,211,NA
63264939,97,180,NA
63264940,95,95,NA
63264941,175,197,NA
63264943,25,NA,NA
63264944,148,158,NA
63264951,205.2,NA,NA
63264952,160,182,NA
63264953,100,113,NA
63264954,100,NA,NA
63264955,65,76,NA
63264956,161,193,NA
63264957,103,148,NA
63264959,128,195,NA
63264960,79,91,NA
63264962,137,164,NA
63264964,187,188,NA
63264965,24,23,NA
63264966,91,11.8,NA
63264968,81,109,NA
63264969,92,123,NA
63264970,111,126,NA
63264971,119,134,NA
63264972,127,181,NA
63264974,39,48,NA
63264977,130,123,NA
63264978,111,121,NA
63264979,73,95,NA
63264980,79,99,NA
63264981,182,NA,NA
63264982,12,17,NA
63264983,89,108,NA
63264985,4,NA,NA
63264986,24,26,NA
63264987,35,NA,NA
63264989,21,NA,NA
63264990,30,NA,NA
63264992,6,NA,NA
63264994,8,NA,NA
63264996,0,NA,NA
63264997,10,15,NA
63264998,74,NA,NA
63264999,74,NA,NA
63265001,9,NA,NA
63265002,1.2,NA,NA
63265003,85.5,102.6,NA
63265004,2,NA,NA
63265006,20.52,34.2,NA
63265007,12,NA,NA
63265008,6,27,NA
63265009,26,40,NA
63265010,13.68,27.36,NA
63265011,27.36,51.3,NA
63265012,6.84,13.68,NA
63265013,148,155,NA
63265014,28,30,NA
63265015,58,NA,NA
63265017,130,153,NA
63265019,145,NA,NA
63265021,179,210,NA
63265022,179,210,NA
63265023,129,NA,NA
63265024,168,225,NA
63265025,105,160,NA
63265026,129,NA,NA
63265028,108,130,NA
63265029,127,185,NA
63265030,115,119,NA
63265031,112,135,NA
63265032,115,119,NA
63265033,165,195,NA
63265034,203,250,NA
63265035,106,148,NA
63265036,165,195,NA
63265037,184,202,NA
63265040,184,202,NA
63265043,160,247,NA
63265044,91,142,NA
63265045,106,116,NA
63265047,107,148,NA
63265049,10,19,NA
63265050,147,163,NA
63265052,142,151,NA
63265055,117,138,NA
63265056,35,NA,NA
63265058,117,138,NA
63265059,13,25,NA
63265060,70,NA,NA
63265061,5,NA,NA
63265062,126,127,NA
63265063,5,NA,NA
63265064,92,111,NA
63265066,112,139,NA
63265067,82,85,NA
63265068,103,157,NA
63265069,111,167,NA
63265070,162,172,NA
63265071,46,55,NA
63265072,136,167,NA
63265073,71,80,NA
63265074,123,180,NA
63265075,11,17,NA
63265076,17.1,NA,NA
63265077,111,120,NA
63265079,26,28,NA
63265081,82,98,NA
63265082,6.8,NA,NA
63265084,15,25,NA
63265086,41.04,20.5,NA
63265087,13.6,NA,NA
63265088,NA,NA,NA
63265089,88,NA,NA
63265090,7,NA,NA
63265091,34,51,NA
63265093,4,NA,NA
63265094,50,NA,NA
63265095,30,NA,NA
63265098,43,NA,NA
63265099,25,NA,NA
63265101,102,85,NA
63265102,51.3,NA,NA
63265106,86,NA,NA
63265107,6.8,NA,NA
63265108,57,NA,NA
63265109,9,NA,NA
63265110,NA,NA,NA
63265115,6.84,NA,NA
63265116,6.8,NA,NA
63265117,NA,NA,NA
63265118,6.84,13.7,NA
63265119,17.1,NA,NA
63265121,74,NA,NA
63265123,6.84,NA,NA
63265124,84,NA,NA
63265125,6.84,NA,NA
63265127,11,5,NA
63265128,3,NA,NA
63265129,15,23,NA
63265130,21,22,NA
63265137,NA,NA,NA
63265138,44,NA,NA
63265139,9,NA,NA
63265140,17,NA,NA
63265143,3,4,NA
63265144,6.8,20.5,NA
63265145,19,NA,NA
63265146,86,NA,NA
63265147,47,52,NA
63265148,NA,NA,NA
63265149,17.1,NA,NA
63265154,5,NA,NA
63265158,NA,NA,NA
63265163,5,4,NA
63265164,41,NA,NA
63265165,NA,NA,NA
63265166,30,22,NA
63265167,6.8,NA,NA
63265168,17.1,34.2,NA
63265170,NA,NA,NA
63265171,NA,NA,NA
63265172,27,NA,NA
63265175,NA,NA,NA
63265177,5,NA,NA
63265178,123,NA,NA
63265181,164,184,NA
63265184,149,200,NA
63265187,148,NA,NA
63265189,19,24,NA
63265190,139,141,NA
63265191,153,154,NA
63265192,123,127,NA
63265193,110,205,NA
63265194,131,132,NA
63265195,134,146,NA
63265196,144,136,NA
63265197,163,NA,NA
63265198,165,182,NA
63265199,157,174,NA
63265202,130,142,NA
63265203,155,150,NA
63265204,133,142,NA
63265205,18,NA,NA
63265206,160,157,NA
63265208,11,20,NA
63265209,165,190,NA
63265210,13,28,NA
63265211,22,NA,NA
63265212,9,NA,NA
63265214,7,NA,NA
63265217,10,NA,NA
63265219,8,NA,NA
63265222,15,NA,NA
63265223,17.1,NA,NA
63265224,5,NA,NA
63265226,6,NA,NA
63265228,6,NA,NA
63265229,41,46,NA
63265230,4,6,NA
63265233,10,NA,NA
63265234,0,NA,NA
63265237,18,NA,NA
63265238,17.1,NA,NA
63265239,13,16,NA
63265240,34.2,NA,NA
63265241,10,25,NA
63265242,11,NA,NA
63265245,5,NA,NA
63265246,143,181,NA
63265247,0,4,NA
63265250,158,213,NA
63265251,105,NA,NA
63265253,121,150,NA
63265254,158,213,NA
63265256,87,145,NA
63265257,150,NA,NA
63265260,70,120,NA
63265262,NA,NA,NA
63265263,165,210,NA
63265264,118,160,NA
63265265,116,144,NA
63265266,123,186,NA
63265267,211,220,NA
63265275,105,NA,NA
63265277,135,187,NA
63265278,143,161,NA
63265284,133,180,NA
63265286,148,200,NA
63265287,153,200,NA
63265288,225,227,NA
63265293,212,215,NA
63265294,117,164,NA
63265295,NA,NA,NA
63265296,106,120,NA
63265297,0,NA,NA
63265298,145,193,NA
63265300,NA,NA,NA
63265301,157,159,NA
63265303,139,150,NA
63265305,129,156,NA
63265306,18,14,NA
63265309,38,39,NA
63265310,12,NA,NA
63265311,170,NA,NA
63265312,153,NA,NA
63265313,176,213,NA
63265317,174,185,NA
63265318,148,231,NA
63265321,182,239,NA
63265322,162,234,NA
63265323,160,231,NA
63265324,158,206,NA
63265325,155,156,NA
63265327,176,196,NA
63265328,99,NA,NA
63265329,113,224.8,NA
63265331,175,189,NA
63265332,172,183,NA
63265333,165,NA,NA
63265335,241,250,NA
63265336,129,NA,NA
63265337,198,205,NA
63265343,145,NA,NA
63265344,105,NA,NA
63265345,135,NA,NA
63265347,203,212,NA
63265349,137,116,NA
63265352,89,94,NA
63265353,147,175,NA
63265354,86,105,NA
63265356,86,90,NA
63265357,NA,NA,NA
63265358,80,NA,NA
63265361,60,62,NA
63265362,95,130,NA
63265363,150,195,NA
63265366,151,156,NA
63265372,103,175,NA
63265376,107,121,NA
63265379,119,170,NA
63265380,181,155,NA
63265381,148,157,NA
63265382,161,194,NA
63265383,139,181,NA
63265386,131,170,NA
63265387,110,155,NA
63265390,88,152,NA
63265391,105,131,NA
63265394,25,26.5,NA
63265400,82,NA,NA
63265402,12,NA,NA
63265405,100,NA,NA
63265409,92,128,NA
63265410,122,130,NA
63265412,17,NA,NA
63265415,72,82.5,NA
63265416,78,89,NA
63265422,32,NA,NA
63265423,104,148,NA
63265424,80,NA,NA
63265427,95,136,NA
63265432,58,61,NA
63265433,130,160,NA
63265434,48,52,NA
63265439,4,NA,NA
63265440,150,160,NA
63265445,135,155,NA
63265448,109,NA,NA
63265449,151,149,NA
63265450,145,159,NA
63265457,NA,NA,NA
63265460,124,159,NA
63265461,200,267,NA
63265463,111,149,NA
63265465,112,137,NA
63265466,97,129,NA
63265467,122,169,NA
63265470,105,159,NA
63265471,124,133,NA
63265472,153.9,188.1,NA
63265473,180,185,NA
63265474,205.1,153.9,NA
63265475,162,238,NA
63265476,126,NA,NA
63265477,119.7,153.9,NA
63265479,168,225,NA
63265480,91,142,NA
63265481,124,187,NA
63265483,112,NA,NA
63265484,125,130,NA
63265485,188.1,256.5,NA
63265486,5,NA,NA
63265487,239.4,256.5,NA
63265488,71,86,NA
63265489,71,86,NA
63265490,222.3,NA,NA
63265492,57,64,NA
63265495,0,6,NA
63265497,6,9,NA
63265498,18,20,NA
63265499,1,2,"purple"
63265501,34.2,NA,NA
63265502,17.1,NA,NA
63265503,0.5,NA,NA
63265505,11,20,NA
63265506,17.1,NA,NA
63265507,43,47,NA
63265512,5,8,NA
63265515,8,10,NA
63265516,17,NA,NA
63265518,3,8,NA
63265522,51,NA,NA
63265523,3.5,18,NA
63265525,13,NA,NA
63265526,4,5,NA
63265527,51.3,NA,NA
63265528,51,34,NA
63265529,6.8,7,NA
63265530,54,NA,NA
63265532,17,NA,NA
63265533,17.1,NA,NA
63265534,17.1,34.2,NA
63265538,34.2,NA,NA
63265539,4,7,NA
63265542,27.4,NA,NA
63265545,17.1,NA,NA
63265546,66,89,NA
63265547,106,NA,NA
63265550,17.1,NA,NA
63265552,56,58,NA
63265553,85.5,NA,NA
63265554,5,NA,NA
63265555,99,225,NA
63265556,60,100,NA
63265558,130,125,NA
63265559,112,130,NA
63265561,59,NA,NA
63265562,119,NA,NA
63265563,129.9,NA,NA
63265565,9,10,NA
63265566,43,44,NA
63265567,110,NA,NA
63265569,24,NA,NA
63265570,12,21,NA
63265572,4,NA,NA
63265573,115,143,NA
63265575,8,NA,NA
63265576,136.8,NA,NA
63265577,77,150,NA
63265579,136.8,NA,NA
63265581,35,NA,NA
63265582,5,6,NA
63265583,0,NA,NA
63265584,44,NA,NA
63265586,NA,NA,NA
63265587,102,133,NA
63265588,115,NA,NA
63265590,132,NA,NA
63265591,8,NA,NA
63265592,81,NA,NA
63265593,10,NA,NA
