"subject_id","dam_outlet","dam_effect_fish","dam_outlet_text","dam_effect_fish_text"
63264307,"yes","yes","alpena power co. dam","upstream movement not possible. may be a few fish lost from lake to river. no screen."
63264310,"no",NA,"none",NA
63264311,"yes","yes","alpena power co. dam","upstream movement not possible. may be a few fish lost from lake to river. no screen."
63264312,"no",NA,"none",NA
63264313,"no",NA,"none except electro-mechanical lamprey weir usfws","?"
63264314,"yes","no","yes - cement - 5 ft long","dry most of the year so doubtful if any effect"
63264317,"no","no","no","none"
63264318,"no",NA,"no",NA
63264322,"no","yes","no - (a waterfall)","stops fish from entering grand sable lake from superior"
63264323,"yes","no","sluceway","none now"
63264324,"no",NA,"no",NA
63264325,"yes","no","yes","has sluice which may permit fish to go upstream."
63264326,"no",NA,"no",NA
63264327,"yes","yes","4-mile dam","prevents fish moving upstream"
63264328,"yes","yes","yes","blocks fish movement"
63264333,"yes","no","yes","none - could go up or down stream"
63264337,"no",NA,"none",NA
63264339,"no",NA,"none",NA
63264342,"no",NA,"no",NA
63264343,"no",NA,"no",NA
63264344,"no",NA,"none",NA
63264345,"no","no","none","none"
63264346,"yes","no","earthen dam, broken through","fish can now go up or down stream"
63264347,"yes",NA,"yes","numerous small streams"
63264348,"yes","yes","yes","prevents upstream movement"
63264349,"yes","yes","on cheboygan river at cheboygan","stops fish from traveling upstream from lake huron."
63264350,"yes","yes","yes","has a fish ladder, but fish cannot climb it (reported by will greg, onaway, mich.)"
63264351,"no",NA,"none",NA
63264352,"no",NA,"none",NA
63264353,"no",NA,"none",NA
63264354,"yes","yes","at Cheboygan ","stops fish moving upstream"
63264355,"yes","no","makeshift wooden splash board","none"
63264357,"yes","yes","at cheboygan","stops fish moving upstream"
63264358,"yes","no","makeshift wooden splash board","none"
63264359,"no",NA,"none",NA
63264360,"no",NA,"none",NA
63264363,"no",NA,"none",NA
63264364,"no",NA,"land landlocked",NA
63264367,"no",NA,"landlocked",NA
63264368,"no","no","x","x"
63264370,"yes","no","rock barrier","none"
63264371,"no",NA,"no",NA
63264373,"yes","no","beaver","none at normal stage"
63264374,"no","no","-","-"
63264376,"no","no","none","-"
63264377,"yes","no","rock barrier","none"
63264378,"no",NA,"none",NA
63264385,"no",NA,"no - there was once a beaver dam",NA
63264387,"no",NA,"none",NA
63264388,"no","no","none","none"
63264389,"no",NA,"no",NA
63264390,"no",NA,"none",NA
63264391,"no",NA,"none",NA
63264393,"yes","no","an old, inactive dam","none"
63264394,"no",NA,"no",NA
63264395,"yes","no","yes. posts stuck in creek bed.","practically none"
63264396,"no",NA,"none",NA
63264397,"no",NA,"none",NA
63264399,"yes","yes","yes","broken dam at present allows young fish to become stranded behind it."
63264400,"yes","yes","beaver activity","varies"
63264402,"yes","yes","yes","blocks"
63264403,"yes","no","intermittent beaver dam","none"
63264404,"yes","no","yes","virtually none."
63264405,"yes","yes","beaver","curtails fish movement"
63264406,"no",NA,"no",NA
63264407,"yes","yes","earth fill in old outlet","bars"
63264408,"no",NA,"no",NA
63264409,"yes","yes","yes","bars up-stream stream movement"
63264410,"no","no","no","none"
63264411,"yes","yes","yes","bans"
63264412,"no","no","no","none"
63264413,"no",NA,"none",NA
63264414,"yes","yes","yes, beaver dam","stops fish movement in the summer"
63264417,"no",NA,"no",NA
63264418,"no",NA,"none",NA
63264419,"no",NA,"none",NA
63264420,"no",NA,"none",NA
63264421,"yes","yes","yes","not passable for fish"
63264422,"yes","yes","yes","withholds 2 feet of water. controlled by county supervisors. maintains lake level keeps fish from going upstream. in fall, timbers are removed and replaced until may or june, which allows free movements of fish in winter and early spring."
63264423,"yes","no","culvert has caused local concern","none"
63264424,"no",NA,"none.",NA
63264425,"yes","yes","Yes","fish ladder ineffective, probably stops fish movements"
63264427,"no",NA,"no",NA
63264428,"no",NA,"no",NA
63264429,"yes","yes","temporary wier installed 1959","completely blocks movement. operated to keep northern pike out."
63264430,"yes",NA,"beaver dam",NA
