"subject_id","begin_date_day","begin_date_month","begin_date_year","end_date_day","end_date_month","end_date_year","front","back"
58643103,NA,"August","1925",NA,NA,"1925","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/single/Alcona_Hubbard_SUMM_Doc1180.jpg",NA
58643104,NA,"April","1926",NA,"April",NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/single/Alcona_Hubbard_SUMM_Doc1183.jpg",NA
58643105,"29","July","1930","29","July","1930","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/single/Kalkaska_Bass28N_5W_S23_SUMM_005.jpg",NA
58643107,NA,"April","1926",NA,"April","1926","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/single/Alpena_Beaver_SUMM_20200219151000777_0003.jpg",NA
58643108,"15","February","1926","15","February","1926","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/single/Kalkaska_Bear_SUMM_024.jpg",NA
58643109,"5","August","1930",NA,NA,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/single/Kalkaska_BlackMiddle_SUMM_002.jpg",NA
58643110,"7","August","1930","7","August","1930","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/single/Kalkaska_Bear_SUMM_025.jpg",NA
58643111,"9","August","1930",NA,"August",NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/single/Kalkaska_BlackUpper_SUMM_002.jpg",NA
58643112,"2","August","1930",NA,NA,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/single/Kalkaska_BlackSouth_SUMM_001.jpg",NA
58643113,"28","July","1930","28","July","1930","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/single/Kalkaska_BlueLittle_SUMM_004.jpg",NA
58643114,"12","August","1930",NA,NA,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/single/Kalkaska_Blue_SUMM_007.jpg",NA
58643116,"28","July","1930",NA,NA,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/single/Kalkaska_BlueNorth_SUMM_002.jpg",NA
58643117,"29","July","1930",NA,"July",NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/single/Kalkaska_Crooked_SUMM_005.jpg",NA
58643118,"5","August","1930",NA,NA,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/single/Kalkaska_Cranberry_SUMM_002.jpg",NA
58643119,"24","August","1930",NA,NA,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/single/Kalkaska_CroyNorth_SUMM_004.jpg",NA
58643120,"21","July","1930",NA,NA,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/single/Kalkaska_Eagle_SUMM_006.jpg",NA
58643121,"27","August","1930","27","August","1930","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/single/Kalkaska_Darby_SUMM_003.jpg",NA
58643122,"2","September","1930","2","September",NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/single/Kalkaska_East26N_7W_S21-22_SUMM_002.jpg",NA
58643123,"3","August","1930",NA,"August",NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/single/Kalkaska_East27N_5W_S6_SUMM_004.jpg",NA
58643124,"4","July","1930",NA,"July",NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/single/Kalkaska_FiveLake_SUMM_002.jpg",NA
58643125,"5","July","1930","5","July","1930","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/single/Kalkaska_Grass_SUMM_009.jpg",NA
58643126,"29","August","1930",NA,NA,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/single/Kalkaska_GuernseyBig_SUMM_014.jpg",NA
58643127,"29","August","1930","29","August","1930","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/single/Kalkaska_GuernseyLittleSouth_SUMM_002.jpg",NA
58643128,"27","August","1930","27","August","1930","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/single/Kalkaska_GuernseyLittleNorth_SUMM_004.jpg",NA
58643129,"26","August","1930",NA,"August",NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/single/Kalkaska_Haynes_SUMM_003.jpg",NA
58643130,"9","September","1930",NA,"September",NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/single/Kalkaska_Ingersoll_SUMM_004.jpg",NA
58643131,"25","August","1930","25","August","1930","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/single/Kalkaska_Island_SUMM_003.jpg",NA
58643132,"17","July","1930","17","July","1930","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/single/Kalkaska_Indian_SUMM_004.jpg",NA
58643133,"4","August","1930","4","August","1930","https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/single/Kalkaska_Johnson_SUMM_004.jpg",NA
58643134,"19","August","1930",NA,"August",NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/single/Kalkaska_KalkaskaMillPond_SUMM_004.jpg",NA
58643135,"30","June","1930",NA,NA,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/single/Kalkaska_Kettle_SUMM_011.jpg",NA
58643136,"11","August","1930",NA,"August",NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/single/Kalkaska_LogLittle_SUMM_004.jpg",NA
58643137,"18","August","1930",NA,NA,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/single/Kalkaska_Kettle_SUMM_006.jpg",NA
