"subject_id","temp_surface_max_c","temp_surface_min_c","temp_bottom_max_c","temp_bottom_min_c","do_above_thermo_max_ppm","do_above_thermo_min_ppm","do_in_thermo_max_ppm","do_in_thermo_min_ppm","do_below_thermo_max_ppm","do_below_thermo_min_ppm"
63264307,NA,20.056,NA,13.667,8.2,8.1,NA,NA,1.5,0.3
63264308,25.556,23.333,NA,5.2,10.4,7.7,NA,NA,0.1,0.1
63264309,17.8,17.4,17.4,17.2,7.9,8.3,NA,NA,NA,NA
63264310,NA,19.6,NA,6.2,8.3,8.3,2,8.3,NA,0
63264311,NA,20.056,NA,13.667,8.2,8.1,NA,NA,1.5,0.3
63264313,22.222,17.222,18.333,17.778,8.6,7.8,7.8,1.6,NA,0
63264314,19,18.3,NA,7.5,8.3,8.6,0,8,NA,0
63264315,NA,22.222,NA,22.1,8.7,7.8,NA,NA,NA,NA
63264316,20.4,21.8,7.6,9.8,NA,7.4,5.1,5.5,1.9,5.5
63264317,NA,20,NA,7.222,NA,NA,NA,NA,NA,NA
63264318,NA,26.1,NA,10.4,NA,7.8,NA,0.7,NA,0
63264319,NA,23.889,NA,NA,NA,NA,NA,NA,NA,NA
63264320,21.111,16.667,NA,16.667,9.5,8.5,NA,NA,NA,8.2
63264321,NA,21.667,NA,5,NA,7.2,4.7,7.4,NA,4.6
63264322,22.778,21.667,NA,11.4,8.3,7.9,NA,NA,6.7,5.6
63264323,17.778,21.111,NA,6.111,9.1,4.9,NA,NA,NA,NA
63264325,NA,21.667,NA,8.4,NA,8.5,NA,7.2,0.9,3.5
63264326,NA,25.3,NA,24.6,9.4,8.2,NA,NA,NA,NA
63264327,NA,20,NA,18.8,NA,6.9,NA,NA,NA,NA
63264328,NA,26.1,NA,9.7,8,8,NA,NA,NA,0.7
63264329,NA,22.6,NA,21.4,8.1,8,NA,NA,NA,NA
63264330,NA,20.556,NA,18.889,9.1,9.6,NA,NA,NA,NA
63264331,NA,20.556,NA,18.889,9.1,9.6,NA,NA,NA,NA
63264332,NA,22.6,NA,21.4,8.1,8,NA,NA,NA,NA
63264333,NA,16.667,NA,18.6,8.6,8.8,NA,NA,NA,NA
63264334,NA,23.4,NA,18.5,NA,5.4,NA,NA,NA,4.7
63264335,NA,22.9,NA,22.8,8.32,8.36,NA,NA,NA,NA
63264336,NA,18.333,NA,17.778,8.2,7.9,NA,NA,NA,NA
63264337,NA,20,NA,7.778,8,7.9,5.2,7.9,NA,4.5
63264338,NA,21.111,NA,11.111,NA,7.6,0.1,6.6,NA,NA
63264339,NA,19.6,NA,19.6,8.2,8.4,NA,NA,NA,NA
63264340,NA,23.3,NA,14,7.7,7,NA,NA,1.4,0.5
63264341,NA,21.667,NA,NA,NA,NA,NA,NA,NA,NA
63264342,20.556,22.222,NA,20.556,9.4,8.7,NA,NA,NA,NA
63264343,24,23.2,NA,8.611,NA,8,NA,8.9,NA,8.2
