"subject_id","resorts_min_n","liveries_min_n","cottages_min_n","hotels_homes_min_n","resorts_max_n","liveries_max_n","cottages_max_n","hotels_homes_max_n"
63264307,40,40,NA,NA,NA,NA,NA,NA
63264308,NA,9,NA,NA,NA,9,NA,NA
63264309,1,1,15,0,NA,NA,NA,NA
63264310,1,1,30,0,NA,NA,NA,NA
63264311,40,40,NA,NA,NA,NA,NA,NA
63264312,1,0,10,0,NA,NA,NA,NA
63264313,1,1,6,0,NA,NA,NA,NA
63264314,NA,NA,60,0,NA,NA,NA,NA
63264315,NA,NA,3,NA,NA,NA,NA,NA
63264316,NA,1,4,NA,NA,NA,NA,NA
63264317,0,0,2,0,NA,NA,NA,NA
63264319,NA,NA,10,NA,NA,NA,NA,NA
63264320,0,0,1,0,NA,NA,NA,NA
63264321,0,0,0,0,NA,NA,NA,NA
63264322,NA,2,15,NA,NA,NA,NA,NA
63264323,0,0,1,0,NA,NA,NA,NA
63264324,2,1,30,NA,NA,NA,NA,NA
63264325,NA,4,50,1,NA,NA,NA,NA
63264326,0,0,0,0,NA,NA,NA,NA
63264327,1,1,4,0,NA,NA,5,NA
63264328,0,0,5,0,NA,NA,NA,NA
63264329,0,0,0,0,NA,NA,NA,NA
63264330,0,0,0,0,NA,NA,NA,NA
63264331,0,0,0,0,NA,NA,NA,NA
63264332,0,0,0,0,NA,NA,NA,NA
63264333,3,4,10,0,NA,NA,NA,NA
63264334,0,0,0,0,NA,NA,NA,NA
63264335,0,0,0,0,NA,NA,NA,NA
63264336,0,0,0,0,NA,NA,NA,NA
63264337,1,2,12,0,NA,NA,NA,NA
63264338,0,0,0,0,NA,NA,NA,NA
63264339,0,0,5,0,NA,NA,NA,NA
63264340,1,1,8,NA,NA,NA,10,NA
63264341,0,0,0,0,NA,NA,NA,NA
63264342,0,1,43,1,NA,NA,NA,NA
63264343,NA,NA,NA,NA,NA,NA,NA,NA
63264344,3,2,650,NA,NA,NA,NA,NA
63264345,1,2,35,0,NA,NA,NA,NA
63264346,3,3,10,NA,NA,NA,NA,NA
63264347,NA,NA,NA,2,NA,NA,NA,NA
63264348,8,5,371,0,NA,NA,NA,NA
63264349,25,30,500,0,NA,NA,NA,NA
63264350,10,15,150,1,NA,20,NA,NA
63264351,0,0,0,0,NA,NA,NA,NA
63264352,0,0,0,0,NA,NA,NA,NA
63264353,10,2,200,2,NA,NA,NA,NA
63264354,15,2,700,1,NA,NA,NA,NA
63264356,1,1,15,NA,NA,NA,NA,NA
63264357,15,2,700,1,NA,NA,NA,NA
63264358,0,0,0,0,NA,NA,NA,NA
63264359,1,1,15,0,NA,NA,NA,NA
63264360,1,1,15,NA,NA,NA,NA,NA
63264361,1,1,15,NA,NA,NA,NA,NA
63264362,1,1,15,NA,NA,NA,NA,NA
63264363,1,1,15,0,NA,NA,NA,NA
63264364,0,0,0,0,NA,NA,NA,NA
63264365,0,0,1,0,NA,NA,NA,NA
63264366,0,0,1,0,NA,NA,NA,NA
63264367,0,0,0,0,NA,NA,NA,NA
63264368,0,0,0,0,NA,NA,NA,NA
63264369,0,0,0,0,NA,NA,NA,NA
63264370,4,2,75,1,NA,NA,NA,NA
63264371,0,0,0,0,NA,NA,NA,NA
63264372,0,0,0,0,NA,NA,NA,NA
63264373,4,0,35,0,NA,NA,40,NA
63264374,0,NA,2,0,NA,NA,NA,NA
63264375,0,0,0,0,NA,NA,NA,NA
63264376,2,1,12,1,NA,NA,NA,NA
63264377,2,1,13,NA,NA,NA,NA,NA
63264378,NA,4,5,NA,NA,NA,NA,NA
63264379,NA,NA,4,NA,NA,NA,NA,NA
63264380,0,0,0,0,NA,NA,NA,NA
63264381,NA,NA,1,0,NA,NA,NA,NA
63264382,0,0,22,0,NA,NA,NA,NA
63264383,NA,NA,1,NA,NA,NA,NA,NA
63264384,NA,NA,4,NA,NA,NA,NA,NA
63264385,0,0,0,0,NA,NA,NA,NA
63264386,0,0,0,0,NA,NA,NA,NA
63264388,NA,NA,45,NA,NA,NA,NA,NA
63264389,NA,NA,0,NA,NA,NA,NA,NA
63264390,2,2,50,NA,NA,NA,NA,NA
63264391,NA,NA,60,0,NA,NA,80,NA
63264392,3,1,15,0,NA,NA,NA,NA
63264393,0,0,15,0,NA,NA,NA,NA
63264394,NA,NA,0,NA,NA,NA,NA,NA
63264395,0,0,26,0,NA,NA,NA,NA
63264396,0,1,95,0,NA,NA,NA,NA
63264397,0,1,95,0,NA,NA,NA,NA
63264398,0,0,0,0,NA,NA,NA,NA
63264399,NA,2,150,NA,NA,NA,NA,NA
63264400,NA,NA,0,NA,NA,NA,NA,NA
63264401,2,4,350,0,NA,NA,NA,NA
63264402,0,0,3,0,NA,NA,NA,NA
63264403,0,0,0,0,NA,NA,NA,NA
63264404,8,3,125,0,NA,NA,NA,NA
63264405,0,0,0,0,NA,NA,NA,NA
63264406,NA,2,1,NA,NA,NA,NA,NA
63264407,0,1,15,0,NA,NA,NA,NA
63264408,NA,NA,20,NA,NA,NA,NA,NA
63264409,0,0,65,0,NA,NA,NA,NA
63264410,0,1,15,0,NA,NA,NA,NA
63264411,NA,NA,100,NA,NA,NA,NA,NA
63264412,0,1,30,0,NA,NA,NA,NA
63264413,0,0,0,0,NA,NA,NA,NA
63264414,0,2,44,0,NA,NA,NA,NA
63264415,1,NA,71,0,NA,NA,NA,NA
63264416,0,0,0,0,NA,NA,NA,NA
63264417,0,1,30,1,NA,NA,NA,NA
63264419,0,0,0,0,NA,NA,NA,NA
63264421,NA,0,6,NA,NA,NA,8,NA
63264422,4,2,307,0,NA,NA,NA,NA
63264423,0,0,50,0,NA,NA,NA,NA
63264424,1,1,9,0,NA,NA,NA,NA
63264425,2,4,200,0,NA,NA,NA,NA
63264426,0,1,5,0,NA,NA,NA,NA
63264427,2,6,569,1,NA,NA,NA,NA
63264428,0,0,0,0,NA,NA,NA,NA
63264429,1,1,75,0,NA,NA,NA,NA
63264430,0,0,0,0,NA,NA,NA,NA
63264431,0,0,0,0,NA,NA,NA,NA
63264432,NA,1,14,NA,NA,NA,NA,NA
63264433,2,4,40,0,NA,NA,NA,NA
63264434,2,4,60,0,NA,NA,NA,NA
63264435,3,3,100,0,NA,NA,NA,NA
63264436,NA,NA,0,NA,NA,NA,NA,NA
63264438,0,0,0,0,NA,NA,NA,NA
63264439,9,10,500,0,NA,NA,NA,NA
63264440,0,0,0,0,NA,NA,NA,NA
63264441,3,4,135,0,NA,NA,NA,NA
63264442,NA,NA,1,NA,NA,NA,NA,NA
63264444,0,0,2,0,NA,NA,NA,NA
63264445,0,0,1,0,NA,NA,NA,NA
63264446,1,0,3,0,NA,NA,NA,NA
63264447,1,NA,10,NA,NA,NA,NA,NA
63264448,NA,NA,NA,NA,NA,NA,NA,NA
63264449,0,0,12,NA,NA,NA,NA,NA
63264450,0,0,0,0,NA,NA,NA,NA
63264451,0,0,0,0,NA,NA,NA,NA
63264452,0,0,0,0,NA,NA,NA,NA
63264453,0,0,0,0,NA,NA,NA,NA
63264454,0,0,5,0,NA,NA,NA,NA
63264455,3,3,35,0,NA,NA,NA,NA
63264456,0,0,5,0,NA,NA,NA,NA
63264457,0,0,0,0,NA,NA,NA,NA
63264458,0,0,0,0,NA,NA,NA,NA
63264459,0,0,1,0,NA,NA,NA,NA
63264460,0,0,0,0,NA,NA,NA,NA
63264462,1,0,5,0,NA,NA,NA,NA
63264463,0,0,0,0,NA,NA,NA,NA
63264464,0,0,0,0,NA,NA,NA,NA
63264465,0,0,0,0,NA,NA,NA,NA
63264466,0,0,1,0,NA,NA,NA,NA
63264467,0,0,0,0,NA,NA,NA,NA
63264468,0,0,55,0,NA,NA,NA,NA
63264469,0,0,11,0,NA,NA,NA,NA
63264470,NA,50,1,NA,NA,NA,NA,NA
63264471,0,0,0,0,NA,NA,NA,NA
63264472,NA,NA,3,0,NA,NA,NA,NA
63264474,0,0,12,0,NA,NA,NA,NA
63264475,0,0,0,0,NA,NA,NA,NA
63264476,0,0,0,0,NA,NA,NA,NA
63264477,0,0,0,0,NA,NA,NA,NA
63264478,0,0,0,0,NA,NA,NA,NA
63264479,5,5,200,3,NA,NA,NA,NA
63264481,0,0,0,0,NA,NA,NA,NA
63264482,NA,NA,1,NA,NA,NA,NA,NA
63264483,0,0,0,0,NA,NA,NA,NA
63264484,NA,NA,6,NA,NA,NA,NA,NA
63264485,0,0,0,0,NA,NA,NA,NA
63264486,NA,NA,0,NA,NA,NA,NA,NA
63264487,NA,NA,2,NA,NA,NA,NA,NA
63264488,0,0,0,0,NA,NA,NA,NA
63264489,0,0,0,0,NA,NA,NA,NA
63264490,0,0,0,0,NA,NA,NA,NA
63264491,0,0,0,0,NA,NA,NA,NA
63264492,NA,NA,1,NA,NA,NA,NA,NA
63264493,0,0,0,0,NA,NA,NA,NA
63264494,0,0,0,0,NA,NA,NA,NA
63264495,5,NA,170,0,NA,NA,NA,NA
63264496,0,0,3,0,NA,NA,NA,NA
63264497,NA,1,NA,NA,NA,NA,NA,NA
63264498,0,0,0,0,NA,NA,NA,NA
63264499,5,NA,170,NA,NA,NA,NA,NA
63264501,1,1,17,0,NA,NA,NA,NA
63264502,0,0,0,0,NA,NA,NA,NA
63264503,0,0,0,0,NA,NA,NA,NA
63264504,1,1,2,NA,NA,NA,NA,NA
63264506,0,0,0,0,NA,NA,NA,NA
63264507,0,0,0,0,NA,NA,NA,NA
63264508,0,0,0,0,NA,NA,NA,NA
63264509,0,0,0,0,NA,NA,NA,NA
63264511,0,0,0,0,NA,NA,NA,NA
63264513,NA,1,10,NA,NA,NA,NA,NA
63264514,0,0,0,0,NA,NA,NA,NA
63264515,0,0,0,0,NA,NA,NA,NA
63264516,0,0,0,0,NA,NA,NA,NA
63264517,0,0,0,0,NA,NA,NA,NA
63264518,0,0,3,0,NA,NA,NA,NA
63264519,0,0,0,0,NA,NA,NA,NA
63264520,0,0,6,0,NA,NA,NA,NA
63264521,0,0,0,0,NA,NA,NA,NA
63264522,1,1,10,NA,NA,NA,NA,NA
63264523,NA,NA,1,NA,NA,NA,NA,NA
