"subject_id","lake_area_min_ha","lake_area_max_ha","max_depth_min_m","max_depth_max_m","secchi_min_m","secchi_max_m"
63264307,3581.546,NA,26.516,NA,2.133,NA
63264308,48.563,NA,21.03,NA,1.676,NA
63264309,36.22,NA,8.534,NA,2.438,3.048
63264310,36.625,NA,28.04,NA,2.133,NA
63264311,3581.546,NA,26.516,NA,2.133,NA
63264312,50.83,NA,5.181,5.486,1.524,NA
63264313,309.591,NA,11.887,NA,NA,NA
63264314,46.54,NA,19.811,NA,1.219,NA
63264315,50.587,NA,6.096,NA,1.219,NA
63264316,98.341,NA,21.945,NA,NA,NA
63264317,98.341,NA,21.335,NA,NA,NA
63264318,87.009,NA,15.544,NA,4.572,NA
63264319,26.71,NA,2.438,NA,2.438,NA
63264320,101.174,NA,9.753,NA,3.657,NA
63264321,4.047,NA,12.191,NA,NA,NA
63264322,253.946,NA,25.907,NA,3.048,3.657
63264323,60.704,NA,2.133,NA,NA,NA
63264324,60.704,NA,5.181,NA,2.133,NA
63264325,269.122,NA,23.468,NA,3.048,3.657
63264326,6.799,NA,3.048,NA,3.048,NA
63264327,39.458,NA,6.705,NA,2.438,3.048
63264328,13.112,NA,10.667,NA,3.657,NA
63264329,16.188,20.235,4.572,NA,2.743,NA
63264330,18.211,NA,3.657,NA,3.657,NA
63264331,18.211,NA,3.657,NA,3.657,NA
63264332,16.188,20.235,4.572,NA,2.743,NA
63264333,179.28,NA,6.705,NA,2.438,NA
63264334,60.704,NA,5.486,NA,2.743,NA
63264335,202.347,NA,2.133,NA,1.676,NA
63264336,154.593,NA,2.438,NA,2.438,NA
63264337,197.896,NA,15.239,NA,3.657,4.267
63264338,30.352,NA,5.791,NA,1.524,1.829
63264339,48.604,NA,6.705,NA,2.286,NA
63264340,283.286,NA,13.715,NA,3.657,NA
63264341,40.469,NA,0.914,NA,NA,NA
63264342,26.305,NA,18.287,NA,3.962,NA
63264343,6879.806,NA,31.088,NA,2.133,5.486
63264344,6985.026,NA,37.184,NA,3.048,3.657
63264345,196.074,NA,46.327,NA,4.115,5.181
63264346,52.61,NA,4.572,NA,3.048,3.657
63264348,1748.28,NA,30.479,NA,3.048,4.572
63264349,6758.397,NA,22.249,NA,1.829,3.657
63264350,4099.555,NA,15.239,NA,3.657,4.572
63264351,11.129,NA,3.657,NA,NA,NA
63264352,11.129,NA,3.657,NA,NA,NA
63264353,1373.938,NA,24.383,NA,3.048,3.657
63264354,6730.069,NA,44.803,NA,3.048,3.657
63264355,21.651,NA,1.219,NA,1.219,NA
63264356,29.543,NA,27.431,NA,6.629,NA
63264357,6730.069,NA,44.803,NA,3.048,3.657
63264358,21.651,NA,1.219,NA,1.219,NA
63264359,29.543,NA,27.431,NA,6.4,6.705
63264360,29.543,NA,27.431,NA,6.629,NA
63264361,29.543,NA,27.431,NA,6.629,NA
63264362,29.543,NA,27.431,NA,6.629,NA
63264363,29.543,NA,27.431,NA,6.4,6.705
63264364,12.546,NA,12.191,NA,4.572,NA
63264367,12.546,NA,12.191,NA,4.572,NA
63264368,9.713,NA,1.829,NA,1.829,NA
63264369,12.141,NA,7.62,NA,5.181,NA
63264370,226.629,NA,10.667,NA,NA,NA
63264371,14.164,NA,7.62,NA,NA,NA
63264372,3.44,NA,16.458,NA,NA,NA
63264373,333.873,NA,6.096,NA,3.962,NA
63264374,89.033,NA,8.382,NA,NA,NA
63264375,3.764,NA,15.849,NA,NA,NA
63264376,226.629,NA,10.667,NA,NA,NA
63264377,89.033,NA,6.096,NA,NA,NA
63264378,7.568,NA,12.191,NA,NA,NA
63264379,7.568,NA,12.801,NA,NA,NA
63264380,17.402,NA,4.572,NA,NA,NA
63264381,49.089,NA,7.924,NA,7.62,NA
63264382,59.045,NA,16.763,NA,4.877,NA
63264383,9.47,NA,2.438,NA,NA,NA
63264384,26.305,NA,3.657,NA,NA,NA
63264385,106.839,NA,7.315,NA,4.419,NA
63264386,7.608,NA,6.4,NA,3.048,NA
63264387,6.475,NA,NA,NA,NA,NA
63264388,93.08,NA,18.287,NA,NA,NA
63264389,12.303,NA,3.657,NA,NA,NA
63264390,70.822,NA,10.363,NA,3.353,3.657
63264391,47.754,NA,25.907,NA,NA,NA
