"subject_id","min_shoal_pct","max_shoal_pct"
63264309,45,NA
63264310,20,NA
63264312,90,NA
63264313,30,NA
63264314,20,NA
63264315,85,NA
63264317,10,15
63264319,100,NA
63264321,2,NA
63264322,15,NA
63264324,80,NA
63264326,100,NA
63264327,90,NA
63264328,40,NA
63264329,90,NA
63264330,100,NA
63264331,100,NA
63264332,90,NA
63264333,43,NA
63264334,60,NA
63264336,100,NA
63264337,60,NA
63264338,85,NA
63264339,60,NA
63264343,5,NA
63264344,15,NA
63264345,15,NA
63264346,100,NA
63264348,40,NA
63264349,25,NA
63264350,20,NA
63264351,60,NA
63264352,60,NA
63264353,50,NA
63264354,15,NA
63264357,15,NA
63264364,10,15
63264368,100,NA
63264370,35,NA
63264371,70,NA
63264372,15,NA
63264373,98,NA
63264376,25,NA
63264379,40,NA
63264381,30,NA
63264382,25,NA
63264384,100,NA
63264385,95,NA
63264386,95,NA
63264387,100,NA
63264388,45,NA
63264389,100,NA
63264391,25,NA
63264392,70,NA
63264393,NA,NA
63264394,80,NA
63264395,90,NA
63264396,45,NA
63264397,45,NA
63264398,100,NA
63264399,75,NA
63264400,10,NA
63264401,85,NA
63264402,100,NA
63264403,33,NA
63264404,70,NA
63264405,80,NA
63264406,80,NA
63264407,100,NA
63264408,100,NA
63264409,100,NA
63264410,25,NA
63264411,100,NA
63264412,25,NA
63264413,10,NA
63264414,30,NA
63264415,95,NA
63264417,30,NA
63264419,90,NA
63264422,50,NA
63264425,90,NA
63264427,40,NA
63264430,70,NA
63264431,45,NA
63264432,20,NA
63264433,100,NA
63264435,65,NA
63264436,80,NA
63264439,70,NA
63264440,40,NA
63264441,90,NA
63264442,30,NA
63264443,95,NA
63264444,15,NA
63264447,90,NA
63264451,25,NA
63264454,90,NA
63264455,95,NA
63264459,100,NA
63264460,85,NA
63264462,35,NA
63264463,50,NA
63264465,85,NA
63264468,50,NA
63264469,98,NA
63264472,100,NA
63264473,100,NA
63264477,60,NA
63264479,20,NA
63264481,90,NA
63264490,100,NA
63264491,5,NA
63264493,65,75
63264496,80,NA
63264500,5,NA
63264502,20,NA
63264503,100,NA
63264504,99,NA
63264505,60,NA
63264507,50,NA
63264508,100,NA
63264515,50,NA
63264517,100,NA
63264520,10,NA
63264523,40,NA
63264524,75,NA
63264525,50,60
63264526,85,NA
63264528,20,NA
63264530,100,NA
63264531,85,NA
63264534,40,NA
63264540,60,NA
63264543,50,NA
63264544,100,NA
63264545,25,NA
63264546,100,NA
63264547,60,NA
63264549,30,NA
63264550,10,NA
63264551,90,NA
63264553,90,NA
63264557,30,NA
63264559,40,NA
63264560,40,NA
63264561,40,NA
63264563,50,NA
63264565,40,NA
63264566,50,NA
63264571,20,NA
63264573,75,NA
63264574,90,NA
63264579,90,NA
63264583,75,NA
63264584,100,NA
63264585,80,NA
63264587,90,NA
63264591,30,NA
63264593,40,NA
63264595,30,NA
63264596,50,NA
63264599,20,NA
63264600,20,NA
63264603,NA,NA
63264608,15,NA
63264609,100,NA
63264610,75,NA
63264611,100,NA
63264612,85,NA
63264614,20,NA
63264615,60,NA
63264618,20,NA
63264620,100,NA
63264623,25,NA
63264625,5,NA
63264626,100,NA
63264627,20,NA
63264629,50,NA
63264631,98,NA
63264632,80,NA
63264633,20,NA
63264634,100,NA
63264635,95,NA
63264638,40,NA
63264640,15,NA
63264641,100,NA
63264642,75,NA
63264643,80,NA
63264645,60,NA
63264646,98,NA
63264648,70,NA
63264649,100,NA
63264650,98,NA
63264651,100,NA
63264652,65,NA
63264653,40,NA
63264654,100,NA
63264656,100,NA
63264657,17,NA
63264659,93,NA
63264661,100,NA
63264662,100,NA
63264663,5,NA
63264665,70,NA
63264667,40,NA
63264668,10,NA
63264670,10,NA
63264675,30,40
63264676,65,NA
63264678,30,40
63264681,60,NA
63264684,70,NA
63264685,100,NA
63264692,100,NA
63264693,75,NA
63264694,60,NA
63264695,100,NA
63264697,60,NA
63264698,90,NA
63264699,70,NA
63264704,100,NA
63264705,10,NA
63264706,40,NA
63264707,60,NA
63264708,10,NA
63264709,75,NA
63264710,95,NA
63264712,0,NA
63264714,10,NA
63264716,90,NA
63264717,100,NA
63264720,85,NA
63264721,60,NA
63264722,85,NA
63264723,100,NA
63264724,35,NA
63264725,100,NA
63264726,100,NA
63264727,100,NA
63264728,30,NA
63264731,30,NA
63264732,25,NA
63264733,40,NA
63264734,100,NA
63264735,100,NA
63264737,85,NA
63264738,100,NA
63264741,80,NA
63264742,90,NA
63264745,70,NA
63264747,100,NA
63264750,80,NA
63264751,50,NA
63264752,15,NA
63264753,100,NA
63264754,NA,NA
63264756,95,NA
63264758,NA,NA
63264759,NA,NA
63264760,NA,NA
63264762,NA,NA
63264764,NA,NA
63264765,15,NA
63264766,20,NA
63264767,20,NA
63264768,15,NA
63264774,100,NA
63264776,10,NA
63264777,35,NA
63264778,35,NA
63264780,40,NA
63264781,25,NA
63264783,40,NA
63264784,25,NA
63264785,25,NA
63264787,15,NA
63264789,30,NA
63264792,15,NA
63264797,60,NA
63264798,10,NA
63264800,10,NA
63264801,40,NA
63264802,20,NA
63264803,5,NA
63264804,100,NA
63264806,30,NA
63264807,100,NA
63264809,100,NA
63264810,30,NA
63264811,15,NA
63264815,100,NA
63264816,100,NA
63264818,65,NA
63264819,50,NA
63264821,50,NA
63264828,30,NA
63264832,75,NA
63264834,20,NA
63264836,40,NA
63264837,50,NA
63264840,100,NA
63264841,100,NA
63264842,90,NA
63264843,25,NA
63264844,100,NA
63264845,50,NA
63264848,50,NA
63264851,90,NA
63264853,50,NA
63264854,60,NA
63264856,40,NA
63264857,70,NA
63264858,2,NA
63264859,50,NA
63264860,65,NA
63264861,35,NA
63264865,40,NA
63264870,10,NA
63264872,50,NA
63264877,100,NA
63264879,75,NA
63264880,75,NA
63264881,50,NA
63264883,85,NA
63264885,100,NA
63264888,100,NA
63264889,60,NA
63264891,60,NA
63264892,15,NA
63264894,5,NA
63264895,5,NA
63264896,40,NA
63264898,30,NA
63264900,60,NA
63264903,85,NA
63264905,60,NA
63264907,20,NA
63264908,60,NA
63264911,20,NA
63264913,25,NA
63264917,95,NA
63264919,20,NA
63264920,50,NA
63264922,5,NA
63264923,30,NA
63264924,20,NA
63264927,20,NA
63264929,30,NA
63264937,70,NA
63264939,48,NA
63264940,70,NA
63264942,10,NA
63264943,90,NA
63264944,80,NA
63264946,50,NA
63264951,30,NA
63264952,100,NA
63264953,60,NA
63264954,85,NA
63264955,50,NA
63264959,50,NA
63264960,100,NA
63264961,30,NA
63264964,20,NA
63264965,60,NA
63264966,45,NA
63264971,50,NA
63264972,10,NA
63264973,10,NA
63264974,63,NA
63264976,100,NA
63264979,95,NA
63264980,70,NA
63264982,50,NA
63264983,75,NA
63264986,50,NA
63264987,40,NA
63264988,100,NA
63264990,25,NA
63264991,10,NA
63264992,20,NA
63264995,10,NA
63264996,50,NA
63264997,70,NA
63264998,100,NA
63264999,100,NA
63265003,60,NA
63265008,70,NA
63265010,80,NA
63265011,75,NA
63265013,100,NA
63265014,25,NA
63265015,80,NA
63265018,45,NA
63265019,10,NA
63265021,62,NA
63265022,62,NA
63265025,40,NA
63265027,40,NA
63265028,95,NA
63265029,100,NA
63265030,95,NA
63265031,60,NA
63265032,95,NA
63265033,50,NA
63265034,100,NA
63265036,50,NA
63265038,100,NA
63265039,25,NA
63265041,100,NA
63265043,57,NA
63265044,80,NA
63265046,20,25
63265047,10,NA
63265048,75,NA
63265051,3,NA
63265052,10,NA
63265055,40,NA
63265056,90,NA
63265058,50,NA
63265060,85,NA
63265061,40,NA
63265064,30,NA
63265066,35,NA
63265067,79,NA
63265068,45,NA
63265069,65,NA
63265070,50,NA
63265071,60,NA
63265072,30,NA
63265074,45,NA
63265075,10,NA
63265076,40,NA
63265077,60,NA
63265080,100,NA
63265081,33,NA
63265082,10,NA
63265084,60,NA
63265085,20,NA
63265086,100,NA
63265087,75,NA
63265090,90,NA
63265091,100,NA
63265094,100,NA
63265096,100,NA
63265097,60,NA
63265101,100,NA
63265102,100,NA
63265103,30,NA
63265104,100,NA
63265106,56,NA
63265107,70,NA
63265109,15,NA
63265111,25,NA
63265113,100,NA
63265114,85,NA
63265115,70,NA
63265123,5,NA
63265124,32,NA
63265125,50,NA
63265126,98,NA
63265127,5,NA
63265130,10,NA
63265132,80,NA
63265134,96,NA
63265135,100,NA
63265141,95,NA
63265142,50,NA
63265143,60,NA
63265144,5,NA
63265145,59,NA
63265146,66,NA
63265149,60,NA
63265150,100,NA
63265151,100,NA
63265152,100,NA
63265155,NA,NA
63265156,100,NA
63265160,80,NA
63265162,100,NA
63265163,4,NA
63265164,95,NA
63265167,75,NA
63265168,70,NA
63265173,100,NA
63265174,75,NA
63265176,90,NA
63265178,25,NA
63265180,100,NA
63265184,20,NA
63265186,100,NA
63265187,10,NA
63265188,20,NA
63265190,98,NA
63265191,98,NA
63265192,85,NA
63265193,20,NA
63265194,100,NA
63265195,90,NA
63265196,25,NA
63265198,35,NA
63265199,35,NA
63265200,35,NA
63265201,80,NA
63265203,90,NA
63265204,10,NA
63265206,60,NA
63265208,50,NA
63265209,35,NA
63265210,60,NA
63265213,100,NA
63265214,30,NA
63265216,60,NA
63265221,100,NA
63265222,78,NA
63265224,70,NA
63265229,25,NA
63265234,100,NA
63265238,100,NA
63265240,100,NA
63265241,60,NA
63265242,85,NA
63265243,100,NA
63265246,35,NA
63265247,100,NA
63265249,50,NA
63265251,85,NA
63265252,10,NA
63265256,75,NA
63265257,80,NA
63265260,65,NA
63265261,100,NA
63265262,80,NA
63265264,29,NA
63265265,80,NA
63265266,25,NA
63265269,10,NA
63265270,5,NA
63265273,5,NA
63265275,100,NA
63265276,20,NA
63265277,50,NA
63265278,20,NA
63265279,95,NA
63265281,20,NA
63265284,70,NA
63265286,50,NA
63265287,60,NA
63265289,10,NA
63265291,10,NA
63265292,40,NA
63265294,25,NA
63265295,40,NA
63265296,23,NA
63265297,60,NA
63265298,20,NA
63265299,NA,NA
63265300,80,NA
63265302,100,NA
63265303,20,NA
63265304,100,NA
63265305,35,NA
63265306,10,NA
63265310,100,NA
63265311,100,NA
63265312,10,NA
63265316,15,NA
63265317,30,NA
63265318,40,NA
63265319,40,NA
63265320,95,NA
63265321,50,NA
63265322,40,NA
63265323,15,NA
63265324,30,NA
63265325,75,NA
63265326,30,NA
63265328,100,NA
63265329,75,NA
63265331,40,NA
63265332,30,NA
63265333,25,NA
63265334,100,NA
63265337,100,NA
63265338,80,NA
63265341,90,NA
63265343,85,NA
63265344,100,NA
63265347,70,NA
63265349,20,NA
63265350,100,NA
63265351,50,NA
63265353,15,NA
63265354,NA,NA
63265356,80,NA
63265359,NA,NA
63265360,NA,NA
63265363,15,NA
63265364,NA,NA
63265366,20,NA
63265371,10,NA
63265374,100,NA
63265377,35,NA
63265378,15,NA
63265381,40,NA
63265382,25,NA
63265383,30,NA
63265385,15,NA
63265390,60,NA
63265391,10,NA
63265392,40,NA
63265394,25,NA
63265395,10,NA
63265397,20,NA
63265398,5,NA
63265399,50,NA
63265401,30,NA
63265403,25,NA
63265410,75,NA
63265411,20,NA
63265414,50,NA
63265416,90,NA
63265417,100,NA
63265418,25,NA
63265419,100,NA
63265420,50,NA
63265421,50,NA
63265422,100,NA
63265425,90,NA
63265426,60,NA
63265428,65,NA
63265430,50,NA
63265431,40,NA
63265432,50,NA
63265433,2,NA
63265437,35,NA
63265438,100,NA
63265439,100,NA
63265442,50,NA
63265445,18,NA
63265446,40,NA
63265448,100,NA
63265456,0,NA
63265457,50,NA
63265458,60,NA
63265460,20,NA
63265461,95,NA
63265462,95,NA
63265463,60,NA
63265465,60,NA
63265466,75,NA
63265470,50,NA
63265471,85,NA
63265472,100,NA
63265474,40,NA
63265475,95,NA
63265476,25,NA
63265479,44,NA
63265480,80,NA
63265481,50,NA
63265482,5,NA
63265483,100,NA
63265484,90,NA
63265485,30,NA
63265487,40,NA
63265488,30,NA
63265489,30,NA
63265490,50,NA
63265491,40,NA
63265492,85,NA
63265493,100,NA
63265494,60,NA
63265495,25,NA
63265496,100,NA
63265497,20,NA
63265501,100,NA
63265502,60,NA
63265503,49,NA
63265508,100,NA
63265511,100,NA
63265515,20,NA
63265520,100,NA
63265525,100,NA
