"subject_id","thermocline_loc_min_m","thermocline_loc_max_m","flag_bottom","thermocline_present"
63264307,12.801,15.239,NA,"yes"
63264309,NA,NA,NA,NA
63264310,4.572,9.144,NA,NA
63264311,12.801,15.239,NA,"yes"
63264312,NA,NA,NA,NA
63264313,8.229,9.144,NA,NA
63264314,4.572,7.62,NA,NA
63264317,4.572,88.692,NA,"yes"
63264320,NA,NA,NA,NA
63264321,2.438,6.096,NA,NA
63264325,6.096,10.667,NA,NA
63264327,NA,NA,NA,NA
63264328,4.572,8.229,NA,"yes"
63264333,NA,NA,NA,"no"
63264337,7.62,10.667,NA,NA
63264338,3.657,5.791,NA,NA
63264340,7.315,10.058,NA,"yes"
63264343,4.572,10.667,NA,NA
63264344,10.667,15.239,NA,NA
63264345,9.144,NA,NA,"yes"
63264346,NA,NA,NA,NA
63264347,7.62,15.239,NA,"yes"
63264349,8.229,11.887,NA,NA
63264350,12.191,13.106,NA,"yes"
63264353,10.667,15.239,NA,NA
63264354,9.144,13.715,NA,NA
63264355,NA,NA,NA,"no"
63264356,8.534,16.458,NA,"yes"
63264357,9.144,13.715,NA,NA
63264360,8.534,16.458,NA,"yes"
63264361,8.534,16.458,NA,"yes"
63264362,8.534,16.458,NA,"yes"
63264364,4.572,7.315,NA,"yes"
63264365,4.572,7.315,NA,"yes"
63264366,4.572,7.315,NA,"yes"
63264368,NA,NA,NA,NA
63264369,6.858,7.62,"yes","yes"
63264370,3.657,6.4,NA,NA
63264372,6.096,9.144,NA,"yes"
63264374,3.81,6.553,NA,NA
63264375,4.572,12.191,NA,"yes"
63264376,NA,NA,NA,NA
63264379,7.62,10.667,NA,"yes"
63264381,NA,NA,NA,"no"
63264383,NA,NA,NA,NA
63264385,1.829,4.115,NA,"yes"
63264388,7.315,10.972,NA,NA
63264392,3.657,6.096,NA,NA
63264393,1.524,7.62,NA,NA
63264395,3.048,4.572,NA,NA
63264401,4.572,5.334,NA,NA
63264404,5.486,8.229,NA,NA
63264407,NA,NA,NA,"no"
63264408,NA,NA,NA,NA
63264410,6.096,9.144,NA,NA
63264411,1.829,NA,NA,NA
63264412,5.334,9.144,NA,NA
63264415,5.486,3.657,NA,"yes"
63264416,2.743,3.657,NA,NA
63264417,5.486,9.906,NA,NA
63264418,6.4,NA,NA,"yes"
63264419,0.61,1.829,NA,"yes"
63264420,5.181,NA,NA,"yes"
63264422,9.906,12.191,NA,"yes"
63264424,6.096,8.229,"yes","yes"
63264425,5.334,9.144,NA,"yes"
63264427,7.62,12.191,NA,NA
63264428,6.096,10.667,NA,"yes"
63264429,3.657,5.181,NA,NA
63264430,8.229,5.486,NA,"yes"
63264431,3.657,5.486,NA,"yes"
63264434,NA,NA,NA,NA
63264435,5.334,7.772,NA,NA
63264436,3.657,5.181,NA,NA
63264437,3.048,6.705,NA,"yes"
63264438,3.657,2.438,NA,"yes"
63264439,6.096,9.144,NA,NA
63264440,3.81,7.01,NA,NA
63264441,NA,NA,NA,NA
63264442,3.657,6.096,NA,NA
63264444,3.657,6.4,NA,NA
63264445,2.743,3.657,NA,NA
63264450,3.048,4.572,NA,NA
63264451,1.829,6.4,NA,NA
63264454,2.133,3.962,NA,NA
63264457,1.524,4.572,NA,NA
63264461,0.305,3.048,NA,"yes"
63264462,3.657,9.144,NA,"yes"
63264466,5.334,6.858,NA,NA
63264467,1,NA,NA,NA
63264468,NA,NA,NA,NA
63264470,2.743,8.229,NA,NA
63264472,NA,NA,NA,NA
63264474,3.962,5.181,NA,NA
63264475,NA,NA,NA,NA
63264476,6.096,9.144,NA,NA
63264477,4.572,10.058,NA,NA
63264478,1.524,2.438,NA,NA
63264480,2.743,3.657,NA,NA
63264481,NA,NA,NA,NA
63264482,NA,NA,NA,NA
63264484,NA,NA,NA,NA
63264485,2.438,7.01,NA,"yes"
63264489,5.181,7.01,NA,NA
63264491,3.657,9.144,NA,"yes"
63264493,3.657,4.572,NA,NA
63264494,1,5,NA,NA
63264495,NA,NA,NA,"no"
63264496,2.743,5.486,NA,NA
63264499,NA,NA,NA,NA
63264501,0.914,9.144,NA,"yes"
63264502,1.829,5.486,NA,NA
63264504,NA,NA,NA,NA
63264507,0.914,4.572,NA,NA
63264508,NA,NA,NA,NA
63264509,3,5,NA,NA
63264511,1.829,5.486,NA,NA
63264513,6.096,9.144,NA,"yes"
63264516,1,6,NA,NA
63264519,1,5,NA,NA
63264527,NA,NA,NA,"no"
63264530,2.743,3.657,NA,NA
63264535,1,6,NA,NA
63264537,1.829,2.743,NA,NA
63264538,3.048,6.4,NA,NA
63264546,NA,NA,NA,NA
63264547,3.657,4.572,NA,NA
63264550,4.572,11.887,NA,"yes"
63264552,1.829,4.572,NA,"yes"
63264553,2.438,3.048,NA,NA
63264558,7.62,10.667,NA,"yes"
63264562,2.286,5.334,NA,NA
63264575,9.144,15.239,NA,NA
63264582,10.667,15.239,NA,NA
63264588,11.429,13.715,NA,NA
63264595,7.01,8.229,NA,"yes"
63264597,5.486,7.315,NA,NA
63264598,9.144,13.715,NA,NA
63264599,7.62,10.667,NA,NA
63264607,121.914,NA,NA,"yes"
63264609,NA,NA,NA,NA
63264610,4.572,6.705,"yes",NA
63264613,5.334,7.62,NA,NA
63264614,3.353,6.096,NA,NA
63264616,5.486,7.924,NA,NA
63264617,2.743,3.657,NA,NA
63264618,3.048,9.144,NA,"yes"
63264620,NA,NA,NA,NA
63264621,2.743,5.486,NA,"yes"
63264622,0.762,1.524,NA,NA
63264624,NA,NA,NA,NA
63264626,NA,NA,NA,NA
63264627,5.486,6.4,NA,"yes"
63264629,4.572,7.62,NA,"yes"
63264630,NA,NA,NA,NA
63264631,1.524,4.267,NA,NA
63264633,1.524,4.572,NA,"yes"
63264635,2.743,5.791,"yes",NA
63264642,4.572,9.144,NA,NA
63264643,5.486,8.534,NA,"yes"
63264645,3.048,6.705,"yes","yes"
63264646,NA,NA,NA,"no"
63264648,1.524,6.096,"yes",NA
63264649,NA,NA,NA,NA
63264650,NA,NA,NA,NA
63264651,NA,NA,NA,"no"
63264652,4.572,7.62,"yes",NA
63264653,4.572,9.144,NA,NA
63264654,2.438,4.267,"yes",NA
63264655,3.048,4.572,"yes",NA
63264656,3.048,4.419,"yes",NA
63264657,4.572,12.191,NA,"yes"
63264658,3.048,7.62,NA,"yes"
63264659,6.096,6.858,"yes",NA
63264663,4.572,9.144,NA,NA
63264664,4.572,7.62,NA,NA
63264665,2.133,5.791,NA,NA
63264666,4.572,9.144,NA,NA
63264667,6.096,9.144,NA,"yes"
63264669,NA,NA,NA,NA
63264670,6.096,NA,NA,"yes"
63264672,3,5,NA,NA
63264673,NA,NA,NA,NA
63264676,3.657,4.267,NA,"yes"
63264677,7.62,12.191,NA,"yes"
63264678,3.048,6.096,NA,NA
63264679,7.62,10.667,NA,NA
63264686,10.972,NA,NA,"yes"
63264687,1.524,5.334,NA,NA
63264689,4.572,7.924,NA,"yes"
63264690,6.4,9.144,NA,"yes"
63264691,NA,NA,NA,NA
63264692,NA,NA,NA,NA
63264693,NA,NA,NA,NA
63264694,3.048,7.62,NA,"yes"
63264699,4.572,11.582,NA,"yes"
63264700,NA,NA,NA,"no"
63264701,4.572,7.62,NA,"yes"
63264702,4.572,6.096,NA,NA
63264703,4.572,7.62,NA,"yes"
63264708,4.572,9.906,NA,"yes"
63264709,3.048,3.81,NA,NA
63264710,4.572,7.62,NA,NA
63264711,1.524,3.048,NA,NA
63264713,6.858,9.906,NA,NA
63264714,3.048,6.4,"yes","yes"
63264716,4.572,8.229,NA,"yes"
63264717,0.914,2.438,"yes","yes"
63264718,2.133,5.181,NA,"yes"
63264719,0.914,3.657,NA,"yes"
63264720,6.096,9.144,NA,NA
63264721,6.4,9.144,NA,"yes"
63264722,5.334,6.4,NA,NA
63264728,4.572,7.62,NA,"yes"
63264729,5.486,8.229,NA,"yes"
63264731,4.572,7.62,NA,NA
63264732,6.096,9.753,NA,NA
63264735,2.133,2.743,NA,"yes"
63264736,6.096,9.144,NA,"yes"
63264737,6.096,10.667,NA,NA
63264741,3.048,6.096,NA,"yes"
63264742,1.524,3.657,NA,"yes"
63264743,4.572,7.62,NA,"yes"
63264745,3.048,7.62,NA,"yes"
63264748,3.048,6.858,NA,"yes"
63264750,NA,NA,NA,NA
63264751,NA,NA,NA,"no"
63264752,5.334,9.906,NA,NA
63264755,7.62,NA,NA,NA
63264756,NA,NA,NA,NA
63264759,3.81,NA,"yes","yes"
63264761,2.743,8.229,NA,"yes"
63264763,6.096,12.191,NA,"yes"
63264765,2.743,NA,NA,"yes"
63264766,4.572,NA,NA,"yes"
63264767,4.572,NA,NA,"yes"
63264768,2.743,NA,NA,"yes"
63264773,4.572,9.144,NA,"yes"
63264776,5.334,10.667,NA,NA
63264779,6.096,6.858,NA,"yes"
63264780,4.572,9.144,NA,"yes"
63264781,2.743,NA,NA,"yes"
63264783,4.572,9.144,NA,"yes"
63264784,6.096,10.667,NA,"yes"
63264785,2.743,NA,NA,"yes"
63264787,3.048,7.62,NA,NA
63264788,3.048,8.229,NA,"yes"
63264793,4.572,10.058,NA,"yes"
63264794,NA,NA,NA,NA
63264795,4.572,9.144,NA,"yes"
63264796,3.048,6.096,NA,NA
63264797,3.962,7.01,NA,NA
63264798,6.096,9.144,NA,"yes"
63264800,4.572,9.144,NA,NA
63264801,4.572,7.924,NA,NA
63264803,4.572,9.144,NA,NA
63264806,6.4,8.839,NA,"yes"
63264809,NA,NA,NA,NA
63264810,5.486,8.229,NA,"yes"
63264812,2.743,5.486,NA,"yes"
63264814,2.743,5.486,NA,"yes"
63264820,7.315,9.144,NA,"yes"
63264822,NA,NA,NA,"no"
63264823,6.096,7.62,NA,NA
63264824,4.572,9.144,"yes",NA
63264830,4.572,8.229,NA,"yes"
63264831,4.572,6.858,NA,NA
63264835,NA,NA,NA,NA
63264836,NA,NA,NA,NA
63264846,6.096,10.667,NA,"yes"
63264849,6.096,NA,"yes","yes"
63264850,5.181,8.382,NA,NA
63264857,NA,NA,NA,NA
63264858,3.657,6.096,NA,"yes"
63264861,3.048,7.62,NA,"yes"
63264862,3.048,6.096,NA,"yes"
63264863,2.743,NA,NA,"yes"
63264864,3.048,5.181,NA,NA
63264865,4.572,7.62,NA,"yes"
63264866,NA,NA,NA,NA
63264868,3.048,7.62,NA,"yes"
63264871,5.181,9.144,NA,"yes"
63264876,NA,NA,NA,NA
63264883,5.181,6.705,NA,NA
63264885,NA,NA,NA,"no"
63264886,3.657,5.486,NA,"yes"
63264890,NA,NA,NA,"yes"
63264892,6.096,8.534,NA,NA
63264893,2.438,5.486,NA,"yes"
63264894,1.524,3.353,NA,"yes"
63264895,1.219,2.743,NA,"yes"
63264897,1.829,3.657,NA,"yes"
63264899,5.486,10.667,NA,NA
63264900,6.096,9.753,NA,NA
63264903,NA,NA,NA,NA
63264911,4.877,8.229,NA,"yes"
63264919,3.657,9.144,NA,"yes"
63264920,3.657,6.4,NA,"yes"
63264922,6.4,10.058,NA,"yes"
63264924,6.096,9.144,NA,NA
63264926,2.743,5.486,NA,"yes"
63264927,2.743,5.486,NA,"yes"
63264928,5.181,9.144,"yes","yes"
63264931,NA,NA,NA,NA
63264935,1.219,4.572,NA,"yes"
63264936,2.743,4.572,NA,"yes"
63264937,1.829,4.572,NA,"yes"
63264938,1.829,4.572,NA,"yes"
63264941,2.743,10.058,NA,"yes"
63264946,6.096,9.144,NA,"yes"
63264947,1.524,3.657,NA,"yes"
63264951,NA,NA,NA,NA
63264954,3.048,6.096,NA,NA
63264956,5.181,7.924,NA,"yes"
63264957,2.286,4.572,NA,NA
63264959,3.81,9.144,NA,NA
63264961,NA,NA,NA,"no"
63264964,1.524,7.01,NA,NA
63264968,5.486,8.229,NA,"yes"
63264970,9.753,13.715,NA,"yes"
63264978,NA,NA,NA,"no"
63264980,1.524,5.181,NA,NA
63264982,4.877,8.839,NA,NA
63264983,NA,4.572,NA,NA
63264986,2.743,3.048,NA,"yes"
63264988,1.829,NA,NA,"yes"
63264989,3.657,7.315,NA,"yes"
63264992,1.524,6.096,NA,"yes"
63264995,4.572,7.315,NA,"yes"
63264997,3.048,6.096,NA,"yes"
63265003,3.048,5.181,NA,"yes"
63265004,4.572,9.144,NA,"yes"
63265006,3.048,4.267,NA,"yes"
63265007,0.914,3.657,NA,"yes"
63265008,5.486,8.229,NA,"yes"
63265010,3.048,6.4,NA,"yes"
63265012,2.133,4.572,NA,"yes"
63265015,2.438,4.572,NA,NA
63265024,6.4,10.058,NA,"yes"
63265025,3.048,8.534,NA,NA
63265028,3.962,6.096,"yes","yes"
63265030,4.572,5.486,NA,"yes"
63265031,3.81,8.229,"yes","yes"
63265032,4.572,5.486,NA,"yes"
63265034,2.438,4.267,"yes","yes"
63265043,5.486,9.144,NA,"yes"
63265044,7.315,13.715,NA,"yes"
63265045,4.572,8.382,NA,NA
63265047,6.096,NA,NA,"yes"
63265048,2.438,6.705,NA,"yes"
63265049,3.657,10.058,NA,"yes"
63265050,3.657,7.62,NA,NA
63265052,4.572,10.667,NA,NA
63265055,7.62,9.144,NA,NA
63265058,7.62,9.144,NA,NA
63265061,4.877,7.62,NA,NA
63265062,NA,NA,NA,NA
63265063,2.133,4.572,NA,NA
63265064,4.572,9.144,NA,NA
63265065,10.667,12.191,NA,"yes"
63265066,4.572,9.144,NA,"yes"
63265068,9.144,NA,NA,NA
63265069,1.524,6.096,"yes",NA
63265070,3.657,6.4,NA,"yes"
63265072,1.524,7.62,NA,NA
63265073,3.048,7.62,NA,NA
