subject_id,URL 4,URL 8,workflow_id,task,Full Task Text,data.aligned_text,data.number_views,data.consensus_score,data.consensus_text,data.user_ids
82937251,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/SUMM/single/Alcona_Hubbard_SUMM_Doc1179.jpg,,17771,T8,T,"[['28N', '28N']]",2.0,2.0,28N,"[1484814.0, 2515800.0]"
82937251,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/SUMM/single/Alcona_Hubbard_SUMM_Doc1179.jpg,,17771,T9,R,"[['7E', '7E']]",2.0,2.0,7E,"[1484814.0, 2515800.0]"
82937251,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/SUMM/single/Alcona_Hubbard_SUMM_Doc1179.jpg,,17771,T10,S,[['Caledonia']],1.0,1.0,Caledonia,[1484814.0]
82937251,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/SUMM/single/Alcona_Hubbard_SUMM_Doc1179.jpg,,17771,T12,Name(s),"[['J.', 'J.', 'J.'], ['Metzelaar', 'Metzelaar,', 'Metzelaar'], ['&', '', '&'], ['T.', 'T.H.', 'T.'], ['H.', '', 'H.'], ['Langlois', 'Langlois', 'Langlois']]",3.0,2.3333333333333335,J. Metzelaar & T. H. Langlois,"[1484814.0, 2515800.0, 2271829.0]"
82940943,https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/SUMM/double/ALCONA_CLEAR_SUMM_0002_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/SUMM/double/ALCONA_CLEAR_SUMM_0002_2.jpeg,17771,T8,T,"[['26N', '26N', '26N']]",3.0,3.0,26N,"[1484814.0, 2288992.0, 2271829.0]"
82940943,https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/SUMM/double/ALCONA_CLEAR_SUMM_0002_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/SUMM/double/ALCONA_CLEAR_SUMM_0002_2.jpeg,17771,T9,R,"[['6E', '6E', '6E']]",3.0,3.0,6E,"[1484814.0, 2288992.0, 2271829.0]"
82940943,https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/SUMM/double/ALCONA_CLEAR_SUMM_0002_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/SUMM/double/ALCONA_CLEAR_SUMM_0002_2.jpeg,17771,T10,S,"[['19-20,', '19,20,29,30', '19-'], ['', '', '20,'], ['29-30', '', '29-30']]",3.0,1.3333333333333333,"19, 20, 29, 30","[1484814.0, 2288992.0, 2271829.0]"
82940943,https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/SUMM/double/ALCONA_CLEAR_SUMM_0002_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/SUMM/double/ALCONA_CLEAR_SUMM_0002_2.jpeg,17771,T12,Name(s),"[['F.P.', 'F.P.', 'F.'], ['', '', 'P.']]",3.0,1.5,F. P.,"[1484814.0, 2288992.0, 2271829.0]"
82940945,https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/SUMM/double/ALCONA_HUBBARD_SUMM_0001_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/SUMM/double/ALCONA_HUBBARD_SUMM_0001_2.jpeg,17771,T8,T,"[['28N', '28N', '28N']]",3.0,3.0,28N,"[2271829.0, 2288992.0, 1484814.0]"
82940945,https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/SUMM/double/ALCONA_HUBBARD_SUMM_0001_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/SUMM/double/ALCONA_HUBBARD_SUMM_0001_2.jpeg,17771,T9,R,"[['7E', '7E', '7E']]",3.0,3.0,7E,"[2271829.0, 2288992.0, 1484814.0]"
