"subject_id","begin_date_day","begin_date_month","begin_date_year","end_date_day","end_date_month","end_date_year","url_front","url_back"
82937251,NA,"April","1926",NA,NA,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/SUMM/single/Alcona_Hubbard_SUMM_Doc1179.jpg",NA
82940943,"19","July","1937",NA,NA,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/SUMM/double/ALCONA_CLEAR_SUMM_0002_1.jpeg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/SUMM/double/ALCONA_CLEAR_SUMM_0002_2.jpeg"
82940945,NA,"April","1926",NA,NA,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/SUMM/double/ALCONA_HUBBARD_SUMM_0001_1.jpeg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/SUMM/double/ALCONA_HUBBARD_SUMM_0001_2.jpeg"
82940947,"16","July","1932",NA,NA,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/SUMM/double/ALCONA_NORTH_SUMM_0001_1.jpeg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/SUMM/double/ALCONA_NORTH_SUMM_0001_2.jpeg"
82940949,"3","November","1982","4","November","1982","https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/SUMM/double/ALGER_CASEY_SUMM_0001_1.jpeg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/SUMM/double/ALGER_CASEY_SUMM_0001_2.jpeg"
82940950,"24","August","1983","26","August","1983","https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/SUMM/double/ALGER_CLOVERLEAF_SUMM_0002_1.jpeg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/SUMM/double/ALGER_CLOVERLEAF_SUMM_0002_2.jpeg"
82940951,"31","July","1986",NA,NA,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/SUMM/double/ALGER_COOK_SUMM_0001_1.jpeg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/SUMM/double/ALGER_COOK_SUMM_0001_2.jpeg"
82940952,"8","August","1977","8","September","1977","https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/SUMM/double/ALGER_DEER_SUMM_0001_1.jpeg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/SUMM/double/ALGER_DEER_SUMM_0001_2.jpeg"
82940953,"14","October","1982","15","October","1982","https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/SUMM/double/ALGER_DEERFOOT_SUMM_0001_1.jpeg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/SUMM/double/ALGER_DEERFOOT_SUMM_0001_2.jpeg"
82940954,"14","October","1982","14","October","1982","https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/SUMM/double/ALGER_GRASS_SUMM_0002_1.jpeg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/SUMM/double/ALGER_GRASS_SUMM_0002_2.jpeg"
82940955,"6","June","1989","15","June","1989","https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/SUMM/double/ALGER_GRIMES_SUMM_0003_1.jpeg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/SUMM/double/ALGER_GRIMES_SUMM_0003_2.jpeg"
82940956,"12","October","1982","14","October","1982","https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/SUMM/double/ALGER_HEMLOCK_SUMM_0001_1.jpeg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/SUMM/double/ALGER_HEMLOCK_SUMM_0001_2.jpeg"
82940957,"22","May","1989","26","May","1989","https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/SUMM/double/ALGER_HOVEY_SUMM_0001_1.jpeg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/SUMM/double/ALGER_HOVEY_SUMM_0001_2.jpeg"
82940958,"30","May","1989","1","June","1989","https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/SUMM/double/ALGER_ISLAND_SUMM_0001_1.jpeg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/SUMM/double/ALGER_ISLAND_SUMM_0001_2.jpeg"
82940959,"14","October","1982","15","October","1982","https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/SUMM/double/ALGER_LAMBERT_SUMM_0001_1.jpeg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/SUMM/double/ALGER_LAMBERT_SUMM_0001_2.jpeg"
82940960,"13","October","1982",NA,NA,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/SUMM/double/ALGER_MARSHMAN_SUMM_0001_1.jpeg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/SUMM/double/ALGER_MARSHMAN_SUMM_0001_2.jpeg"
82940961,"14","October","1982","15","October","1982","https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/SUMM/double/ALGER_OWL_SUMM_0001_1.jpeg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/SUMM/double/ALGER_OWL_SUMM_0001_2.jpeg"
82940962,"12","October","1982","13","October","1982","https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/SUMM/double/ALGER_SAND48NR14W20_SUMM_0001_1.jpeg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/SUMM/double/ALGER_SAND48NR14W20_SUMM_0001_2.jpeg"
82940963,"13","June","1989","21","June","1989","https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/SUMM/double/ALGER_THORNTON_SUMM_0002_1.jpeg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/SUMM/double/ALGER_THORNTON_SUMM_0002_2.jpeg"
82940964,"11","October","1982","12","October","1982","https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/SUMM/double/ALGER_TRIANGLE_SUMM_0001_1.jpeg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/SUMM/double/ALGER_TRIANGLE_SUMM_0001_2.jpeg"
82940965,"21","July","1937",NA,NA,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/SUMM/double/ALLEGAN_DUMONT_SUMM_0003_1.jpeg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/SUMM/double/ALLEGAN_DUMONT_SUMM_0003_2.jpeg"
82940966,"24","July","1981",NA,NA,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/SUMM/double/BARAGA_STJOHNS_SUMM_0001_1.jpeg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/SUMM/double/BARAGA_STJOHNS_SUMM_0001_2.jpeg"
82940967,"23","April","1932",NA,NA,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/SUMM/double/JACKSON_BRICKYARD_SUMM_0001_1.jpeg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/SUMM/double/JACKSON_BRICKYARD_SUMM_0001_2.jpeg"
82940968,"22","April","1932",NA,NA,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/SUMM/double/JACKSON_BRICKYARD_SUMM_0002_1.jpeg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/SUMM/double/JACKSON_BRICKYARD_SUMM_0002_2.jpeg"
82940969,"29","August","1946",NA,NA,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/SUMM/double/JACKSON_BROWNS_SUMM_0001_1.jpeg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/SUMM/double/JACKSON_BROWNS_SUMM_0001_2.jpeg"
82940970,"11","August","1953","14","August","1953","https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/SUMM/double/JACKSON_CLARK_SUMM_0001_1.jpeg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/SUMM/double/JACKSON_CLARK_SUMM_0001_2.jpeg"
82940971,"21","January","1947",NA,NA,NA,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/SUMM/double/JACKSON_CASCADES_SUMM_0001_1.jpeg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/SUMM/double/JACKSON_CASCADES_SUMM_0001_2.jpeg"
82940972,"15","July","1936","22","July","1936","https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/SUMM/double/JACKSON_CLEAR_SUMM_0001_1.jpeg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/SUMM/double/JACKSON_CLEAR_SUMM_0001_2.jpeg"
82940973,"23","June","1953","12","August","1953","https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/SUMM/double/JACKSON_CRISPELL_SUMM_0001_1.jpeg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/SUMM/double/JACKSON_CRISPELL_SUMM_0001_2.jpeg"
82940974,"19","June","1953","25","June","1953","https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/SUMM/double/JACKSON_FARWELL_SUMM_0001_1.jpeg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/SUMM/double/JACKSON_FARWELL_SUMM_0001_2.jpeg"
