subject_id,workflow_id,task,data.aligned_text,data.number_views,data.consensus_score,data.consensus_text,data.user_ids
82940943,17911,T13,"[['Sunfish,', 'Sunfish,', 'Sunfish'], ['Lon', 'Long', ''], ['year,', 'Ears,', ''], ['Green', 'Green', ''], ['Sun', 'Sun,', ''], [',', '', ''], ['Warmouth', 'Warmouth', '']]",3,1.42857142857143,"Sunfish, Lon year, Green Sun , Warmouth","[2455277, 1312868, 1484814]"
82940943,17911,T19,"[['Goldfish', 'Goldfish', 'Goldfish']]",3,3,Goldfish,"[2455277, 1312868, 1484814]"
82940947,17911,T13,"[['sunfish', 'sunfish', 'Sunfish']]",3,2,sunfish,"[1312868, 1484814, 1691537]"
82940947,17911,T16,"[['lake', 'lake', ''], ['shiner,', 'shiners,', ''], ['spot-tail', 'spot-tail', 'spot-tail'], ['minnow', 'minnows', 'shiner']]",3,1.75,"lake shiner, spot-tail minnow","[1312868, 1484814, 1691537]"
82940950,17911,T13,"[['Green', 'Green', 'Green'], ['sunfish,', 'sunfish,', 'sunfish,'], ['Green', 'Green', 'Green'], ['X', 'X', 'X'], ['pumpkinsead', 'Pumpkinseed', 'Pumpkinseed'], ['hybrid', 'hybrids', 'hybrids']]",3,2.66666666666667,"Green sunfish, Green X Pumpkinseed hybrids","[1312868, 1484814, 1691537]"
82940957,17911,T16,"[['Northern', 'Northern'], ['Redbelly', 'Redbelly'], ['Dace', 'Dace']]",2,2,Northern Redbelly Dace,"[1484814, 1691537]"
82940957,17911,T19,"[['Nothern'], ['Redbelly'], ['Dace']]",1,1,Nothern Redbelly Dace,[1312868]
82940965,17911,T13,"[['Mud', 'Mud', 'Mud'], ['Pickerel,', 'Pickerel,', 'pickerel,'], ['Green', 'Green', 'Green'], ['Sunfish,', 'Sunfish,', 'sunfish,'], ['Long-eared', 'Long-eared', 'Long-eared'], ['Sunfish,', 'Sunfish', 'sunfish']]",3,2.33333333333333,"Mud Pickerel, Green Sunfish, Long-eared Sunfish,","[2244584, 1312868, 1484814]"
82940965,17911,T16,"[['Northern', 'Northern', 'Northern'], ['Steel', 'Steel', 'Steel'], ['Colored', 'Colored', 'Colored'], ['Shiner,', 'Shiner,', 'Shiner,'], ['Mud', 'Mud', ''], ['Minnow,', 'Minnow', 'Mudminnow,'], ['Brook', '', 'Brook'], ['Stickleback', '', 'Stickleback']]",3,2.375,"Northern Steel Colored Shiner, Mud Minnow, Brook Stickleback","[2244584, 1312868, 1484814]"
82940965,17911,T22,[['Carp']],1,1,Carp,[1312868]
