"subject_id","URL.4","URL.8","workflow_id","task","Full.Task.Text","data.aligned_text","data.number_views","data.consensus_score","data.consensus_text","data.user_ids","original_id"
83381046,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/SUMM/double/ALGER_CASEY_SUMM_0001_1.jpeg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/SUMM/double/ALGER_CASEY_SUMM_0001_2.jpeg",18891,"T0","Cottages","[['None', 'None', 'None']]",3,3,"None","[2376369, 1312868, 1325481]",82940949
83381046,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/SUMM/double/ALGER_CASEY_SUMM_0001_1.jpeg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/SUMM/double/ALGER_CASEY_SUMM_0001_2.jpeg",18891,"T1","Hotels / Homes","",NA,NA,"","",82940949
83381046,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/SUMM/double/ALGER_CASEY_SUMM_0001_1.jpeg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/SUMM/double/ALGER_CASEY_SUMM_0001_2.jpeg",18891,"T2","Boat Resorts / Resorts","[['None', 'None', 'None']]",3,3,"None","[2376369, 1312868, 1325481]",82940949
83381046,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/SUMM/double/ALGER_CASEY_SUMM_0001_1.jpeg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/SUMM/double/ALGER_CASEY_SUMM_0001_2.jpeg",18891,"T3","Liveries / Boat Liveries","[['None', 'None', 'None']]",3,3,"None","[2376369, 1312868, 1325481]",82940949
83381046,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/SUMM/double/ALGER_CASEY_SUMM_0001_1.jpeg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/SUMM/double/ALGER_CASEY_SUMM_0001_2.jpeg",18891,"T8","Area","[['22', '22', '22'], ['ac.', 'ac.', 'ac.'], ['(Humphreys,', '(Humphreys,', '(Humphreys'], ['1965)', '1965)', '1965)']]",3,2.75,"22 ac. (Humphreys, 1965)","[2376369, 1312868, 1325481]",82940949
83381046,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/SUMM/double/ALGER_CASEY_SUMM_0001_1.jpeg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/SUMM/double/ALGER_CASEY_SUMM_0001_2.jpeg",18891,"T9","Shore Development","",NA,NA,"","",82940949
83381046,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/SUMM/double/ALGER_CASEY_SUMM_0001_1.jpeg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/SUMM/double/ALGER_CASEY_SUMM_0001_2.jpeg",18891,"T10","Max Depth / Maximum Depth","[['Approx.', 'Approx.', 'Approx.'], [""15'"", ""15'"", '15’']]",3,2.5,"Approx. 15'","[2376369, 1312868, 1325481]",82940949
83381046,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/SUMM/double/ALGER_CASEY_SUMM_0001_1.jpeg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/SUMM/double/ALGER_CASEY_SUMM_0001_2.jpeg",18891,"T12","Area of Vegetation","[['approx.', 'approx.', 'approx.'], ['4', '4', '4'], ['ac', 'ac.', 'ac.'], ['(N.', '(N.', '(N.'], ['and', 'end', 'end'], ['near', 'near', 'near'], ['inlet)', 'inlet)', 'inlet)']]",3,2.71428571428571,"approx. 4 ac. (N. end near inlet)","[2376369, 1312868, 1325481]",82940949
83381046,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/SUMM/double/ALGER_CASEY_SUMM_0001_1.jpeg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/SUMM/double/ALGER_CASEY_SUMM_0001_2.jpeg",18891,"T13","Per cent shoal","[['95', '95', '95']]",3,3,"95","[2376369, 1312868, 1325481]",82940949
83381046,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/SUMM/double/ALGER_CASEY_SUMM_0001_1.jpeg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/SUMM/double/ALGER_CASEY_SUMM_0001_2.jpeg",18891,"T14","Secchi disk (range)","",NA,NA,"","",82940949
83381046,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/SUMM/double/ALGER_CASEY_SUMM_0001_1.jpeg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/SUMM/double/ALGER_CASEY_SUMM_0001_2.jpeg",18891,"T15","Temperature – Surface","",NA,NA,"","",82940949
83381046,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/SUMM/double/ALGER_CASEY_SUMM_0001_1.jpeg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/SUMM/double/ALGER_CASEY_SUMM_0001_2.jpeg",18891,"T16","Thermocline – Is Thermocoline Present?","",NA,NA,"","",82940949
83381046,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/SUMM/double/ALGER_CASEY_SUMM_0001_1.jpeg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/SUMM/double/ALGER_CASEY_SUMM_0001_2.jpeg",18891,"T17","Thermocline location","",NA,NA,"","",82940949
83381046,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/SUMM/double/ALGER_CASEY_SUMM_0001_1.jpeg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/SUMM/double/ALGER_CASEY_SUMM_0001_2.jpeg",18891,"T19","Dissolved oxygen above thermocline","",NA,NA,"","",82940949
83381046,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/SUMM/double/ALGER_CASEY_SUMM_0001_1.jpeg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/SUMM/double/ALGER_CASEY_SUMM_0001_2.jpeg",18891,"T20","Dissolved oxygen below thermocline","",NA,NA,"","",82940949
83381046,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/SUMM/double/ALGER_CASEY_SUMM_0001_1.jpeg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/SUMM/double/ALGER_CASEY_SUMM_0001_2.jpeg",18891,"T21","Methyl Orange Alk. Range","[['85', '85', '85'], ['ppm', 'ppm', 'ppm']]",3,3,"85 ppm","[2376369, 1312868, 1325481]",82940949
83381046,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/SUMM/double/ALGER_CASEY_SUMM_0001_1.jpeg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/SUMM/double/ALGER_CASEY_SUMM_0001_2.jpeg",18891,"T23","Temperature – Bottom","",NA,NA,"","",82940949
83381046,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/SUMM/double/ALGER_CASEY_SUMM_0001_1.jpeg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/SUMM/double/ALGER_CASEY_SUMM_0001_2.jpeg",18891,"T24","Dissolved oxygen in/wihtin thermocline","",NA,NA,"","",82940949
83381046,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/SUMM/double/ALGER_CASEY_SUMM_0001_1.jpeg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/SUMM/double/ALGER_CASEY_SUMM_0001_2.jpeg",18891,"T25","Dam in outlet","[['None', 'none', 'None']]",3,2,"None","[2376369, 1312868, 1325481]",82940949
83381046,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/SUMM/double/ALGER_CASEY_SUMM_0001_1.jpeg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/SUMM/double/ALGER_CASEY_SUMM_0001_2.jpeg",18891,"T26","Height","",NA,NA,"","",82940949
83381046,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/SUMM/double/ALGER_CASEY_SUMM_0001_1.jpeg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/SUMM/double/ALGER_CASEY_SUMM_0001_2.jpeg",18891,"T27","Effect on fish movements","",NA,NA,"","",82940949
83381047,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/SUMM/double/ALGER_CLOVERLEAF_SUMM_0002_1.jpeg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/SUMM/double/ALGER_CLOVERLEAF_SUMM_0002_2.jpeg",18891,"T0","Cottages","[['0', '0', '0']]",3,3,"0","[2376369, 1312868, 1325481]",82940950
83381047,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/SUMM/double/ALGER_CLOVERLEAF_SUMM_0002_1.jpeg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/SUMM/double/ALGER_CLOVERLEAF_SUMM_0002_2.jpeg",18891,"T1","Hotels / Homes","",NA,NA,"","",82940950
83381047,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/SUMM/double/ALGER_CLOVERLEAF_SUMM_0002_1.jpeg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/SUMM/double/ALGER_CLOVERLEAF_SUMM_0002_2.jpeg",18891,"T2","Boat Resorts / Resorts","[['0', '0', '0']]",3,3,"0","[2376369, 1312868, 1325481]",82940950
83381047,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/SUMM/double/ALGER_CLOVERLEAF_SUMM_0002_1.jpeg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/SUMM/double/ALGER_CLOVERLEAF_SUMM_0002_2.jpeg",18891,"T3","Liveries / Boat Liveries","[['0', '0', '0']]",3,3,"0","[2376369, 1312868, 1325481]",82940950
83381047,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/SUMM/double/ALGER_CLOVERLEAF_SUMM_0002_1.jpeg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/SUMM/double/ALGER_CLOVERLEAF_SUMM_0002_2.jpeg",18891,"T8","Area","",NA,NA,"","",82940950
83381047,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/SUMM/double/ALGER_CLOVERLEAF_SUMM_0002_1.jpeg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/SUMM/double/ALGER_CLOVERLEAF_SUMM_0002_2.jpeg",18891,"T9","Shore Development","",NA,NA,"","",82940950
83381047,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/SUMM/double/ALGER_CLOVERLEAF_SUMM_0002_1.jpeg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/SUMM/double/ALGER_CLOVERLEAF_SUMM_0002_2.jpeg",18891,"T10","Max Depth / Maximum Depth","",NA,NA,"","",82940950
83381047,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/SUMM/double/ALGER_CLOVERLEAF_SUMM_0002_1.jpeg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/SUMM/double/ALGER_CLOVERLEAF_SUMM_0002_2.jpeg",18891,"T12","Area of Vegetation","[['100', '100', '100']]",3,3,"100","[2376369, 1312868, 1325481]",82940950
83381047,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/SUMM/double/ALGER_CLOVERLEAF_SUMM_0002_1.jpeg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/SUMM/double/ALGER_CLOVERLEAF_SUMM_0002_2.jpeg",18891,"T13","Per cent shoal","[['95%', '95%', '95%']]",3,3,"95%","[2376369, 1312868, 1325481]",82940950
83381047,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/SUMM/double/ALGER_CLOVERLEAF_SUMM_0002_1.jpeg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/SUMM/double/ALGER_CLOVERLEAF_SUMM_0002_2.jpeg",18891,"T14","Secchi disk (range)","",NA,NA,"","",82940950
83381047,"https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/SUMM/double/ALGER_CLOVERLEAF_SUMM_0002_1.jpeg","https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/SUMM/double/ALGER_CLOVERLEAF_SUMM_0002_2.jpeg",18891,"T15","Temperature – Surface","[['73F', '73F', '73F']]",3,3,"73F","[2376369, 1312868, 1325481]",82940950
