"subject_id","workflow_id","task","data.aligned_text","data.number_views","data.consensus_score","data.consensus_text","data.user_ids","original_id"
83381086,18906,"T0","[['Yes', 'Yes', 'Private']]",3,2,"Yes","[1325481, 1894841, 2376369]",82940943
83381086,18906,"T1","[['73', '73*F.', '73*F'], ['F', '', '']]",3,2,"73 F","[1325481, 1894841, 2376369]",82940943
83381086,18906,"T2","[['None', 'None', 'None']]",3,3,"None","[1325481, 1894841, 2376369]",82940943
83381086,18906,"T3","[['6’', ""6'"", ""6'""], ['-', '-', '-'], ['22.5', '22.5°C', '22.5*C'], ['C', '', '']]",3,1.75,"6 - 22.5 C","[1325481, 1894841, 2376369]",82940943
83381086,18906,"T4","[['7.9', '7.9', '7.9'], ['ppm', 'ppm.', 'ppm.']]",3,2.5,"7.9 ppm.","[1325481, 1894841, 2376369]",82940943
83381086,18906,"T5","[['11.25', '11.25', '11.24'], ['A.', 'A.', 'A']]",3,2,"11.25 A.","[1325481, 1894841, 2376369]",82940943
83381086,18906,"T6","[['825', ""8'"", ""8'""], ['feet', '', '']]",3,1.5,"8' feet","[1325481, 1894841, 2376369]",82940943
83381086,18906,"T7","[['Secchi', 'Secchi', 'Secchi'], ['Disc', 'Disc', 'Disc'], ['6’', ""6'"", ""6'""]]",3,2.666666667,"Secchi Disc 6'","[1325481, 1894841, 2376369]",82940943
83381086,18906,"T10","[['no', 'no', 'no'], ['pH', 'pH', 'pH'], ['set', 'set', 'set'], ['available', 'avaible', 'available']]",3,2.75,"no pH set available","[1325481, 1894841, 2376369]",82940943
83381086,18906,"T15","[['None', 'None', 'None']]",3,3,"None","[1325481, 1894841, 2376369]",82940943
83381087,18906,"T0","[['yes', 'yes', 'yes']]",3,3,"yes","[1894841, 1325481, 2376369]",82940947
83381087,18906,"T1","[['warm', 'warm', 'warm']]",3,3,"warm","[1894841, 1325481, 2376369]",82940947
83381087,18906,"T5","[['200', '200', '200'], ['(?)', '(?)', '(?)']]",3,3,"200 (?)","[1894841, 1325481, 2376369]",82940947
83381087,18906,"T6","[['said', 'said', 'said'], ['to', 'to', 'to'], ['be', 'be', 'be'], ['90', '90', '90'], ['ft.', 'ft.', 'ft.'], ['in', 'in', 'in'], ['S.', 'S.', 'S.'], ['arm', 'arm', 'arm']]",3,3,"said to be 90 ft. in S. arm","[1894841, 1325481, 2376369]",82940947
83381087,18906,"T7","[['rather', 'rather', 'rather'], ['marked', 'marked', 'marked']]",3,3,"rather marked","[1894841, 1325481, 2376369]",82940947
83381087,18906,"T11","[['-']]",1,1,"-","[2376369]",82940947
83381087,18906,"T15","[['1', '1', '1'], ['or', 'or', 'or'], ['2', '2', '2'], ['small', 'small', 'small'], ['resorts', 'resorts', 'resorts'], ['and', 'and', 'and'], ['a', 'a', 'a'], ['few', 'few', 'few'], ['other', 'other', 'other'], ['cottages.', 'cottages.', 'cottages.']]",3,3,"1 or 2 small resorts and a few other cottages.","[1894841, 1325481, 2376369]",82940947
83381088,18906,"T0","[['Yes', 'Yes', 'Yes']]",3,3,"Yes","[1325481, 1894841, 2376369]",82940965
83381088,18906,"T1","[['26.1', '26.1*C', '26.1*C'], ['C', '', '']]",3,2,"26.1 C","[1325481, 1894841, 2376369]",82940965
83381088,18906,"T2","[['24.8', '', '24.8'], ['-', '', '-'], ['11.2', '24.8-11.2*C.', '11.2*C'], ['C', '', '']]",3,2,"24.8 - 11.2 C","[1325481, 1894841, 2376369]",82940965
83381088,18906,"T3","[['10.4', '10.4*C', '10.4*C'], ['C', '', '']]",3,2,"10.4 C","[1325481, 1894841, 2376369]",82940965
83381088,18906,"T4","[['Surface', 'Surface'], ['7.8', '7.8']]",2,2,"Surface 7.8","[1325481, 2376369]",82940965
83381088,18906,"T5","[['215', '215']]",2,2,"215","[1325481, 2376369]",82940965
83381088,18906,"T6","[['51', '51'], ['ft', 'ft']]",2,2,"51 ft","[1325481, 2376369]",82940965
83381088,18906,"T7","[['None', 'None']]",2,2,"None","[1325481, 2376369]",82940965
83381088,18906,"T10","[['8.4', '8.4'], ['surface', 'surface'], ['', '7.4-8.4']]",2,1.666666667,"8.4 surface 7.4-8.4","[1325481, 2376369]",82940965
83381088,18906,"T11","[['No', 'No', 'No']]",3,3,"No","[1325481, 1894841, 2376369]",82940965
83381089,18906,"T0","[['?', '?', '?']]",3,3,"?","[1325481, 1894841, 2376369]",82940967
83381089,18906,"T1","[['cool', 'cool', 'cool']]",3,3,"cool","[1325481, 1894841, 2376369]",82940967
83381089,18906,"T5","[['all', 'all', 'all'], ['less', 'less', 'less'], ['than', 'than', 'than'], ['1/2', '½', '12'], ['acre', 'acre', 'acre'], ['each', 'each', 'each']]",3,2.666666667,"all less than 1/2 acre each","[1325481, 1894841, 2376369]",82940967
83381089,18906,"T6","[['probably', 'probably', 'probably'], ['about', 'about', 'about'], ['12', '12', '12'], ['ft.', 'ft.', 'ft.']]",3,3,"probably about 12 ft.","[1325481, 1894841, 2376369]",82940967
83381089,18906,"T11","[['-']]",1,1,"-","[2376369]",82940967
83381089,18906,"T12","[['-']]",1,1,"-","[2376369]",82940967
83381089,18906,"T13","[['-']]",1,1,"-","[2376369]",82940967
83381089,18906,"T15","[['none', 'none', 'none']]",3,3,"none","[1325481, 1894841, 2376369]",82940967
83381090,18906,"T0","[['presumably', 'presumably', 'presumably'], ['allowed', 'allowed', 'allowed']]",3,3,"presumably allowed","[1325481, 1894841, 2376369]",82940968
83381090,18906,"T1","[['cold', 'cool', 'cool']]",3,2,"cool","[1325481, 1894841, 2376369]",82940968
