subject_id,workflow_id,task,reducer,data.value,data.aggregation_version
58643103,17771,T2,dropdown_reducer,"[{'1926': 2, '1925': 1}]",3.4.5
58643103,17771,T5,dropdown_reducer,[{'8ae79aa0db4ed': 1}],3.4.5
58643103,17771,T0,dropdown_reducer,[{'b65f0b39a1782': 1}],3.4.5
58643103,17771,T3,dropdown_reducer,,3.4.5
58643103,17771,T1,dropdown_reducer,,3.4.5
58643103,17771,T4,dropdown_reducer,,3.4.5
58643104,17771,T2,dropdown_reducer,[{'1926': 4}],3.4.5
58643104,17771,T5,dropdown_reducer,,3.4.5
58643104,17771,T0,dropdown_reducer,[{'c10d1711c586e': 4}],3.4.5
58643104,17771,T3,dropdown_reducer,[{'1966a875a70d2': 1}],3.4.5
58643104,17771,T1,dropdown_reducer,,3.4.5
58643104,17771,T4,dropdown_reducer,,3.4.5
58643105,17771,T2,dropdown_reducer,[{'1930': 4}],3.4.5
58643105,17771,T5,dropdown_reducer,[{'8ae79aa0db4ed': 1}],3.4.5
58643105,17771,T0,dropdown_reducer,[{'eac425a55b474': 4}],3.4.5
58643105,17771,T3,dropdown_reducer,[{'1966a875a70d2': 2}],3.4.5
58643105,17771,T1,dropdown_reducer,[{'29': 4}],3.4.5
58643105,17771,T4,dropdown_reducer,[{'c3ecf8cf751a5': 1}],3.4.5
58643107,17771,T2,dropdown_reducer,[{'1926': 4}],3.4.5
58643107,17771,T5,dropdown_reducer,[{'8ae79aa0db4ed': 1}],3.4.5
58643107,17771,T0,dropdown_reducer,[{'c10d1711c586e': 4}],3.4.5
58643107,17771,T3,dropdown_reducer,[{'1966a875a70d2': 1}],3.4.5
58643107,17771,T1,dropdown_reducer,,3.4.5
58643107,17771,T4,dropdown_reducer,,3.4.5
58643108,17771,T2,dropdown_reducer,"[{'1926': 1, '1927': 1, '1924': 2}]",3.4.5
58643108,17771,T5,dropdown_reducer,[{'8ae79aa0db4ed': 1}],3.4.5
58643108,17771,T0,dropdown_reducer,"[{'d506c1133b83d': 1, '890cb903ea19e': 3}]",3.4.5
58643108,17771,T3,dropdown_reducer,[{'1966a875a70d2': 1}],3.4.5
58643108,17771,T1,dropdown_reducer,"[{'16': 1, '15': 3}]",3.4.5
58643108,17771,T4,dropdown_reducer,[{'c3ecf8cf751a5': 1}],3.4.5
58643109,17771,T2,dropdown_reducer,[{'1930': 4}],3.4.5
58643109,17771,T5,dropdown_reducer,,3.4.5
58643109,17771,T0,dropdown_reducer,[{'b65f0b39a1782': 4}],3.4.5
58643109,17771,T3,dropdown_reducer,,3.4.5
58643109,17771,T1,dropdown_reducer,[{'5': 4}],3.4.5
58643109,17771,T4,dropdown_reducer,,3.4.5
58643110,17771,T2,dropdown_reducer,[{'1930': 4}],3.4.5
58643110,17771,T5,dropdown_reducer,[{'8ae79aa0db4ed': 1}],3.4.5
58643110,17771,T0,dropdown_reducer,[{'b65f0b39a1782': 4}],3.4.5
58643110,17771,T3,dropdown_reducer,[{'1966a875a70d2': 1}],3.4.5
58643110,17771,T1,dropdown_reducer,[{'7': 4}],3.4.5
58643110,17771,T4,dropdown_reducer,[{'c3ecf8cf751a5': 1}],3.4.5
58643111,17771,T2,dropdown_reducer,[{'1930': 4}],3.4.5
58643111,17771,T5,dropdown_reducer,,3.4.5
58643111,17771,T0,dropdown_reducer,[{'b65f0b39a1782': 4}],3.4.5
58643111,17771,T3,dropdown_reducer,[{'1966a875a70d2': 1}],3.4.5
58643111,17771,T1,dropdown_reducer,[{'9': 4}],3.4.5
58643111,17771,T4,dropdown_reducer,,3.4.5
58643112,17771,T2,dropdown_reducer,[{'1930': 3}],3.4.5
58643112,17771,T5,dropdown_reducer,,3.4.5
58643112,17771,T0,dropdown_reducer,[{'b65f0b39a1782': 3}],3.4.5
58643112,17771,T3,dropdown_reducer,,3.4.5
58643112,17771,T1,dropdown_reducer,[{'2': 3}],3.4.5
58643112,17771,T4,dropdown_reducer,,3.4.5
58643113,17771,T2,dropdown_reducer,[{'1930': 4}],3.4.5
58643113,17771,T5,dropdown_reducer,[{'8ae79aa0db4ed': 1}],3.4.5
58643113,17771,T0,dropdown_reducer,[{'eac425a55b474': 4}],3.4.5
58643113,17771,T3,dropdown_reducer,[{'1966a875a70d2': 1}],3.4.5
58643113,17771,T1,dropdown_reducer,[{'28': 4}],3.4.5
58643113,17771,T4,dropdown_reducer,[{'c3ecf8cf751a5': 1}],3.4.5
58643114,17771,T2,dropdown_reducer,[{'1930': 3}],3.4.5
58643114,17771,T5,dropdown_reducer,,3.4.5
58643114,17771,T0,dropdown_reducer,[{'b65f0b39a1782': 3}],3.4.5
58643114,17771,T3,dropdown_reducer,,3.4.5
58643114,17771,T1,dropdown_reducer,[{'12': 3}],3.4.5
58643114,17771,T4,dropdown_reducer,,3.4.5
58643116,17771,T2,dropdown_reducer,[{'1930': 4}],3.4.5
58643116,17771,T5,dropdown_reducer,,3.4.5
58643116,17771,T0,dropdown_reducer,[{'eac425a55b474': 4}],3.4.5
58643116,17771,T3,dropdown_reducer,,3.4.5
58643116,17771,T1,dropdown_reducer,[{'28': 4}],3.4.5
58643116,17771,T4,dropdown_reducer,,3.4.5
58643117,17771,T2,dropdown_reducer,[{'1930': 4}],3.4.5
58643117,17771,T5,dropdown_reducer,,3.4.5
58643117,17771,T0,dropdown_reducer,[{'eac425a55b474': 4}],3.4.5
58643117,17771,T3,dropdown_reducer,[{'1966a875a70d2': 1}],3.4.5
58643117,17771,T1,dropdown_reducer,[{'29': 4}],3.4.5
58643117,17771,T4,dropdown_reducer,,3.4.5
58643118,17771,T2,dropdown_reducer,[{'1930': 4}],3.4.5
58643118,17771,T5,dropdown_reducer,,3.4.5
58643118,17771,T0,dropdown_reducer,[{'b65f0b39a1782': 4}],3.4.5
58643118,17771,T3,dropdown_reducer,,3.4.5
58643118,17771,T1,dropdown_reducer,[{'5': 4}],3.4.5
58643118,17771,T4,dropdown_reducer,,3.4.5
58643119,17771,T2,dropdown_reducer,[{'1930': 3}],3.4.5
58643119,17771,T5,dropdown_reducer,,3.4.5
58643119,17771,T0,dropdown_reducer,[{'b65f0b39a1782': 4}],3.4.5
58643119,17771,T3,dropdown_reducer,,3.4.5
58643119,17771,T1,dropdown_reducer,[{'24': 4}],3.4.5
58643119,17771,T4,dropdown_reducer,,3.4.5
58643120,17771,T2,dropdown_reducer,[{'1930': 4}],3.4.5
58643120,17771,T5,dropdown_reducer,,3.4.5
58643120,17771,T0,dropdown_reducer,[{'eac425a55b474': 4}],3.4.5
58643120,17771,T3,dropdown_reducer,,3.4.5
