subject_id,data.aligned_text,data.number_views,data.consensus_score,data.consensus_text,min,max,units,notes,URL_front,URL_back,column_name
63264307,"[['158-162', '158-162', '158-162', '158'], ['', '', '', '-'], ['', '', '', '162']]",4,1.666666667,158-162 - 162,158,162,,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Alcona_Hubbard_SUMM_Doc0816.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Alcona_Hubbard_SUMM_Doc0817.jpg,Methyl Orange Alk Range
63264318,"[['157-178', '157-178', '157-178', '157'], ['', '', '', '-'], ['', '', '', '178']]",4,1.666666667,157-178 - 178,157,178,,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Allegan_Dumont_SUMM_20200219142223236_0001.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Allegan_Dumont_SUMM_20200219142223236_0002.jpg,Methyl Orange Alk Range
63264325,"[['149-150', '149', '149-150', '149-150'], ['', '-', '', ''], ['', '150', '', ''], ['ppm.', 'ppm', 'ppm.', 'ppm']]",4,1.75,149-150 - 150 ppm.,149,150,ppm,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Alpena_Beaver_SUMM_20200219145953082_0001.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Alpena_Beaver_SUMM_20200219145953082_0002.jpg,Methyl Orange Alk Range
63264326,"[['141-143', '141', '141-143', '141-143'], ['', '-', '', ''], ['', '143', '', '']]",4,1.666666667,141-143 - 143,141,143,,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Barry_McDonald_SUMM_20191125111429749_0001.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Barry_McDonald_SUMM_20191125111429749_0002.jpg,Methyl Orange Alk Range
63264328,"[['152-190', '152', '152-190', '152-190'], ['', '-', '', ''], ['', '190', '', '']]",4,1.666666667,152-190 - 190,152,190,,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Barry_Deep_SUMM_001_01.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Barry_Deep_SUMM_001_02.jpg,Methyl Orange Alk Range
63264335,"[['73-76', '73-76', '73', '73-76'], ['', '', '-', ''], ['', '', '76', '']]",4,1.666666667,73-76 - 76,73,76,,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Charlevoix_Font_002_SUMM_0001.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Charlevoix_Font_002_SUMM_0002.jpg,Methyl Orange Alk Range
63264354,"[['138-162', '138-162ppm', '138-162', '138'], ['', '', '', '-'], ['', '', '', '162'], ['ppm', '', 'ppm', 'ppm']]",4,1.75,138-162 - 162 ppm,138,162,,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Cheboygan_Mullett_219.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Cheboygan_Mullett_220.jpg,Methyl Orange Alk Range
63264356,"[['110', '110-129', '110-129', '110-129'], ['-', '', '', ''], ['129', '', '', '']]",4,1.666666667,110-129 - 129,110,129,,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Cheboygan_Silver_33N_3W_S11-12_027.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Cheboygan_Silver_33N_3W_S11-12_028.jpg,Methyl Orange Alk Range
63264359,"[['110', '110-129', '110-129', '110-129'], ['-', '', '', ''], ['129', '', '', '']]",4,1.666666667,110-129 - 129,110,129,,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Cheboygan_Silver_33N_3W_S11-12_031.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Cheboygan_Silver_33N_3W_S11-12_032.jpg,Methyl Orange Alk Range
63264360,"[['110-129', '110', '110-129', '110-129'], ['', '-', '', ''], ['', '129', '', '']]",4,1.666666667,110-129 - 129,110,129,,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Cheboygan_Silver33N_3W_S11-12_SUMM_027.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Cheboygan_Silver33N_3W_S11-12_SUMM_028.jpg,Methyl Orange Alk Range
