subject_id,task,data.aligned_text,data.number_views,data.consensus_score,column_name,data.consensus_text,data,data_binary,URL_front,URL_back
63264345,T25,"[['none', '-']]",2,1,Dam in outlet,none,none,no,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Charlevoix_Thumb_046_SUMM_0001.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Charlevoix_Thumb_046_SUMM_0002.jpg
63264345,T27,[['-']],1,1,Dam effect on fish movements,-,none,no,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Charlevoix_Thumb_046_SUMM_0001.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Charlevoix_Thumb_046_SUMM_0002.jpg
63264354,T25,"[['at', 'at', 'at', 'at'], ['Cheboygan', 'Cheboygan', 'Cheboygan', 'Cheboygan'], ['-', '', '', ''], ['immediate', '', '', ''], ['and', '', '', ''], ['main', '', '', ''], ['drainage.', '', '', '']]",4,1.857142857,Dam in outlet,at Cheboygan - immediate and main drainage.,at Cheboygan ,yes,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Cheboygan_Mullett_219.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Cheboygan_Mullett_220.jpg
63264360,T25,[['landlocked']],1,1,Dam in outlet,landlocked,none,no,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Cheboygan_Silver33N_3W_S11-12_SUMM_027.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Cheboygan_Silver33N_3W_S11-12_SUMM_028.jpg
63264387,T25,[['None']],1,1,Dam in outlet,None,none,no,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Chippewa_Walker_016.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Chippewa_Walker_017.jpg
63264388,T25,"[['-', ''], ['-', '-']]",2,1.5,Dam in outlet,- -,none,no,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Chippewa_Piatt_007.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Chippewa_Piatt_008.jpg
63264388,T27,"[['-'], ['-']]",1,1,Dam effect on fish movements,- -,none,no,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Chippewa_Piatt_007.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Chippewa_Piatt_008.jpg
63264390,T25,"[['None'], ['apparent.'], ['Possible'], ['seepage'], ['to'], ['Long'], ['Lake']]",1,1,Dam in outlet,None apparent. Possible seepage to Long Lake,none,no,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Clare_Budd_SUMM_030.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Clare_Budd_SUMM_031.jpg
63264410,T27,[['-']],1,1,Dam effect on fish movements,-,none,no,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Clare_LittleLong_SUMM_036.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Clare_LittleLong_SUMM_037.jpg
63264412,T27,[['-']],1,1,Dam effect on fish movements,-,none,no,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Clare_Silver_SUMM_005.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Clare_Silver_SUMM_006.jpg
