subject_id,task,data.aligned_text,data.number_views,data.consensus_score,data.consensus_text,dam_effect_fish,dam_outlet,URL_front,URL_back,column_name
63264307,T25,"[['Alpena', 'Alpena', 'Alpena', 'Alpena'], ['Power', 'Power', 'Power', 'Power'], ['Co.', 'Co.', 'Company', 'Co.'], ['Dam', 'Dam', 'Dam', 'Dam']]",4,3.75,alpena power co. dam,,yes,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Alcona_Hubbard_SUMM_Doc0816.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Alcona_Hubbard_SUMM_Doc0817.jpg,Dam in outlet
63264307,T27,"[['Upstream', 'Upstream', 'Upstream', 'Upstream'], ['movement', 'movement', 'movement', 'movement'], ['not', 'not', 'not', 'not'], ['possible.', 'possible.', 'possible.', 'possible.'], ['May', 'May', 'May', 'May'], ['be', 'be', 'be', 'be'], ['a', 'a', 'a', 'a'], ['few', 'few', 'few', 'few'], ['fish', 'fish', 'fish', 'fish'], ['lost', 'lost', 'lost', 'lost'], ['from', 'from', 'from', 'from'], ['lake', 'lake', 'lake', 'lake'], ['to', 'to', 'to', 'to'], ['river.', 'river.', 'river.', 'river.'], ['No', 'No', 'No', 'No'], ['screen', 'screen.', 'screen.', 'screen.']]",4,3.9375,upstream movement not possible. may be a few fish lost from lake to river. no screen.,yes,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Alcona_Hubbard_SUMM_Doc0816.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Alcona_Hubbard_SUMM_Doc0817.jpg,Dam effect on fish movements
63264310,T25,"[['None', 'None', 'None']]",3,3,none,,no,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Alcona_North_SUMM_20200129143705919_0001.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Alcona_North_SUMM_20200129143705919_0002.jpg,Dam in outlet
63264311,T25,"[['Alpena', 'Alpena', 'Alpena', 'Alpena'], ['Power', 'Power', 'Power', 'Power'], ['Co.', 'Co.', 'Company', 'Co.'], ['Dam', 'Dam', 'Dam', 'Dam']]",4,3.75,alpena power co. dam,,yes,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Alcona_Hubbard_SUMM_20200129141656326_0001.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Alcona_Hubbard_SUMM_20200129141656326_0002.jpg,Dam in outlet
63264311,T27,"[['Fluctuates', 'Upstream', 'Upstream', 'Upstream'], ['between', 'movement', 'movement', 'movement'], ['4.2', 'not', 'not', 'bot'], ['and', 'possible.', 'possible.', 'possible.'], ['6.5', 'May', 'May', 'May'], ['ft.', 'be', 'be', 'be'], ['head', 'a', 'a', 'a'], ['', 'few', 'few', 'few'], ['', 'fish', 'fish', 'fish'], ['', 'lost', 'lost', 'lost'], ['', 'from', 'from', 'from'], ['', 'lake', 'lake', 'lake'], ['', 'to', 'to', 'to'], ['', 'river.', 'river.', 'river.'], ['', 'No', 'No', 'No'], ['', 'screen.', 'screen.', 'screen']]",4,2.875,upstream movement not possible. may be a few fish lost from lake to river. no screen.,yes,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Alcona_Hubbard_SUMM_20200129141656326_0001.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Alcona_Hubbard_SUMM_20200129141656326_0002.jpg,Dam effect on fish movements
63264312,T25,"[['None', 'None', 'None', 'None']]",4,4,none,,no,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Alger_Cook_SUMM_20200130135115726_0001.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Alger_Cook_SUMM_20200130135115726_0002.jpg,Dam in outlet
63264313,T25,"[['none', 'none', 'none', 'none'], ['except', 'except', 'except', 'except'], ['electro=mechanical', 'electro-mechanical', 'electro-mechanical', 'electro-mechanical'], ['lamprey', 'lamprey', 'lamprey', 'lamprey'], ['', 'weir', '', ''], ['', 'USFWS', '', '']]",4,2.833333333,none except electro-mechanical lamprey weir usfws,,no,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Alger_Beaver_SUMM_20200129155440605_0001.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Alger_Beaver_SUMM_20200129155440605_0002.jpg,Dam in outlet
63264313,T27,"[['?', '?', '?']]",3,3,?,NA,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Alger_Beaver_SUMM_20200129155440605_0001.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Alger_Beaver_SUMM_20200129155440605_0002.jpg,Dam effect on fish movements
63264314,T25,"[['Yes', 'Yes', 'Yes', 'Yes'], ['-', '-', '-', '-'], ['cement', 'cement', 'cement', 'cement'], ['-', '-', '-', '-'], ['5', ""5'"", '5', '5'], ['ft', '', 'ft.', 'feet'], ['long', 'long', 'long', 'long']]",4,3.428571429,yes - cement - 5 ft long,,yes,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Alcona_Vaughn_SUMM_20200129151605368_0001.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Alcona_Vaughn_SUMM_20200129151605368_0002.jpg,Dam in outlet
63264314,T27,"[['Dry', 'Dry', 'Dry', 'Dry'], ['most', 'most', 'most', 'most'], ['of', 'of', 'of', 'of'], ['the', 'the', 'the', 'the'], ['year', 'year', 'year', 'year'], ['so', 'so', 'so', 'so'], ['doubtful', 'doubtful', 'doubtful', 'doubtful'], ['if', 'if', 'if', 'if'], ['any', 'any', 'any', 'any'], ['effect', 'effect.', 'effect', 'effect.']]",4,3.8,dry most of the year so doubtful if any effect,no,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Alcona_Vaughn_SUMM_20200129151605368_0001.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Alcona_Vaughn_SUMM_20200129151605368_0002.jpg,Dam effect on fish movements
