subject_id,task,data.aligned_text,data.number_views,data.consensus_score,data.consensus_text,min,max,units,URL_front,URL_back,column_name
63264322,T26,"[['20-30', '20', '20-30', ""20-30'""], ['', '-', '', ''], ['', '30', '', ''], ['Ft.', 'ft.', 'ft.', '']]",4,1.5,20-30 - 30 ft.,20,30,feet,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Alger_GrandSable_SUMM_20200130144543948_0001.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Alger_GrandSable_SUMM_20200130144543948_0002.jpg,Height of dam
63264353,T26,[['-']],1,1,-,NA,,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Cheboygan_Douglas_SUMM_049.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Cheboygan_Douglas_SUMM_050.jpg,Height of dam
63264400,T26,"[['', '1', '', ''], ['', '-', '', ''], [""1-4'"", ""4'"", ""1-4'"", ""1-4'""]]",4,1.666666667,1 - 1-4',1,4,feet,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Clare_Deadmans_SUMM_007.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Clare_Deadmans_SUMM_008.jpg,Height of dam
63264410,T26,[['-']],1,1,-,NA,,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Clare_LittleLong_SUMM_036.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Clare_LittleLong_SUMM_037.jpg,Height of dam
63264412,T26,[['-']],1,1,-,NA,,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Clare_Silver_SUMM_005.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Clare_Silver_SUMM_006.jpg,Height of dam
63264429,T26,"[[""18''"", '18""', '18', '18""'], ['', '', 'inches', '']]",4,1.5,"18"" inches",18,,inches,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Gladwin_Elk_SUMM_014.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Gladwin_Elk_SUMM_015.jpg,Height of dam
63264436,T26,"[['4’', ""4'"", '4'], ['', '', 'ft.']]",3,1,4’ ft.,4,,feet,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Gladwin_Slaughter-House_SUMM_003.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Gladwin_Slaughter-House_SUMM_004.jpg,Height of dam
63264447,T26,"[[""3'""]]",1,1,3',3,,feet,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Gogebic_Birch_SUMM_006.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Gogebic_Birch_SUMM_007.jpg,Height of dam
63264462,T26,[['-']],1,1,-,NA,,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Gogebic_Crooked_SUMM_016.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Gogebic_Crooked_SUMM_017.jpg,Height of dam
63264478,T26,"[['5-6', ""5-6'"", '5', '5-6'], ['feet', '', '-', 'ft'], ['', '', ""6'"", '']]",4,1.333333333,5-6 feet 6',5,6,feet,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Gogebic_Foxpaw_SUMM_015.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Gogebic_Foxpaw_SUMM_016.jpg,Height of dam
63264483,T26,"[['3', ""3'"", '3’', '3'], [""'"", '', '', 'feet']]",4,1.5,3 ',3,,feet,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Gogebic_Holly_SUMM_005.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Gogebic_Holly_SUMM_006.jpg,Height of dam
63264505,T26,"[[""2-3'"", ""2-3'"", '2', '2-3'], ['', '', '-', 'feet'], ['', '', ""3'"", '']]",4,1.333333333,2-3' - 3',2,3,feet,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Gogebic_Mastadon_SUMM_005.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Gogebic_Mastadon_SUMM_006.jpg,Height of dam
63264519,T26,"[[""4-5'"", '4', '4-5', '4-5'], ['', '-', '', ''], ['', '5', '', ''], ['', 'ft', 'ft.', 'ft.']]",4,1.5,4-5 - 5 ft.,4,5,feet,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Gogebic_Osprey_SUMM_002.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Gogebic_Osprey_SUMM_003.jpg,Height of dam
63264563,T26,"[['40’', ""40'"", ""40'"", '40'], ['', '', '', 'feet']]",4,1.5,40' feet,40,,feet,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/GrandTraverse_BrownBridgePond_SUMM_006.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/GrandTraverse_BrownBridgePond_SUMM_007.jpg,Height of dam
63264578,T26,"[['8*', ""8'""]]",2,1,8*,8,,feet,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/GrandTraverse_GrawnPond_SUMM_013.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/GrandTraverse_GrawnPond_SUMM_014.jpg,Height of dam
63264587,T26,[['---']],1,1,---,NA,,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/GrandTraverse_HydroPond_SUMM_003.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/GrandTraverse_HydroPond_SUMM_004.jpg,Height of dam
63264590,T26,"[['approx.', 'approx.'], ['one', 'one'], ['lake', ''], ['level', '']]",2,1.5,approx. one lake level,NA,,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/GrandTraverse_Rennie_SUMM_018.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/GrandTraverse_Rennie_SUMM_019.jpg,Height of dam
63264596,T26,[['--']],1,1,--,NA,,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/GrandTraverse_SabinPond_SUMM_003.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/GrandTraverse_SabinPond_SUMM_004.jpg,Height of dam
63264646,T26,[['--']],1,1,--,NA,,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Iosco_Floyd_SUMM_006.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Iosco_Floyd_SUMM_007.jpg,Height of dam
63264647,T26,[['--']],1,1,--,NA,,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Iosco_BassBig_SUMM_009.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Iosco_BassBig_SUMM_010.jpg,Height of dam
63264652,T26,[['-']],1,1,-,NA,,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Iosco_Jose_SUMM_006.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Iosco_Jose_SUMM_007.jpg,Height of dam
63264657,T26,[['-']],1,1,-,NA,,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Iosco_Loon_SUMM_009.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Iosco_Loon_SUMM_010.jpg,Height of dam
63264658,T26,[['-']],1,1,-,NA,,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Iosco_Secor_SUMM_004.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Iosco_Secor_SUMM_005.jpg,Height of dam
63264691,T26,"[[""3'"", ""3'-4'to"", ""3'-4'"", ""3-4'""], ['-', '', '', ''], [""4'"", '', '', '']]",4,1,3' - 4',3,4,feet,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Iron_Holmes46N_36W_S29-32_SUMM_001.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Iron_Holmes46N_36W_S29-32_SUMM_002.jpg,Height of dam
63264733,T26,[['---']],1,1,---,NA,,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Kalamazoo_Eagle2S_9W_S2_SUMM_026.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Kalamazoo_Eagle2S_9W_S2_SUMM_027.jpg,Height of dam
63264742,T26,[['---']],1,1,---,NA,,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Kalamazoo_Lost_SUMM_006.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Kalamazoo_Lost_SUMM_007.jpg,Height of dam
63264745,T26,"[[""2'"", '2', '2', '2'], ['wide', 'ft.', 'ft.', 'ft'], ['and', '', '', ''], ['6""', '', '', ''], ['deep', '', '', '']]",4,1.6,"2 ft. and 6"" deep",2,,feet,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Kalamazoo_Whitford_SUMM_003.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Kalamazoo_Whitford_SUMM_004.jpg,Height of dam
63264758,T26,"[[""1'"", '1', ""1'""], ['', 'foot', '']]",3,1.5,1' foot,1,,feet,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Kalkaska_Rainbow_SUMM_018.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Kalkaska_Rainbow_SUMM_019.jpg,Height of dam
63264765,T26,[['--']],1,1,--,NA,,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Kent_Black10N_9W_S15_SUMM_009.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Kent_Black10N_9W_S15_SUMM_010.jpg,Height of dam
63264777,T26,[['--']],1,1,--,NA,,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Kent_Frant_SUMM_005.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Kent_Frant_SUMM_006.jpg,Height of dam
63264778,T26,[['--']],1,1,--,NA,,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Kent_Frant_SUMM_20191125120204234_0001.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Kent_Frant_SUMM_20191125120204234_0002.jpg,Height of dam
63264796,T26,[['-']],1,1,-,NA,,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Kent_Scotch_SUMM_002.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Kent_Scotch_SUMM_003.jpg,Height of dam
63264801,T26,[['-----']],1,1,-----,NA,,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Kent_Silver_SUMM_017.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Kent_Silver_SUMM_018.jpg,Height of dam
63264825,T26,[['none']],1,1,none,NA,,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Lake_Guard_SUMM_002.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Lake_Guard_SUMM_003.jpg,Height of dam
63264843,T26,[['none']],1,1,none,NA,,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Lake_Oxbow_SUMM_003.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Lake_Oxbow_SUMM_004.jpg,Height of dam
63264878,T26,[['none']],1,1,none,NA,,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Lapeer_Indian_SUMM_012.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Lapeer_Indian_SUMM_013.jpg,Height of dam
63264903,T26,"[['', '1-', ""1-1/2'"", '1-1/2'], ['1', '1', '', 'feet'], [""1/2'"", ""1/2'"", '', '']]",4,1.666666667,1- 1 1/2',1.5,,feet,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Luce_Belle_SUMM_001_A.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Luce_Belle_SUMM_001_B.jpg,Height of dam
63264913,T26,[['-']],1,1,-,NA,,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Luce_Pretty_SUMM_001_A.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Luce_Pretty_SUMM_001_B.jpg,Height of dam
63264924,T26,"[['2', ""2'"", ""2'"", '2'], [""'"", '', '', 'feet']]",4,1.5,2 ',2,,feet,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Marquette_Arfelin_52-1585_1969_SUMM_001_01.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Marquette_Arfelin_52-1585_1969_SUMM_001_02.jpg,Height of dam
63264938,T26,"[['2""'], ['to'], ['4""'], ['ave.']]",1,1,"2"" to 4"" ave.",2,4,inches,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Menominee_Linnbeck_SUMM_20191204122632435_0001.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Menominee_Linnbeck_SUMM_20191204122632435_0002.jpg,Height of dam
63264940,T26,[['-']],1,1,-,NA,,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Missaukee_Missaukee_SUMM_001_A.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Missaukee_Missaukee_SUMM_001_B.jpg,Height of dam
63264960,T26,[['-']],1,1,-,NA,,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/OGEMAW_AMBROSE_SUMM_0001_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/OGEMAW_AMBROSE_SUMM_0001_2.jpeg,Height of dam
63264965,T26,[['-']],1,1,-,NA,,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/OGEMAU_JEWETT_SUMM_0001_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/OGEMAU_JEWETT_SUMM_0001_2.jpeg,Height of dam
63264973,T26,"[['3-4', ""3-4'"", ""3-4'"", '3'], ['feet.', '', '', '-'], ['', '', '', ""4'""]]",4,1.333333333,3-4' feet. 4',3,4,feet,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/OGEMAW_DEVOE_SUMM_0001_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/OGEMAW_DEVOE_SUMM_0001_2.jpeg,Height of dam
63264976,T26,"[['-'], ['-']]",1,1,- -,NA,,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/OGEMAW_ELNI_SUMM_0001_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/OGEMAW_ELNI_SUMM_0001_2.jpeg,Height of dam
63264978,T26,[['-']],1,1,-,NA,,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/OGEMAW_JOHNSON_SUMM_0001_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/OGEMAW_JOHNSON_SUMM_0001_2.jpeg,Height of dam
63264979,T26,"[[""3'"", '3', ""3'"", '3’.'], ['', ""'"", '', '']]",4,1.5,3' ',3,,feet,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/OGEMAW_GREBET23NR34ES1712_SUMM_0001_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/OGEMAW_GREBET23NR34ES1712_SUMM_0001_2.jpeg,Height of dam
63264981,T26,"[['6""-1\'', '6""-1\'', '6""', '6""'], ['', '', 'to', '-'], ['', '', '1""', ""1'""], ['approx.', 'approx.', '', 'approx.']]",4,1.75,"6""-1' to 1"" approx.",0.5,1,feet,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/OGEMAW_LAKEGEORGE_SUMM_0002_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/OGEMAW_LAKEGEORGE_SUMM_0002_2.jpeg,Height of dam
63264984,T26,[['-']],1,1,-,NA,,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/OGEMAW_LAKEGEORGE_SUMM_0001_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/OGEMAW_LAKEGEORGE_SUMM_0001_2.jpeg,Height of dam
63265019,T26,[['---']],1,1,---,NA,,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Ottawa_Crockery_70-164_1954_SUMM_001_01.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Ottawa_Crockery_70-164_1954_SUMM_001_02.jpg,Height of dam
63265031,T26,[['-']],1,1,-,NA,,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Washtenaw_CedarBig_SUMM_20200218120329658_0001.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Washtenaw_CedarBig_SUMM_20200218120329658_0002.jpg,Height of dam
63265038,T26,[['-']],1,1,-,NA,,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Washtenaw_FourMile_SUMM_20200218143718807_0007.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Washtenaw_FourMile_SUMM_20200218143718807_0008.jpg,Height of dam
63265040,T26,"[['18', ""18'"", '18’', ""18'""], ['feet', '', '', '']]",4,1.5,18' feet,18,,feet,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Washtenaw_Geddes_SUMM_20200224114400057_0011.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Washtenaw_Geddes_SUMM_20200224114400057_0012.jpg,Height of dam
63265062,T26,"[['2', '2', '2.5', '2½'], [""1/2'"", '1/2', '', ''], ['', 'ft.', 'ft', 'feet']]",4,1.333333333,2 1/2' ft.,2.5,,feet,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/SUMM/double/a_first/ALCONA_CEDAR_SUMM_0001_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/SUMM/double/a_first/ALCONA_CEDAR_SUMM_0001_2.jpeg,Height of dam
