subject_id,review,review2,review3,review4,column_name,month1,month2,month3,month4,date,front,back,Comments
58643103,2,1,NA,NA,begin_date_year,1926,1925,NA,NA,1925,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/single/Alcona_Hubbard_SUMM_Doc1180.jpg,,*Based on the comments on the card it looks like Fish survey was done in 1925 and recorded in 1926
58643108,1,1,2,NA,begin_date_year,1926,1927,1924,NA,1926,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/single/Kalkaska_Bear_SUMM_024.jpg,,"*Based on the recording date year, begin date year is most likely 1926"
58687259,2,1,NA,NA,begin_date_day,29,27,NA,NA,29,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Alger_Kingston_SUMM_20200219122455196_0013.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Alger_Kingston_SUMM_20200219122455196_0014.jpg,
58687269,2,2,NA,NA,end_date_day,7,13,NA,NA,13,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Barry_McDonald_SUMM_20191125111429749_0001.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Barry_McDonald_SUMM_20191125111429749_0002.jpg,
58687273,2,1,NA,NA,end_date_day,7,1,NA,NA,7,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Charlevoix_Barneys_SUMM_3.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Charlevoix_Barneys_SUMM_3p2.jpg,
58687282,2,1,NA,NA,end_date_month,June,July,NA,NA,July,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Charlevoix_Fox_023_SUMM_0001.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Charlevoix_Fox_023_SUMM_0002.jpg,
58687282,2,1,NA,NA,end_date_day,30,7,NA,NA,7,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Charlevoix_Fox_023_SUMM_0001.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Charlevoix_Fox_023_SUMM_0002.jpg,
58687287,1,2,1,NA,end_date_month,July,October,Same as Begin Date (Month),NA,October,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Charlevoix_SUMM_Charlevoix2.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Charlevoix_SUMM_Charlevoix2p2.jpg,
58687288,1,2,NA,NA,begin_date_day,6,5,NA,NA,6,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Charlevoix_SUMM_Charlevoix8.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Charlevoix_SUMM_Charlevoix8p2.jpg,
58687292,2,2,NA,NA,begin_date_month,August,September,NA,NA,August,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Charlevoix_SUMM_Charlevoix8p3.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Charlevoix_SUMM_Charlevoix8p4.jpg,
