subject_id,task,data.aligned_text,data.number_views,data.consensus_score,data.consensus_text,min,max,units,URL_front,URL_back,column_name,notes
63264376,T24,"[[""20'"", ""20'"", ""20'""], ['=', '-', ''], ['19.0*C', '19.0*C', '19.0'], [""25'"", ""25'"", ''], ['=', '-', ''], ['15.0*C', '15.0*', ''], ['', 'C', 'C']]",3,1.714285714,20' = 19.0*C 25' = 15.0*C C,14.1,,C,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Chippewa_Carp_(Big_Trout)_033.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Chippewa_Carp_(Big_Trout)_034.jpg,Temperature_Bottom,"gives temp not DO, so included bottom temp"
63264494,T19,"[['7.5°', '7.5*', '7.5*', '7.5'], ['', '', '', 'degrees']]",4,1.5,7.5* degrees,7.5,,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Gogebic_King_SUMM_005.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Gogebic_King_SUMM_006.jpg,Dissolved oxygen above thermocline,"listed as degrees, but think this is a typo "
63264451,T19,"[['72-74', '72', '72-74', '7'], ['', '-', '', '-'], ['', '74', '', ""15'""], ['degrees', 'degrees', '', ''], ['F', 'F.', 'F', '']]",4,1.8,72-74 - 74 degrees F,,,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Gogebic_Bluejay_SUMM_004.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Gogebic_Bluejay_SUMM_005.jpg,Dissolved oxygen above thermocline,lists temp and not DO
63265182,T20,"[['Trace', 'trace']]",2,1,Trace,NA,,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/SUMM/double/a_first/ALLEGAN_JOHNLITTLE_SUMM_0001_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/SUMM/double/a_first/ALLEGAN_JOHNLITTLE_SUMM_0001_2.jpeg,Dissolved oxygen below thermocline,
63264308,T15,"[['74-78*F.', '74-78°', '74-78*F', '74'], ['', '', '', '-'], ['', '', '', '78*'], ['', 'F.', '', 'F']]",4,1,74-78*F. - 78* F.,74,78,F,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Alcona_Vaughn_SUMM_20200129152856338_0005.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Alcona_Vaughn_SUMM_20200129152856338_0006.jpg,Temperature_Surface,
63264310,T15,"[['19.6*C.', '19.6*', '19.6', '19.6*C'], ['', 'C', '*C', '']]",4,1,19.6*C. C,19.6,,C,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Alcona_North_SUMM_20200129143705919_0001.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Alcona_North_SUMM_20200129143705919_0002.jpg,Temperature_Surface,
63264311,T15,"[['68.1*F.', '68.1*', '68.1*F', '68.1'], ['', 'F', '', 'F']]",4,1.5,68.1*F. F,68.1,,F,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Alcona_Hubbard_SUMM_20200129141656326_0001.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Alcona_Hubbard_SUMM_20200129141656326_0002.jpg,Temperature_Surface,
63264315,T23,"[['22.1*C.', '22.1*C', '22.1*C', '22.1*'], ['', '', '', 'C.']]",4,1.5,22.1*C C.,22.1,,C,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Alger_Cook_SUMM_20200130135115726_0003.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Alger_Cook_SUMM_20200130135115726_0004.jpg,Temperature_Bottom,
63264316,T24,"[['5.5-5.1', '5.5'], ['', '-'], ['', '5.1']]",2,1,5.5-5.1 - 5.1,5.5,5.1,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Alger_Deer_SUMM_20200130140457447_0001.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Alger_Deer_SUMM_20200130140457447_0002.jpg,Dissolved oxygen in thermocline,
63264318,T15,"[['26.1', '26.1°C', '26.1*C', '26.1*C'], ['degrees', '', '', ''], ['C', '', '', '']]",4,1.333333333,26.1*C degrees C,26.1,,C,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Allegan_Dumont_SUMM_20200219142223236_0001.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Allegan_Dumont_SUMM_20200219142223236_0002.jpg,Temperature_Surface,
