checked,subject_id,no_data,yes_data,yellow_perch,largemouth_bass,bluntnose_minnow,iowa_darter,blacknose_shiner,golden_shiner,white_sucker,bullhead_not_specified,northern_pike,brook_trout,rock_bass,smallmouth_bass,bluegill,walleye,banded_killifish,common_carp,pumpkinseed,johnny_darter,common_shiner,blackchin_shiner,brown_trout,blacknose_minnow,cisco_herring_whitefish,black_crappie,lake_chubsucker,brown_bullhead,black_bullhead,rainbow_trout,brook_silverside,mimic_shiner,yellow_bullhead,bowfin_dogfish,longnose_gar,spotted_gar,grass_pickerel,review,reviewers,fish_extras,front,back,comments
Y,58643103,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,1,NA,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/single/Alcona_Hubbard_SUMM_Doc1180.jpg,NA,
Y,58643106,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,1,NA,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/single/Jackson_Vandercook_SUMM_012.jpg,NA,
Y,58643108,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,2,NA,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/single/Kalkaska_Bear_SUMM_024.jpg,NA,
Y,58643113,1,0,0,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,No,1,fine scaled dace,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/single/Kalkaska_BlueLittle_SUMM_004.jpg,NA,
Y,58643114,1,1,1,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,2,NA,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/single/Kalkaska_Blue_SUMM_007.jpg,NA,
Y,58643117,1,1,1,0,0,1,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,2,NA,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/single/Kalkaska_Crooked_SUMM_005.jpg,NA,
Y,58643118,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,No,1,"green sunfish, mud minnows, stickleback, fine scaled dace, red bellied dace, black head minnows ",https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/single/Kalkaska_Cranberry_SUMM_002.jpg,NA,
Y,58643126,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,1,green sunfish,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/single/Kalkaska_GuernseyBig_SUMM_014.jpg,NA,
Y,58643130,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,1,NA,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/single/Kalkaska_Ingersoll_SUMM_004.jpg,NA,
Y,58643131,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,2,green sunfish,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/single/Kalkaska_Island_SUMM_003.jpg,NA,
