subject_id,data.aligned_text,data.number_views,data.consensus_score,data.consensus_text,column_name,min,max,comment,URL_front,URL_back
63264313,[['0']],1,1,0,Hotels and Homes,0,,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Alger_Beaver_SUMM_20200129155440605_0001.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Alger_Beaver_SUMM_20200129155440605_0002.jpg
63264323,[['-']],1,1,-,Hotels and Homes,0,,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Alger_Trout_SUMM_20200219123445480_0001.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Alger_Trout_SUMM_20200219123445480_0002.jpg
63264323,[['-']],1,1,-,Boat Resorts ,0,,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Alger_Trout_SUMM_20200219123445480_0001.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Alger_Trout_SUMM_20200219123445480_0002.jpg
63264323,[['-']],1,1,-,Liveries,0,,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Alger_Trout_SUMM_20200219123445480_0001.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Alger_Trout_SUMM_20200219123445480_0002.jpg
63264328,[['-']],1,1,-,Hotels and Homes,0,,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Barry_Deep_SUMM_001_01.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Barry_Deep_SUMM_001_02.jpg
63264328,[['-']],1,1,-,Boat Resorts ,0,,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Barry_Deep_SUMM_001_01.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Barry_Deep_SUMM_001_02.jpg
63264328,[['-']],1,1,-,Liveries,0,,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Barry_Deep_SUMM_001_01.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Barry_Deep_SUMM_001_02.jpg
63264330,"[['0', '0', '0', '0'], ['', 'Boats', '', ''], ['', 'that', '', ''], ['', 'are', '', ''], ['', 'kept', '', ''], ['', 'at', '', ''], ['', 'the', '', ''], ['', 'lake', '', ''], ['', 'may', '', ''], ['', 'be', '', ''], ['', 'rented', '', ''], ['', 'in', '', ''], [""(con't.)"", 'St.', '', ""(con't.)""], ['', 'James.', '', '']]",4,1.285714286,0 Boats that are kept at the lake may be rented in (con't.) James.,Liveries,0,,Boats that are kept at the lake may be rented in St. James,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Charlevoix_Barneys_3.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Charlevoix_Barneys_3p2.jpeg
63264350,"[['15-20', '15', '15-20', '15-20'], ['', '-', '', ''], ['', '20', '', '']]",4,1.666666667,15-20 - 20,Liveries,15,20,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Cheboygan_Black_SUMM_109.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Cheboygan_Black_SUMM_110.jpg
63264355,"[['none', '0', 'None']]",3,1,none,Cottages,0,,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Cheboygan_Roberts_SUMM_023.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Cheboygan_Roberts_SUMM_024.jpg
63264355,"[['none', '0', 'None']]",3,1,none,Hotels and Homes,0,,,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Cheboygan_Roberts_SUMM_023.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Cheboygan_Roberts_SUMM_024.jpg
