subject_id,data.aligned_text,data.number_views,data.consensus_score,data.consensus_text,URL_front,URL_back,column_name,min,max,units,comments
63264308,"[['5½', '5½', '5', '5'], ['', '', ""1/2'"", '1/2'], ['ft.', 'ft.', '', 'ft.']]",4,2,5½ 1/2' ft.,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Alcona_Vaughn_SUMM_20200129152856338_0005.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Alcona_Vaughn_SUMM_20200129152856338_0006.jpg,Secchi disk ,5.5,,feet,
63264310,"[['92', '92', '92', ""92'""], ['Ft.', 'ft.', 'ft', '']]",4,2,92 Ft.,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Alcona_North_SUMM_20200129143705919_0001.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Alcona_North_SUMM_20200129143705919_0002.jpg,Max Depth,92,,feet,
63264311,"[['200'], ['ft.'], ['to'], ['4/5'], ['mile']]",1,1,200 ft. to 4/5 mile,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Alcona_Hubbard_SUMM_20200129141656326_0001.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Alcona_Hubbard_SUMM_20200129141656326_0002.jpg,Area of Vegetation,NA,,,
63264313,"[[""39'"", ""39'"", '39', ""39'""], ['', '', 'feet', '']]",4,2,39' feet,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Alger_Beaver_SUMM_20200129155440605_0001.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Alger_Beaver_SUMM_20200129155440605_0002.jpg,Max Depth,39,,feet,
63264314,"[['65', ""65'"", '65', '65'], ['ft', '', 'ft.', 'feet']]",4,2,65 ft,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Alcona_Vaughn_SUMM_20200129151605368_0001.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Alcona_Vaughn_SUMM_20200129151605368_0002.jpg,Max Depth,65,,,
63264316,"[[""72'"", '72', ""72'"", ""72'""], ['', 'feet', '', '']]",4,2,72' feet,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Alger_Deer_SUMM_20200130140457447_0001.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Alger_Deer_SUMM_20200130140457447_0002.jpg,Max Depth,72,,,
63264320,"[['32', ""32'"", ""32'"", ""32'""], ['feet', '', '', '']]",4,2,32' feet,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Alger_Kingston_SUMM_20200219122455196_0013.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Alger_Kingston_SUMM_20200219122455196_0014.jpg,Max Depth,32,,,
63264320,"[['12', ""12'"", ""12'"", ""12'""], ['feet', '', '', '']]",4,2,12' feet,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Alger_Kingston_SUMM_20200219122455196_0013.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Alger_Kingston_SUMM_20200219122455196_0014.jpg,Secchi disk ,12,,,
63264322,"[['85', '85', '85', ""85'""], ['Ft.', 'ft.', 'ft', '']]",4,2,85 Ft.,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Alger_GrandSable_SUMM_20200130144543948_0001.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Alger_GrandSable_SUMM_20200130144543948_0002.jpg,Max Depth,85,,,
63264322,"[['10-12', '10', '10-12', ""10-12'""], ['', '-', '', ''], ['', '12', '', ''], ['Ft.', 'ft.', 'ft', '']]",4,1.25,10-12 - 12 Ft.,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Alger_GrandSable_SUMM_20200130144543948_0001.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Alger_GrandSable_SUMM_20200130144543948_0002.jpg,Secchi disk ,10,12,,
