subject_id,data.aligned_text,data.number_views,data.consensus_score,data.consensus_text,URL_front,URL_back,column_name,min,max,units,
63264320,"[['90', '90%', '90', '90%']]",4,2,90,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Alger_Kingston_SUMM_20200219122455196_0013.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Alger_Kingston_SUMM_20200219122455196_0014.jpg,Percent shoal,90,,pct,
63264323,"[['100', '0', '0', '100']]",4,2,100,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Alger_Trout_SUMM_20200219123445480_0001.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Alger_Trout_SUMM_20200219123445480_0002.jpg,Percent shoal,100,,pct,
63264325,"[['32', '32', '32%', '32%']]",4,2,32,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Alpena_Beaver_SUMM_20200219145953082_0001.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Alpena_Beaver_SUMM_20200219145953082_0002.jpg,Percent shoal,32,,pct,
63264356,"[['5', '', '', ''], ['-', '', '', ''], ['10%', '5-10%', '5-10%', '5-10%']]",4,1.666666667,5 - 5-10%,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Cheboygan_Silver_33N_3W_S11-12_027.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Cheboygan_Silver_33N_3W_S11-12_028.jpg,Percent shoal,5,10,pct,
63264359,"[['5', '', '', ''], ['-', '', '', ''], ['10%', '5-10%', '5-10%', '5-10%']]",4,1.666666667,5 - 5-10%,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Cheboygan_Silver_33N_3W_S11-12_031.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Cheboygan_Silver_33N_3W_S11-12_032.jpg,Percent shoal,5,10,pct,
63264360,"[['', '5', '', ''], ['', '-', '', ''], ['5-10%', '10%', '5-10%', '5-10%']]",4,1.666666667,5 - 5-10%,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Cheboygan_Silver33N_3W_S11-12_SUMM_027.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Cheboygan_Silver33N_3W_S11-12_SUMM_028.jpg,Percent shoal,5,10,pct,
63264361,"[['5', '5', '', ''], ['-', '-', '', ''], ['10%', '10', '5-10%', '5-10%'], ['', '%', '', '']]",4,1.75,5 - 5-10% %,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Cheboygan_Silver_33N_3W_S11-12_029.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Cheboygan_Silver_33N_3W_S11-12_030.jpg,Percent shoal,5,10,pct,
63264362,"[['', '5', '5', ''], ['', '-', '-', ''], ['5-10%', '10%', '10%', '5-10%']]",4,2,5 - 5-10%,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Cheboygan_Silver33N_3W_S11-12_SUMM_029.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Cheboygan_Silver33N_3W_S11-12_SUMM_030.jpg,Percent shoal,5,10,pct,
63264363,"[['', '', '', '5'], ['', '', '', '-'], ['5-10%', '5-10%', '5-10%', '10%']]",4,1.666666667,5 - 5-10%,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Cheboygan_Silver33N_3W_S11-12_SUMM_031.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Cheboygan_Silver33N_3W_S11-12_SUMM_032.jpg,Percent shoal,5,10,pct,
63264367,"[['', '10', '', ''], ['', '-', '', ''], ['10-15%', '15%', '10-15%', '10-15%']]",4,1.666666667,10 - 10-15%,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Cheboygan_Weber_SUMM_027.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Cheboygan_Weber_SUMM_028.jpg,Percent shoal,10,15,pct,
