,subject_id,task,data.aligned_text,data.number_views,data.consensus_score,data.consensus_text,URL_front,URL_back,column_name,min,max,text,review,
1,63264340,T13,"[['', '30', '30', '30'], ['', '-', '-', '-'], ['30-40%', '40%', '40%', '40%']]",4,3,30 - 40%,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Charlevoix_Geneserath_011_SUMM_0001.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Charlevoix_Geneserath_011_SUMM_0002.jpg,Percent shoal,30,40,pct,Yes,
2,63264342,T13,"[['about', 'about', 'about', 'about'], ['25', '25', '25%', '25'], ['', 'per', '', ''], ['percent', 'cent', '', 'percent']]",4,2.5,about 25 per percent,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Charlevoix_Round_004_SUMM_0001.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Charlevoix_Round_004_SUMM_0002.jpg,Percent shoal,25,,pct,Yes,
3,63264383,T13,"[['100', '100', '100', '100'], ['(not', '(not', '(not', '(not'], ['considered', 'considered', 'considered', 'considered'], ['shoal', 'shoal', 'shoal', 'shoal'], ['water)', 'water)', 'water)', 'water)']]",4,4,100 (not considered shoal water),https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Chippewa_Garlinghouse_013.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Chippewa_Garlinghouse_014.jpg,Percent shoal,100,,pct,Yes,
4,63264438,T13,"[['[15]', '', '', ''], ['75%', '75%', '75%', '75%']]",4,2.5,[15] 75%,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Gladwin_Trout_SUMM_032.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Gladwin_Trout_SUMM_033.jpg,Percent shoal,75,,pct,Yes,
5,63264449,T13,"[['3/4', '3/4', '3/4', '¾%'], ['estimate', 'Est.', 'Est.', 'Est.']]",4,3,3/4 est.,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Gogebic_Chaney_SUMM_007.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Gogebic_Chaney_SUMM_008.jpg,Percent shoal,75,,pct,Yes,
6,63264501,T13,"[['', '', '', '66'], ['66-2/3%', '66-2/3%', '66-2/3%', '2/3%'], ['under', 'under', 'under', 'under'], ['20', '20', ""20'"", '20'], ['ft.', 'ft.', '', 'ft.']]",4,2.8,66 66-2/3% under 20 ft.,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Gogebic_Marion_SUMM_018.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Gogebic_Marion_SUMM_019.jpg,Percent shoal,66.67,,pct,Yes,
7,63264541,T13,"[['35', '', '35', '35'], ['to', '', 'to', 'to'], ['45%', '35-45%', '45%', '45%']]",4,3,35 to 45%,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Gogebic_Sucker_SUMM_010.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Gogebic_Sucker_SUMM_011.jpg,Percent shoal,35,45,pct,Yes,
8,63264552,T13,"[['40-50', '40', '40', '40'], ['', 'to', 'to', 'to'], ['', '50', '50', '50']]",4,3,40 to 50,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Gogebic_Wilson_SUMM_005.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Gogebic_Wilson_SUMM_006.jpg,Percent shoal,40,50,pct,Yes,
9,63264655,T13,"[['99.5%', '99.5%', '99.5%', '99.5%']]",4,4,99.50%,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Iosco_LondoWest_SUMM_013.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Iosco_LondoWest_SUMM_014.jpg,Percent shoal,99.5,,pct,Yes,
10,63264658,T13,"[['(under', '(under', '(under', '(under'], ['20', '20', '20', ""20')""], ['ft.)', 'ft.)', 'ft.)', ''], ['70%', '70%', '70%', '70%']]",4,3.5,(under 20 ft.) 70%,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Iosco_Secor_SUMM_004.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Iosco_Secor_SUMM_005.jpg,Percent shoal,70,,pct,Yes,
11,63264690,T13,"[['20', '20', '', '20'], ['to', 'to', '', 'to'], ['25%', '25%', '20-25%', '25%']]",4,3,20 to 25%,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Iron_Hagerman_SUMM_020.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Iron_Hagerman_SUMM_021.jpg,Percent shoal,20,25,pct,Yes,
12,63264718,T13,"[['15', '15%', '15', '15'], ['per', '', 'per', 'per'], ['cent', '', 'cent', 'cent']]",4,3,15 per cent,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Jackson_PortageLittle_SUMM_008.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Jackson_PortageLittle_SUMM_009.jpg,Percent shoal,15,,pct,Yes,
13,63264814,T13,"[['55-60', '55', '55', '55'], ['', '-', '-', '-'], ['', '60', '60', '60']]",4,3,55 - 60,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Keweenaw_Manganese_SUMM_20191125121024910_0001.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Keweenaw_Manganese_SUMM_20191125121024910_0002.jpg,Percent shoal,55,60,pct,Yes,
14,63264820,T13,"[['55', '55', '55', '55'], ['(0-20', '(0-20', '(0-20', '(0-20'], ['feet)', 'feet)', 'feet)', 'feet)']]",4,4,55 (0-20 feet),https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Keweenaw_Medora_SUMM_030.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Keweenaw_Medora_SUMM_031.jpg,Percent shoal,55,,pct,Yes,
15,63264871,T13,"[['30?', '30?', '30?', '30?']]",4,4,30?,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Lapeer_Elk7N_11E_S10_SUMM_004.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Lapeer_Elk7N_11E_S10_SUMM_005.jpg,Percent shoal,30,,pct,Yes,
