subject_id,task,data.aligned_text,data.number_views,data.consensus_score,data.consensus_text,column_name,front,back,data_min,data_max,units
63341195,T12,"[['No', 'No', 'No', 'No']]",4,4,no,Height of dam,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Balaga_Spruce_SUMM_20191125110234818_0001.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Balaga_Spruce_SUMM_20191125110234818_0002.jpg,NA,,
63341208,T12,"[['Very', 'Very', 'Very', 'Very'], ['little', 'little', 'little', 'little']]",4,4,very little,Height of dam,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Hillsdale_BawBeese_SUMM_015.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Hillsdale_BawBeese_SUMM_016.jpg,NA,,
63341219,T12,[['-']],1,1,-,Height of dam,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Hillsdale_Hemlock_SUMM_017.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Hillsdale_Hemlock_SUMM_018.jpg,NA,,
63341228,T12,[['-']],1,1,-,Height of dam,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Hillsdale_Moon7S_1W_S27_SUMM_002.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Hillsdale_Moon7S_1W_S27_SUMM_003.jpg,NA,,
63341229,T12,[['-']],1,1,-,Height of dam,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Hillsdale_Wilson_SUMM_007.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Hillsdale_Wilson_SUMM_008.jpg,NA,,
63341230,T12,"[['-', '-']]",2,2,-,Height of dam,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Houghton_Bob_SUMM_019.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Houghton_Bob_SUMM_020.jpg,NA,,
63341232,T12,"[['-', '-']]",2,2,-,Height of dam,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Houghton_Markey_SUMM_011.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Houghton_Markey_SUMM_012.jpg,NA,,
63341233,T12,"[['2', '2', ""2'""], ['ft', '', '']]",3,1.5,2 ft,Height of dam,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Houghton_Roland_SUMM_026.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Houghton_Roland_SUMM_027.jpg,2,,feet
63341234,T12,[['-']],1,1,-,Height of dam,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Houghton_Gerald_SUMM_020.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Houghton_Gerald_SUMM_021.jpg,NA,,
63341237,T12,[['--']],1,1,--,Height of dam,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Lake_Mill_SUMM_009.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Lake_Mill_SUMM_010.jpg,NA,,
63341240,T12,[['--']],1,1,--,Height of dam,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Lapeer_HalfDollarPond_SUMM_002.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Lapeer_HalfDollarPond_SUMM_003.jpg,NA,,
63341242,T12,"[['Several', 'Several', 'Several', 'Several'], ['feet.', 'feet', 'feet', 'feet.']]",4,3,several feet.,Height of dam,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Lapeer_Misch_SUMM_007.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Lapeer_Misch_SUMM_008.jpg,NA,,
63341244,T12,[['-']],1,1,-,Height of dam,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Luce_Muskallonge_SUMM_001_A.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Luce_Muskallonge_SUMM_001_B.jpg,NA,,
63341246,T12,"[['-', '-']]",2,2,-,Height of dam,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Marquette_Indian_SUMM_20191202095715411_0003.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Marquette_Indian_SUMM_20191202095715411_0004.jpg,NA,,
63341248,T12,[['---']],1,1,---,Height of dam,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Montmorency_Jackson_SUMM_20191204131712124_0003.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Montmorency_Jackson_SUMM_20191204131712124_0004.jpg,NA,,
63341249,T12,"[['None', 'None', 'none']]",3,2,none,Height of dam,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Marquette_LittleWhiteGoat_SUMM_20191202102826217_0001.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Marquette_LittleWhiteGoat_SUMM_20191202102826217_0002.jpg,NA,,
63341254,T12,"[['3', '3', '3', '3'], ['to', 'to', 'to', 'to'], ['3', '3', '3½', '3.5'], ['1/2', '1/2', '', ''], ['ft.', 'ft.', 'ft.', 'ft.']]",4,3.2,3 to 3 1/2 ft.,Height of dam,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Washtenaw_Green_SUMM_20200224123234844_0001.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Washtenaw_Green_SUMM_20200224123234844_0002.jpg,3,3.5,feet
63341256,T12,"[['3', '3', '3', '3'], ['to', 'to', 'to', 'to'], ['3', '3', '3', '3'], ['1/2', '1/2', '1/2', '1/2'], ['ft.', 'ft.', 'ft.', 'ft']]",4,3.8,3 to 3 1/2 ft.,Height of dam,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Washtenaw_Green_81-46_1936_SUMM_001_01.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Washtenaw_Green_81-46_1936_SUMM_001_02.jpg,3,3.5,feet
63341257,T12,"[['3', '3', '3', '3.5'], ['1/2', '1/2', '1/2', ''], ['ft.', 'ft', 'ft', 'ft']]",4,3,3 1/2 ft,Height of dam,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Washtenaw_Mill_SUMM_20200225140104865_0001.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Washtenaw_Mill_SUMM_20200225140104865_0002.jpg,3.5,,feet
63341258,T12,"[['3', '3', '3', '3'], ['to', 'to', 'to', 'to'], ['3', '3', '3.5', ''], ['1/2', '1/2', '', '3-1/2'], ['ft.', 'ft.', 'ft.', 'ft.']]",4,3.2,3 to 3 1/2 ft.,Height of dam,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Washtenaw_Green_SUMM_936_1a.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/SUMM/double/a_first/Washtenaw_Green_SUMM_936_1b.jpg,3,3.5,feet
63341265,T12,"[['About', 'About', 'About', 'about'], ['2', '2', '2', '2'], ['ft.', 'ft', 'ft.', 'ft']]",4,3,about 2 ft.,Height of dam,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/SUMM/double/b_first/Otsego_Grass_SUMM_4.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/SUMM/double/b_first/Otsego_Grass_SUMM_3.jpeg,2,,feet
63341267,T12,[['-']],1,1,-,Height of dam,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/SUMM/double/b_first/Otsego_Ford_SUMM_9.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/SUMM/double/b_first/Otsego_Ford_SUMM_8.jpeg,NA,,
63341270,T12,[['-']],1,1,-,Height of dam,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/SUMM/double/b_first/Otsego_McCrimmon_SUMM_4.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/SUMM/double/b_first/Otsego_McCrimmon_SUMM_3.jpeg,NA,,
63341271,T12,[['-']],1,1,-,Height of dam,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/SUMM/double/b_first/Otsego_Ford_SUMM_5.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/SUMM/double/b_first/Otsego_Ford_SUMM_10.jpeg,NA,,
63341273,T12,"[['About', 'About', 'About', 'About'], ['3', '3', '3', '3'], ['feet', 'feet', 'feet', 'feet']]",4,4,about 3 feet,Height of dam,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/SUMM/double/b_first/Otsego_Pickerel_SUMM_4.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/SUMM/double/b_first/Otsego_Pickerel_SUMM_3.jpeg,3,,feet
63341275,T12,[['-']],1,1,-,Height of dam,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/SUMM/double/b_first/Otsego_TwinSouth_SUMM_26.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/SUMM/double/b_first/Otsego_TwinSouth_SUMM_25.jpeg,NA,,
63341277,T12,[['-']],1,1,-,Height of dam,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/SUMM/double/b_first/Otsego_TwoAcre_SUMM_9.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/SUMM/double/b_first/Otsego_TwoAcre_SUMM_10.jpeg,NA,,
63341291,T12,"[['About', 'About', 'About', 'About'], ['12', '12', '12', '12'], ['ft', 'feet', 'feet', 'feet.']]",4,3.333333333,about 12 feet,Height of dam,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/SUMM/double/a_first/ANTRIM_CENTRAL_SUMM_0001_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/SUMM/double/a_first/ANTRIM_CENTRAL_SUMM_0001_2.jpeg,12,,feet
63341292,T12,"[['--', '--']]",2,2,--,Height of dam,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/SUMM/double/a_first/ANTRIM_BIRCH_SUMM_0001_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/SUMM/double/a_first/ANTRIM_BIRCH_SUMM_0001_2.jpeg,NA,,
63341294,T12,[['--']],1,1,--,Height of dam,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/SUMM/double/a_first/ANTRIM_CLAM_SUMM_0007_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/SUMM/double/a_first/ANTRIM_CLAM_SUMM_0007_2.jpeg,NA,,
63341295,T12,"[['-', '--']]",2,1,-,Height of dam,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/SUMM/double/a_first/ANTRIM_MAPLEHURST_SUMM_0001_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/SUMM/double/a_first/ANTRIM_MAPLEHURST_SUMM_0001_2.jpeg,NA,,
63341296,T12,"[['-', '--']]",2,1,-,Height of dam,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/SUMM/double/a_first/ANTRIM_MUD30N9WS24-25_SUMM_0001_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/SUMM/double/a_first/ANTRIM_MUD30N9WS24-25_SUMM_0001_2.jpeg,NA,,
63341299,T12,"[['--', '-', '--']]",3,2,--,Height of dam,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/SUMM/double/a_first/ANTRIM_SKEGEMOG_SUMM_0013_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/SUMM/double/a_first/ANTRIM_SKEGEMOG_SUMM_0013_2.jpeg,NA,,
63341310,T12,"[['--', '--']]",2,2,--,Height of dam,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/SUMM/double/a_first/Luce_Perch_SUMM_021.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/SUMM/double/a_first/Luce_Perch_SUMM_022.jpg,NA,,
